"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.231445","X0.0712891","X1.00635","X.9.625","X.0.0625","X.1.25","X91","X103","X99","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.136719","X.0.0244141","X1.0332","X.0.875","X2.0625","X.0.125","X89","X97","X98"
"43",9,-8,2,-2,-2,-6,-8,-3,-0.256348,0.0483398,1,2.375,5.9375,2.1875,91,103,99,-1,-16,-43,-46,-8,-5,1,9,0.0361328,0.226074,0.864258,-8.375,-27.5625,-13.875,97,102,114
"44",-9,0,-1,0,0,-11,-11,-2,-0.246582,0.0317383,0.978027,2.1875,5.875,2.375,91,104,99,-10,-6,9,-19,-3,24,7,-1,-0.0761719,0.201172,0.931641,-6.75,-4.25,16.75,97,101,114
"45",-12,-24,0,-2,-3,1,-3,-4,-0.26123,0.046875,0.980469,1.5625,5.0625,3.75,91,104,99,-3,1,5,-4,0,-18,-7,-3,-0.183105,0.183594,0.955566,-16.25,-1,12.5,96,101,114
"46",-1,3,5,2,-1,4,8,-5,-0.263672,0.0439453,0.96582,0.75,4.375,4.5625,91,104,99,-2,-1,3,-3,2,-9,-3,-1,-0.120117,0.189941,0.979492,-32.5,-41.75,5.5625,96,99,114
"47",9,-2,-1,-3,-5,-29,7,1,-0.267578,0.078125,0.968262,2.1875,2.75,3.625,91,104,99,-3,-1,-3,-8,-8,15,1,0,-0.0136719,0.0991211,0.986816,-53.3125,-75.75,-20.875,94,95,113
"48",-2,10,-4,-2,-4,-12,-25,-8,-0.266602,0.0703125,0.960938,-2.4375,1.25,2.375,91,105,99,-2,-1,-1,-1,-2,2,-1,0,0.0366211,0.0810547,0.977051,-48.3125,-72.8125,-50.8125,93,91,112
"49",4,-5,-3,-2,-1,9,-9,-5,-0.260254,0.0717773,0.961914,1.9375,-0.875,2.5,91,105,99,-1,4,3,5,-2,3,3,0,0.153809,0.0791016,0.999512,-55.75,-48.5,-76.5,91,89,110
"50",6,5,-11,-2,3,23,-12,3,-0.260254,0.0644531,0.963867,-5.125,-2.4375,0.5625,91,104,99,1,3,3,3,16,11,-2,1,0.0888672,0.0263672,1.01953,-49.625,-11.9375,-74.3125,90,87,108
"51",0,0,0,0,0,0,0,0,-0.23584,0.0415039,0.956543,-1.875,0.875,-2.0625,91,104,100,0,0,0,0,0,0,0,0,-0.138184,-0.000976562,1.03271,-1.4375,0.8125,0.3125,90,97,97
"52",0,0,0,0,0,0,0,0,-0.260742,0.065918,0.962402,-9,-1.9375,-1.125,91,104,100,0,0,0,0,0,0,0,0,-0.145996,-0.131348,1.13037,-20.8125,19.5,9.125,89,97,98
