"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.246582","X.0.00244141","X0.976074","X.0.25","X0.4375","X1.8125","X89","X103","X142","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.430664","X0.0932617","X1.01025","X.0.6875","X.9.625","X5.4375","X92","X113","X70"
"41",-4,-8,-12,-6,-4,-18,-16,-1,-0.244141,-0.015625,0.98584,-0.25,-0.1875,0.125,89,103,142,-19,-1,-11,-14,44,21,10,6,0.878418,0.313965,0.351074,-3.0625,3.3125,0.875,111,27,26
"42",1,-6,-1,-5,-3,-3,2,-2,-0.237305,-0.0205078,0.992188,-0.125,-0.125,0.3125,89,103,142,46,5,14,30,19,14,17,15,0.871582,0.3125,0.344727,-0.375,4.4375,2.875,111,27,26
"43",0,-11,-38,-8,-4,0,8,-3,-0.237305,-0.0185547,0.993652,-0.5625,-0.1875,0,89,103,142,-2,2,-9,-24,-49,-61,-5,-9,0.876953,0.306152,0.344727,-3.0625,1.5625,1.4375,111,27,26
"44",-10,-6,-18,-1,-2,2,-1,-1,-0.241211,-0.0205078,0.989258,0.125,0,-0.0625,89,103,142,28,12,8,4,-1,47,3,28,0.860352,0.328613,0.347656,0.3125,-0.1875,1.1875,111,27,26
"45",12,-24,13,-4,-6,-5,-10,-1,-0.245117,-0.0180664,0.989258,-0.8125,-0.1875,0.125,89,103,142,-7,-9,-2,2,2,0,3,-20,0.879395,0.296387,0.348145,-0.125,0.875,1.9375,111,27,26
"46",-8,-6,-6,3,2,1,-6,-2,-0.233887,-0.0244141,1.00146,0.125,-0.375,-0.0625,89,103,142,-48,-1,5,23,8,-42,-10,-19,0.856934,0.312012,0.351562,-1.5625,1.0625,1.9375,111,27,26
"47",-20,-14,-13,-1,0,1,4,-1,-0.240723,-0.0180664,0.991699,-0.5625,-0.0625,0.125,89,103,142,-4,11,6,19,-12,28,-9,1,0.856445,0.318359,0.353027,-0.6875,0.625,2.5625,110,27,27
"48",5,18,10,0,2,11,-8,4,-0.239746,-0.0229492,0.98877,-0.1875,-0.6875,0.0625,89,103,142,50,12,-11,-21,8,15,2,-6,0.870117,0.306641,0.345215,-1.8125,2.375,0.6875,110,27,27
"49",13,0,33,2,0,0,-2,2,-0.239746,-0.0249023,0.991699,-0.0625,-0.1875,-0.0625,89,103,142,0,-10,-7,-8,38,-29,-3,-8,0.868164,0.320801,0.352051,0.8125,-0.25,0.4375,110,27,27
"50",-27,-8,26,0,-1,-2,-2,-6,-0.246582,-0.0229492,0.987793,-0.375,-0.1875,0.125,89,103,142,-47,-10,-4,4,13,-40,-17,13,0.861328,0.314453,0.350586,2.625,0.4375,1.875,110,27,27
