"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.103027","X.0.0415039","X1.11377","X.14.5","X.2.125","X.1.4375","X94","X105","X68","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.267578","X.0.182617","X1.06885","X.14.25","X4.5","X3.625","X85","X104","X95"
"21",-14,-13,-1,-5,-3,2,-7,-1,-0.34082,0.223633,0.968262,-11.1875,-10.0625,-7.25,98,108,70,6,-5,-19,-23,-6,-21,-3,-4,0.579102,-0.0195312,0.833496,-25.875,-117.75,53.5,91,88,115
"22",1,2,-8,3,-4,-9,-5,-9,-0.334961,0.227539,0.923828,-9.75,-8.5,-5.5,98,108,70,-4,-8,3,-5,18,37,27,3,0.504395,-0.0131836,0.813965,-0.8125,-102.062,125.438,90,81,118
"23",-2,0,-9,-3,-2,-1,9,4,-0.310547,0.20166,0.973633,-6.5625,-5.3125,-1.75,97,108,69,-16,-36,-14,-10,-1,0,-7,3,0.301758,0.0424805,0.915039,26.375,-44.9375,164.688,90,78,121
"24",-3,-4,-19,-7,-2,-9,-2,-6,-0.291504,0.282715,0.952637,1,-2.4375,4.0625,97,107,70,2,4,-4,1,-3,-9,-11,4,-0.0107422,0.115723,0.984863,23.4375,17.0625,167.438,90,78,125
"25",-4,-8,17,-2,-2,8,0,2,-0.302246,0.257324,0.958984,-6.375,0.8125,4.125,97,107,70,-8,14,2,-8,7,14,3,-7,-0.517578,0.162109,1.06006,30.5625,92.25,63.625,90,83,128
"26",-4,-1,-12,-2,1,3,1,-4,-0.36377,0.297852,0.916504,10.1875,3.375,6.5625,97,107,70,5,16,15,51,3,3,-20,-7,-0.683105,0.124023,1.05713,39.0625,89.25,-22.1875,91,91,128
"27",-1,-7,-29,-5,-3,3,-20,4,-0.362793,0.374512,0.88623,9.8125,5,5.75,98,108,70,-36,-52,-12,18,3,-1,-10,-14,-0.569336,0.210449,1.12744,45.375,82.125,-57.875,92,96,127
"28",-7,-1,-12,-3,-1,2,1,5,-0.366211,0.256836,0.980469,40.375,10.75,8.625,99,108,70,-3,16,-13,28,8,1,-12,-2,-0.306152,0.234375,1.20508,29,53.5,-104.062,93,101,124
"29",0,-5,-9,2,-1,2,2,-3,-0.254883,0.333008,0.868652,17.25,13.875,-0.375,100,109,71,39,82,100,45,29,-3,14,5,-0.256836,0.310059,1.17578,32.8125,20.375,-126.375,93,103,122
"30",-5,4,-1,1,-1,1,-2,-7,-0.318359,0.249023,0.815918,7.0625,7.5625,-1.125,100,109,71,-8,-98,-61,-1,-30,-7,0,19,0.145996,0.258301,1.13867,22.75,-19.75,-134.688,93,103,118
"31",-6,-3,-35,1,1,4,-13,-4,-0.343262,0.531738,0.769043,-11.125,-7.3125,-8.6875,100,109,70,-28,-36,-61,-52,-19,-6,7,-7,0.344727,0.28418,1.07568,-9.625,-50.25,-107.062,92,102,115
"32",-4,-3,14,4,0,-8,-1,3,-0.300781,0.289551,0.980469,-13.8125,-8.8125,-1.5,100,109,70,5,-5,23,-106,-7,-2,-5,-11,0.587402,0.0820312,0.918945,-36.4375,-103.312,-6.375,91,95,114
"33",-1,-3,3,-2,-3,-2,-3,-14,-0.368652,0.192383,0.897949,-33.875,-8.6875,-5.75,99,108,70,-1,22,-24,-22,-4,0,-1,-5,0.668457,-0.0473633,0.790527,-39.9375,-123.438,51.5625,90,90,115
"34",-4,-8,5,-4,-2,6,16,7,-0.331543,0.230957,0.937012,1.375,-6.125,-5.25,98,108,70,2,-32,-15,-3,-12,-4,-3,-29,0.588379,0.00390625,0.781738,6,-92.125,133.375,90,83,118
"35",-2,-4,0,0,-1,-1,-6,-3,-0.317871,0.266602,0.944824,-9.625,-3.5625,0.0625,98,108,70,10,-1,2,20,9,16,3,8,0.331543,0.0458984,0.874023,30.5625,-49.5,168.875,90,80,121
"36",-29,14,9,-6,0,6,2,-4,-0.313965,0.28418,0.929688,-8.4375,-2.8125,2.75,98,108,70,-7,-10,-12,-14,-5,-10,5,24,-0.0532227,0.163086,1.04736,19.6875,29.4375,154.062,90,80,126
"37",7,-11,-14,-6,0,1,-8,3,-0.341309,0.252441,0.945312,-1.9375,-1.4375,3.875,98,108,70,-16,-9,-33,-68,-23,-1,40,16,-0.452148,0.146484,1.01904,38.4375,69.125,48.75,91,85,129
"38",2,10,-8,3,2,6,2,-3,-0.350586,0.305176,0.927246,0.9375,2.1875,4.6875,98,108,70,26,-22,23,37,10,-4,20,-13,-0.558105,0.249512,1.05127,30.375,79.125,-22,92,90,129
"39",0,0,9,-5,-5,-7,5,4,-0.328613,0.297363,0.949219,5,5.1875,4.5625,98,108,70,6,-29,-32,-64,-20,-10,-24,-6,-0.322266,0.272949,1.14209,64.9375,61.4375,-56.4375,93,96,128
"40",-10,-8,-23,-12,-1,-4,-3,-1,-0.300293,0.279785,0.948242,11.25,9.25,4.25,98,108,70,5,11,13,25,11,4,13,4,-0.322266,0.205566,1.07617,30.625,72.6875,-95.25,94,99,126
"41",-10,-1,-13,3,1,0,2,0,-0.326172,0.283691,0.930176,12.1875,10.125,5.1875,99,108,70,-10,22,8,44,3,6,28,3,-0.0844727,0.330078,1.21729,32.25,41.4375,-104.312,94,103,123
"42",2,1,12,2,2,-2,-8,0,-0.326172,0.314453,0.910645,14.375,11.1875,6.9375,99,109,71,-10,-38,-44,-50,-8,-8,-12,-17,0.0336914,0.286133,1.11914,30.1875,17.6875,-102.688,95,105,121
"43",0,4,15,-1,-1,-5,2,-1,-0.341309,0.327148,0.892578,16.1875,10.5625,7.0625,100,109,71,-10,16,-22,-33,-14,-7,-18,4,0.213867,0.23584,1.05518,12,6.5,-83,94,105,118
"44",-5,10,8,4,-1,0,-5,-10,-0.343262,0.379395,0.844238,12.9375,7.3125,6.6875,100,110,71,-5,0,-17,-7,-12,-1,3,1,0.200684,0.124023,0.932129,-15.0625,-15.125,-34.625,94,103,117
"45",-6,0,-10,-1,1,3,1,1,-0.370605,0.394531,0.837891,6.3125,2.9375,2.5625,101,110,71,-3,11,3,6,2,-7,-1,3,0.0766602,-0.000976562,0.927734,-25.125,-26.5625,-13.0625,93,102,116
"46",13,-9,6,-1,-3,-2,2,-14,-0.365234,0.381836,0.850586,-1.1875,0.5625,1.125,101,110,72,0,4,-3,-8,-28,-10,-1,1,0.00585938,-0.0556641,0.98877,-49,-43,-13.25,92,99,116
"47",2,20,-11,1,1,-10,2,6,-0.354004,0.364258,0.875977,-0.5,-1,-1.625,101,110,71,-2,1,-2,1,10,6,-1,0,0.0639648,-0.120605,0.98584,-49.4375,-51.25,-23.125,90,96,115
"48",2,7,30,-1,-2,-8,-7,-9,-0.356445,0.35498,0.876465,-1.25,-0.375,-2.625,101,110,71,-1,4,2,-1,5,-4,0,-3,0.138184,-0.129395,1.04834,-55.375,-25.5625,-71.6875,88,93,114
"49",-6,-1,-11,2,1,3,-6,3,-0.354004,0.34375,0.892578,0.9375,-1.5625,-3.25,100,110,71,-2,-4,-5,-2,-7,-16,-3,-2,0.226562,-0.0600586,1.07275,-55.75,2.6875,-111.188,87,92,112
"50",-4,-6,-11,1,3,0,-1,8,-0.34668,0.359863,0.882324,-0.5,-2.1875,-1.5,100,110,71,-1,-1,0,-1,-3,1,-2,-1,0.0546875,-0.0322266,1.10889,-25.8125,26.0625,-118.812,86,92,108
