"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.374512","X.0.222168","X0.891602","X.14.3125","X.41.0625","X.18.125","X82","X93","X140","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.110352","X.0.0131836","X1.11328","X.9.625","X.7.4375","X.5.5625","X88","X94","X64"
"21",0,-11,14,6,2,3,0,-10,0.386719,-0.34375,0.883301,-1.8125,1.8125,-1.1875,78,67,143,22,3,-3,-6,-2,-6,-2,8,0.239258,0.540527,0.875977,-12.5,2.75,1.625,104,77,48
"22",-10,4,3,2,-1,-4,-17,-13,0.382324,-0.356934,0.867676,-3,1.875,-1.125,78,67,143,1,-5,-4,3,-2,3,-15,-5,0.208984,0.49707,0.879395,-3.25,2.375,5.1875,104,77,48
"23",-10,11,35,-5,-7,-4,-5,-3,0.378418,-0.342773,0.872559,-1.125,1.5,-0.125,78,67,143,-16,1,6,-7,-3,5,-13,-21,0.195801,0.496582,0.872559,-7.25,0.8125,5.8125,104,77,48
"24",-9,25,56,7,4,1,8,-12,0.386719,-0.365234,0.866699,-0.625,1.9375,-0.5625,78,67,143,-7,-3,-1,4,1,-4,3,-12,0.191895,0.463867,0.888184,-2.5,1.375,6.75,104,77,48
"25",6,-13,-20,1,5,0,0,16,0.391602,-0.35498,0.878418,-0.4375,1.0625,0.625,78,67,143,1,1,0,-3,-2,2,-6,6,0.188965,0.473145,0.87207,-5.5,1.5625,4.125,104,77,48
"26",3,-7,-19,-2,-1,-3,-12,-5,0.379395,-0.368652,0.875977,-1.625,1.125,-0.5625,78,67,143,-10,-6,-1,0,-3,-5,-25,-8,0.187988,0.463867,0.882812,-2.5,2.375,2.875,104,78,48
"27",3,3,-12,2,1,-2,3,-2,0.388184,-0.360352,0.876465,-0.375,0.5625,-1.3125,78,67,143,13,2,-2,-2,-7,3,25,13,0.183594,0.464844,0.875977,-2.9375,3.1875,1.8125,104,78,48
"28",5,-9,1,-1,0,2,3,0,0.376953,-0.359375,0.862793,0.5625,0.25,-2.5,78,67,143,-18,-7,-2,-1,-3,1,-16,-10,0.1875,0.45166,0.881836,-1.625,1.25,0.3125,104,78,49
"29",13,19,7,-2,1,0,0,-1,0.378906,-0.374512,0.865234,-1.5625,-0.0625,-1.875,78,67,143,22,0,-2,-5,2,-2,-5,8,0.188477,0.48584,0.883301,0,1.1875,0.6875,104,78,49
"30",-1,-14,-10,-1,0,0,9,-7,0.384766,-0.364258,0.867188,-2,1.0625,-2.4375,78,67,143,-12,-1,2,2,4,-5,-22,-5,0.185547,0.46875,0.886719,-1.625,-0.125,0.8125,103,78,49
"31",-18,5,19,-8,-5,-6,-21,-53,0.377441,-0.367188,0.874512,0.6875,0.625,-2.375,78,67,143,-5,2,0,-2,-4,-8,-12,-10,0.186523,0.479004,0.882812,0.6875,0.4375,1.1875,103,78,49
"32",-7,0,9,-8,0,3,3,-27,0.385742,-0.359863,0.876465,-0.6875,1.1875,-2.125,78,67,143,5,3,-2,-8,-6,-8,-17,3,0.179688,0.466309,0.879395,-2.8125,2.1875,1.75,103,78,49
"33",-18,-12,-7,-3,-1,4,8,18,0.379395,-0.356445,0.878418,1.375,1.25,-1.3125,78,67,142,-4,2,1,3,1,0,-4,-8,0.180664,0.467285,0.877441,0.8125,1.4375,1.6875,103,78,49
"34",6,-9,11,3,-7,-5,-4,10,0.380371,-0.356445,0.869141,1.6875,0.625,-0.6875,78,67,142,13,-4,-3,-6,-7,7,21,15,0.19043,0.459473,0.887695,-0.25,1.25,1.25,103,78,49
"35",-28,-8,6,3,-2,-4,2,16,0.375,-0.359863,0.866699,0.5,1.125,0.125,78,67,142,-7,0,-1,-3,-5,3,-15,-16,0.19043,0.464355,0.882324,0.875,0.75,0,103,78,49
"36",-8,18,-6,0,3,-1,9,30,0.380859,-0.356445,0.860352,-0.125,-0.0625,-0.3125,78,67,142,13,-1,-3,-4,0,1,-4,13,0.183105,0.470215,0.888184,0.25,1.0625,-0.5625,103,78,49
"37",-9,-1,-9,4,1,2,6,26,0.379883,-0.369141,0.866699,0.25,-0.125,-1.25,78,67,142,-19,-2,-2,-8,-4,7,-10,-19,0.187012,0.466797,0.887695,1.4375,0.0625,0.5625,103,79,49
"38",2,11,30,4,-4,-4,0,3,0.383789,-0.353027,0.868164,0.5,0.0625,-1.125,78,67,142,7,1,-1,1,-6,-7,0,5,0.184082,0.475586,0.888184,0.5625,-0.25,0.125,103,79,49
"39",-10,34,13,10,-4,-6,-11,8,0.373047,-0.350586,0.876465,-0.5625,0.375,-0.3125,78,67,142,-18,-4,0,1,-1,-11,-11,-19,0.179199,0.469238,0.884766,1.75,-0.75,0.5,103,79,49
"40",-4,-13,-22,-3,-1,-1,4,12,0.375488,-0.352539,0.869629,0.6875,1.1875,-0.1875,78,67,142,0,2,1,-7,-6,-6,6,1,0.188477,0.480957,0.881348,0.5,-0.1875,1,103,79,49
"41",-47,16,12,-13,1,4,4,1,0.37793,-0.352539,0.874512,0.875,1.25,-0.375,78,67,142,-26,-4,-1,-4,-4,-10,1,-40,0.182617,0.475586,0.876465,0.375,-0.5625,0.5625,103,79,49
"42",2,6,10,11,7,1,2,12,0.380859,-0.361328,0.874023,0.25,0.1875,-1.0625,78,67,142,-4,0,-3,-5,-1,-11,-1,-6,0.179688,0.472656,0.874023,1.0625,-0.125,0.4375,104,79,49
"43",13,-3,58,4,2,1,2,18,0.382324,-0.362305,0.871582,-0.0625,-0.125,-1,78,67,142,0,1,-1,-2,2,4,-16,8,0.180664,0.470703,0.878418,0.0625,-0.5,1.125,104,79,49
"44",-10,-7,-29,-3,-6,-5,0,-7,0.380859,-0.355469,0.87793,0.4375,-0.5,-0.9375,78,67,142,-9,-1,-1,-4,-5,3,-3,2,0.189941,0.477539,0.880859,0.75,-0.25,0.1875,104,79,49
"45",4,-3,26,1,2,0,1,19,0.375977,-0.364746,0.862305,-0.3125,-0.3125,-0.875,78,67,142,8,1,0,-2,3,18,17,17,0.185547,0.472656,0.875488,0.4375,-0.0625,-0.9375,104,79,49
"46",6,-2,-20,2,0,0,-1,-18,0.375977,-0.369141,0.866699,0.75,0.25,-1.3125,78,67,142,8,-2,-1,5,7,-5,12,-8,0.184082,0.482422,0.880859,0.9375,-0.25,-1,104,79,49
"47",-9,2,-24,-1,0,2,6,18,0.383789,-0.352539,0.873535,0.25,0,-1.5,78,67,142,-9,-3,-2,0,-6,-4,-2,-14,0.192383,0.474121,0.880371,0.4375,-0.3125,-0.4375,104,79,49
"48",5,-7,1,-1,1,-4,-9,-13,0.375488,-0.352051,0.864258,0.75,0.375,-0.3125,78,67,142,4,2,1,-3,-1,4,3,0,0.180176,0.477051,0.875488,0.3125,-0.5625,-0.5625,104,79,49
"49",-2,-5,-2,2,1,5,-1,-35,0.380859,-0.358887,0.874023,-0.75,0.0625,0.375,78,67,142,-7,-2,-1,-2,2,0,-8,-6,0.1875,0.48291,0.885254,1.25,-0.375,-0.75,104,79,49
"50",24,-17,-18,3,0,3,-11,-19,0.375977,-0.359375,0.876953,1,0.375,-0.3125,78,67,142,12,-5,-7,-12,-7,2,6,-7,0.186523,0.48584,0.87793,0,0,-0.375,104,79,49
