"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.120605","X.0.28125","X0.931152","X13.3125","X.8.125","X.14.5625","X81","X95","X96","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.112305","X0.0458984","X1.07764","X2.125","X11.25","X0.375","X92","X95","X96"
"36",2,5,7,-3,-6,-3,-1,1,0.280273,-0.129883,0.907715,7.75,-21.1875,-13.4375,84,73,89,15,41,6,11,17,89,13,-55,0.788574,0.154297,0.953613,-260.25,-34.875,83.0625,86,56,109
"37",-4,2,-12,5,-2,8,0,-1,0.275391,-0.193359,0.93457,-0.6875,-24.3125,-7.6875,84,72,89,27,-7,-3,-4,-3,-56,8,-22,0.677734,-0.119141,0.796875,-266,28.25,94.0625,80,57,111
"38",-13,38,11,1,2,4,-4,0,0.300781,-0.0771484,0.904785,16.4375,-23.75,2.5625,85,71,89,-5,5,-3,1,-2,-8,-4,24,0.316406,-0.0683594,0.595703,-168.875,127.312,104.875,74,65,113
"39",1,-6,4,6,-1,-3,4,-2,0.274902,-0.171387,0.914551,-10.8125,-2,1.375,84,70,89,-10,5,-2,-2,-6,2,-3,27,0.112793,-0.0585938,0.453613,-205.438,146.938,92.125,70,72,112
"40",8,3,6,4,3,0,5,-2,0.258789,-0.154297,0.913086,18.8125,-2.3125,9.375,85,71,89,-16,4,2,3,-2,14,-17,-53,-0.102539,-0.4375,0.391113,-200.5,105.812,105.688,63,82,112
"41",21,-10,-13,-2,-2,-1,-4,-1,0.336426,-0.106934,0.962402,-8.625,-11.625,18.375,85,70,89,-10,7,6,3,6,-4,-1,-9,-0.0766602,-0.708984,0.364258,-133.188,63.375,82.25,60,87,112
"42",-9,-5,-5,3,0,-3,-3,-3,0.359375,-0.211426,0.960449,-7.0625,-9.3125,17.9375,84,70,90,49,3,2,-3,0,19,12,87,-0.155273,-0.870117,0.425781,-23.375,13.125,-0.125,59,90,111
"43",4,-27,13,-10,-1,-3,-1,-4,0.36377,-0.210938,0.936035,1.25,-7,16.1875,84,70,90,-4,2,-1,0,-1,-1,7,0,-0.114258,-0.789062,0.433105,20.625,-15.125,-12.375,59,89,111
"44",16,11,3,11,7,6,2,1,0.365234,-0.221191,0.90918,4.9375,5.9375,0.5,84,70,90,0,-5,-1,-1,-3,10,-29,-29,0.0234375,-0.827148,0.468262,24.75,-9.5,-4.125,59,89,111
"45",43,-13,-12,-7,-5,-2,-5,3,0.315918,-0.187012,0.934082,-0.75,-1.1875,2.9375,84,70,90,5,0,0,0,-5,15,16,27,0.0620117,-0.91748,0.540039,0.5625,7.625,2.125,60,89,111
"46",-16,-1,12,10,-2,-2,-2,-6,0.334961,-0.182129,0.938965,-3.25,-5.375,2.1875,84,70,90,-24,-10,-9,-8,-11,2,-17,-6,0.0473633,-0.897461,0.612305,14.125,6.125,-2.0625,60,89,111
"47",-15,-6,-12,-10,0,11,2,-1,0.339844,-0.186523,0.952637,-5.5,-4.8125,1.4375,84,70,91,5,-9,-3,-1,-1,23,4,26,0.0268555,-0.885742,0.592285,-0.6875,4.8125,-0.25,60,89,111
"48",0,-7,16,1,3,0,-2,-5,0.341309,-0.16748,0.958008,1.6875,-3,-0.25,84,70,91,-15,-3,2,5,6,10,-2,-18,0.0200195,-0.92041,0.584473,-3.0625,3.25,-0.125,60,89,111
"49",-14,14,-11,-9,-6,-2,-2,-1,0.338867,-0.188965,0.929688,-1.0625,0.25,0.125,84,70,91,-22,-3,-1,0,1,13,4,-2,0.00634766,-0.879395,0.568848,3.125,0.8125,-2.6875,60,89,111
"50",3,-5,-2,-5,-2,-3,-2,-3,0.338379,-0.192383,0.924316,1.8125,-0.5,-0.3125,84,70,91,15,-2,-4,-5,-6,-3,4,41,0.0336914,-0.861816,0.56543,-2.625,0.5625,-0.5625,60,89,111
