"","X.9","X.4","X11","X.5","X.2","X7","X.5.1","X.2.1","X.0.248535","X.0.0239258","X0.991699","X.2.5","X.0.9375","X.2.375","X89","X104","X143","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.0253906","X0.317383","X1.16699","X49.125","X.132","X89.5","X98","X90","X67"
"29",0,4,19,-4,-3,1,19,4,-0.25,0.00244141,0.992676,0.125,-0.4375,-0.4375,90,104,143,-35,-3,-9,-19,-26,4,-7,-1,0.833984,0.402832,0.393555,-0.1875,3.75,-3.0625,111,33,26
"30",-12,-5,2,1,1,11,20,1,-0.251465,0.00390625,0.984375,-0.5,-0.125,0,90,104,143,73,11,-2,3,24,7,2,7,0.845215,0.373535,0.412109,-0.6875,5.8125,-2.75,111,33,26
"31",-9,-5,-39,-5,-4,-4,-13,-1,-0.253418,0.00927734,0.987793,0.3125,-0.25,0.0625,90,104,143,-21,9,4,-8,-36,-55,-16,-25,0.82373,0.407715,0.419922,-1.8125,6,0.375,111,34,26
"32",0,8,14,6,3,-1,3,1,-0.253418,0.00390625,0.989746,-0.1875,-0.25,0.375,90,104,143,-8,-3,-1,0,-13,-21,0,0,0.833496,0.381348,0.433105,2.25,2.6875,1.8125,110,34,27
"33",-14,-11,-16,-6,-1,-10,26,-4,-0.249023,0.00244141,0.991699,0.5,-0.3125,0.25,90,104,143,-43,-14,-1,-1,30,-5,4,-18,0.808594,0.39209,0.416992,-2.1875,0.9375,2.6875,110,34,27
"34",-5,-1,25,2,1,15,6,1,-0.253418,0.00976562,0.990234,0.4375,-0.25,0.375,90,104,143,14,10,6,17,26,5,7,12,0.8125,0.385742,0.422363,2.5,0.25,2.6875,110,34,27
"35",2,1,-6,2,-2,0,-16,2,-0.255371,0.00585938,0.987305,0.3125,-0.0625,0.4375,90,104,143,38,-4,-2,0,9,26,0,10,0.817383,0.382324,0.420898,-2.4375,-0.9375,3.25,110,34,27
"36",-17,-1,-26,-3,-1,-8,16,-4,-0.250977,0.00830078,0.984863,0.4375,-0.125,0.1875,90,104,143,-25,-14,-3,-6,-3,-13,-12,4,0.803711,0.371582,0.418945,1.5625,1.375,2.375,110,34,27
"37",3,-7,-36,-7,-3,-4,-7,-3,-0.253906,0.0136719,0.984863,0.0625,-0.5,-0.125,90,104,143,37,7,7,8,6,1,0,1,0.803223,0.373047,0.416504,-2.625,-0.4375,3.125,110,34,27
"38",1,-1,46,2,-1,-4,-32,1,-0.25,0.00537109,0.991699,0.25,-0.5625,-0.25,90,104,143,5,7,-2,-6,14,5,-3,1,0.815918,0.367676,0.416992,-1.25,0.6875,1.6875,110,34,27
"39",-10,-4,-7,3,1,9,8,-1,-0.249512,0.00927734,0.98291,0.75,-0.0625,0,90,104,143,-12,-4,4,10,14,42,11,-6,0.810059,0.358398,0.424805,-1.5,0.9375,0.5,110,34,27
"40",-12,-11,-10,-1,-3,-4,-3,-3,-0.254883,0.00341797,0.989746,-0.75,-0.0625,-0.375,90,104,143,-50,-11,-5,-10,2,-7,-9,11,0.812988,0.364746,0.424316,-3.25,0.3125,-0.0625,110,34,27
"41",8,4,0,-4,-3,-6,14,3,-0.25293,0.00146484,0.985352,0.4375,-0.375,-0.1875,90,104,143,13,4,3,2,-6,-3,0,-1,0.811523,0.370605,0.429688,-0.8125,1.1875,-0.75,110,34,27
"42",-8,6,19,-2,-3,-1,3,-7,-0.250488,0.00390625,0.989258,-0.1875,-0.0625,0,90,104,143,-3,-3,-3,1,17,-12,-5,-11,0.811035,0.367676,0.431152,-3.375,0.75,-0.5,110,34,27
"43",9,0,55,2,-3,2,-8,0,-0.249512,0.00195312,0.991211,0,-0.125,0.0625,90,104,143,15,-4,-3,1,9,36,10,6,0.811523,0.37793,0.419434,-0.75,1,-1.0625,110,34,27
"44",-3,-11,-32,-4,-3,-5,-14,-2,-0.25293,0.00683594,0.987793,0.1875,-0.25,0.125,90,104,143,-6,-2,4,5,36,24,-4,-1,0.805664,0.367676,0.433105,-0.4375,0.875,-1.0625,110,34,27
"45",-46,-4,4,0,-2,-5,-1,-7,-0.249023,0.00292969,0.984375,0.6875,-0.375,0.3125,90,104,143,9,-4,5,12,56,18,4,3,0.814453,0.373047,0.431152,-1.25,2.1875,1.125,110,34,27
"46",-11,-14,-3,0,-5,-18,3,-1,-0.25,0.0126953,0.991699,-0.125,0,0.25,90,104,143,-30,1,2,7,-24,-32,-2,0,0.811523,0.370605,0.428711,-0.5,3.0625,0.875,110,34,27
"47",3,0,-30,1,-2,11,3,4,-0.255859,0.00341797,0.987305,0.25,0,-0.125,90,104,143,13,-9,-5,3,-8,-13,-15,-10,0.810547,0.359863,0.432617,-1.0625,2.875,1,109,34,27
"48",-7,-7,6,2,6,10,-6,-1,-0.255371,0.00585938,0.98584,0.0625,-0.1875,-0.125,90,104,143,19,2,-9,-14,11,-18,-11,3,0.810547,0.367188,0.433105,0.125,1.375,2.1875,109,34,27
"49",-10,-1,-22,-3,-1,-8,-4,-5,-0.254395,0.00683594,0.986816,-0.4375,0,-0.0625,90,104,143,2,-11,-14,-25,5,16,-6,-1,0.810059,0.359863,0.437988,2.3125,2.1875,1.875,109,34,28
"50",2,-2,4,2,2,7,-11,-2,-0.250488,0.00488281,0.983887,0,0,-0.25,90,104,143,-23,-15,-11,-7,-22,-31,-5,1,0.804688,0.369629,0.437012,0.3125,1.875,1.5625,109,34,28
