"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.456543","X0.35498","X0.719727","X.82.25","X.18.5625","X.22.3125","X96","X106","X69","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.258789","X.0.207031","X0.916504","X14.625","X1.625","X.0.8125","X84","X104","X85"
"12",-5,-46,27,-3,-2,-97,-4,-13,0.481445,0.189941,0.631836,47.8125,-12.8125,0.625,100,46,55,-20,58,-16,-1,7,121,0,98,0.603027,-0.765137,0.471191,-75.4375,-39.3125,36,60,59,115
"13",-36,-23,-4,-61,-28,16,-9,-25,0.606934,0.256836,0.592285,35.0625,-8.1875,-7.9375,102,46,54,-73,-56,6,-9,-9,-29,-20,13,0.501953,-0.94043,0.351074,-36,7,43.875,59,60,116
"14",5,-11,-57,4,0,3,-10,-4,0.584473,0.205566,0.564941,22,-8.125,-6.3125,102,46,54,55,58,11,9,3,25,30,-9,0.429688,-0.672852,0.368652,-26,11.5,3.125,58,62,116
"15",-20,-41,-48,11,30,68,13,12,0.731445,0.30127,0.603516,-11.875,-11.8125,-26.75,103,46,53,-128,52,-3,-12,-7,56,-115,62,0.202148,-0.496582,0.254395,-28.4375,30.0625,7.3125,58,63,115
"16",2,2,-63,-8,5,-4,23,-3,0.750488,0.298828,0.583008,-26,-21.375,-15.1875,103,45,52,-2,-64,4,-12,-26,-12,3,4,0.399414,-0.853516,0.230469,-47.375,45.3125,17,56,65,115
"17",-17,-30,-41,-17,7,-35,21,-20,0.814941,0.295898,0.616211,-35.8125,-16.875,-3.75,102,44,52,58,42,15,9,17,-67,81,108,0.249512,-0.584473,0.107422,7.125,72.6875,17.3125,56,67,114
"18",13,1,11,-32,-21,13,-4,7,0.645508,0.286133,0.602051,-70.4375,-17.6875,7.25,101,43,51,21,-39,-13,-6,4,-68,-17,-50,0.347168,-0.603027,0.17041,14.125,68.6875,-17.3125,57,67,112
"19",-17,-24,4,5,4,-38,2,6,0.677734,0.273926,0.613281,-46.3125,6.375,14.25,99,43,52,0,35,-18,-2,6,-69,-67,-69,0.191406,-0.554688,0.282715,83,42,-2.375,59,69,111
"20",-11,-45,-69,-13,-6,3,-1,17,0.769043,0.140137,0.625,-60.6875,24.9375,-2.25,97,43,52,31,35,-1,-1,8,-16,6,14,0.370117,-0.602539,0.454102,119.188,4,0.75,63,69,110
"21",-3,13,123,12,-3,7,-55,-4,0.508789,0.269531,0.741211,-20,4.1875,-2.6875,96,45,52,-31,7,-23,-103,44,39,97,-29,0.312012,-0.536133,0.513184,180.75,-7.75,-25.3125,68,69,110
"22",4,-38,-2,-17,-11,-21,0,14,0.766602,0.149414,0.672363,-78.8125,-13.5,35.625,95,44,53,2,14,26,88,-93,24,0,7,0.374023,-0.314453,0.71875,189.812,-56.0625,-40.125,72,66,110
"23",-15,17,-18,3,2,-29,-32,2,0.811035,-0.120117,0.810059,7.375,14.6875,-15.5,94,44,53,-29,-1,-14,7,60,-2,-24,-14,0.90625,-0.366699,0.875488,172.438,-117.188,-71.125,77,59,110
"24",0,-13,-57,-5,-2,22,-24,-12,-0.17334,0.94043,0.991699,8.6875,-29.375,37.25,96,46,52,23,15,50,109,103,3,19,24,0.714844,-0.152344,0.922363,133.562,-140.25,-53,81,53,110
"25",10,-4,27,-12,-3,-3,1,20,0.54834,0.0205078,0.874023,-30.875,20.4375,2.0625,93,46,53,-25,-2,-27,-50,-45,86,-57,-32,1.51709,-0.140137,0.580566,139.562,-136.938,25,84,43,111
"26",3,-6,-30,19,11,21,-13,2,0.853027,0.141113,0.719238,35.1875,24,-4.875,94,47,54,57,24,16,19,63,-44,-74,-6,1.25732,-0.109863,0.51709,35.1875,1.875,-29,85,41,111
"27",5,27,-13,4,4,36,17,12,0.696777,0.0644531,0.689941,11,12,5.6875,94,47,54,-43,-2,10,4,16,-6,-31,-27,-0.99707,-0.859863,1.74463,-254.812,-23.3125,-108.625,81,44,107
"28",9,18,-12,1,9,18,-7,23,0.673828,0.123047,0.699219,3.875,7.625,1.4375,94,47,54,-4,5,14,17,25,24,-42,-6,0.599121,0.557617,0.865234,78.75,35.8125,-23.75,84,45,108
"29",-11,-10,-43,-7,-4,-35,-24,-28,0.648926,0.0639648,0.730469,1.3125,2.75,2.25,93,48,54,-21,11,0,-4,-17,-16,-1,21,0.645996,-0.362305,0.829102,-100.375,15.0625,10.3125,82,46,108
"30",15,21,21,14,12,4,-23,-22,0.62207,0.0766602,0.763184,-5.5,4.125,0.6875,93,48,54,-2,11,5,0,-6,-17,65,0,0.717773,-0.249023,0.702637,-2.4375,15.25,4.8125,82,46,108
"31",9,-32,-4,3,-2,9,23,-10,0.678223,0.100586,0.760742,-2,3.6875,4.5,93,48,54,-4,-10,-4,1,9,2,-15,-5,0.672363,-0.154785,0.670898,-4.25,10.9375,-3.875,82,47,108
"32",1,6,15,1,3,8,7,-20,0.661133,0.104004,0.727051,2.625,4.9375,7.3125,93,48,54,-3,-2,1,7,7,-1,0,1,0.671875,-0.200195,0.726562,-4.875,5,-0.8125,82,47,107
"33",-2,-28,-40,-9,-8,-7,0,-3,0.650879,0.11377,0.66748,8.625,13.25,19.5,93,49,55,-6,7,4,0,1,16,71,15,0.659668,-0.224121,0.735352,-2.6875,9.9375,1.8125,82,48,107
"34",-2,-18,-10,3,2,3,2,-6,0.586914,0.147461,0.654297,19,56.1875,48.9375,92,51,57,12,3,2,0,-2,9,24,16,0.663574,-0.197266,0.717773,-0.25,6.75,2.8125,82,48,107
"35",21,20,3,6,2,2,0,5,0.532227,0.193848,0.686035,0.875,88.3125,68.0625,92,53,58,3,-2,0,2,-7,-18,-5,-2,0.652344,-0.233398,0.718262,-2.75,6,2.3125,82,48,107
"36",-6,-14,4,5,1,4,-1,-9,0.503418,0.0380859,0.846191,-33.8125,133.062,82.1875,90,60,61,0,1,0,-2,-15,5,-6,1,0.575195,-0.312988,0.648926,5.5,13.5625,-19.3125,82,49,107
"37",-24,-17,-1,3,-4,-1,4,-11,0.378418,-0.139648,0.947266,-13.875,150.625,90.3125,88,69,64,1,1,0,4,-4,-3,-15,-9,0.505371,-0.228027,0.594238,3.3125,42.625,-44.9375,83,50,106
"38",2,-4,1,2,3,-1,0,3,0.242188,-0.146484,1.02686,44.375,165,85.6875,88,76,65,-3,0,0,0,0,0,-1,-4,0.710938,-0.161133,1.15723,-5.5625,114,-99.375,85,54,102
"39",-5,6,4,10,3,1,3,7,0.0693359,-0.0703125,0.983398,95.75,158.312,44.8125,90,86,67,-3,-2,-4,-2,-10,-6,-5,-1,0.661621,-0.0957031,0.524902,9.3125,160.188,-125.312,87,59,99
"40",15,2,-2,-3,-1,-3,0,2,-0.125488,-0.17627,0.972656,43.375,119.812,22.5625,92,94,68,0,0,-2,-3,-2,3,-2,6,-0.233887,-0.197266,-0.0297852,31.75,181.625,-116.938,89,69,95
"41",9,-9,-1,-2,-1,-3,-3,1,-0.330078,0.229492,1.43213,-2.4375,86.4375,28.25,92,100,69,-1,-1,0,1,-11,-2,-1,-1,0.147949,0.118164,0.996094,40.625,175.5,-100.75,90,80,91
"42",-15,-7,1,-1,-1,-1,-1,4,0.259766,0.0942383,0.867676,37.0625,-41.0625,-21.8125,92,98,69,-1,-2,-3,7,14,-13,-7,-2,-0.00878906,0.430664,1.18457,-19.5,153.25,-77.9375,91,87,90
"43",-9,10,3,1,1,1,-2,-9,-0.110352,0.3125,1.05273,-63.6875,-3.75,-0.625,92,97,69,-2,-2,-1,3,5,-10,0,-1,-0.0620117,-0.1875,1.5625,-17.875,105.812,-35.875,89,94,88
"44",6,3,14,3,-4,-3,-3,2,-0.21875,0.065918,0.98291,27.1875,0.3125,5.3125,92,98,69,-3,-1,-1,-1,-1,-7,-12,-3,-0.081543,0.16748,1.47559,11.1875,81.625,-28.375,90,98,88
"45",-6,-1,0,-1,0,0,0,0,-0.102539,0.0913086,1.03027,-2.0625,1.625,1.1875,92,98,69,4,-4,1,2,2,11,3,-13,-0.157227,-0.0366211,1.021,20.0625,73.875,-18.1875,90,102,87
"46",3,0,-5,0,-1,-1,-2,1,-0.0883789,0.0654297,1.01709,4.0625,1.75,-0.6875,92,98,69,0,1,0,-1,-4,-2,-10,0,-0.406738,0.20752,1.20215,9.6875,51.6875,-12.75,90,105,87
"47",-15,-9,-1,1,-1,-3,-2,-2,-0.123535,0.0922852,1.00391,3,-0.25,4.75,92,97,69,0,2,-2,-1,-2,1,-17,-15,-0.26123,-0.0151367,1.07666,-24.5625,3.375,14.4375,90,105,87
"48",9,-3,0,-2,-3,0,2,11,-0.116699,0.0810547,1.0332,0.1875,0.25,0.875,92,97,70,5,5,0,-2,-3,1,1,20,-0.380859,-0.0532227,0.960449,-15,5.5,4,89,106,87
"49",13,3,-3,-2,-1,0,1,2,-0.123535,0.0878906,1.02051,5.4375,1.75,0.625,92,97,70,-5,-3,-1,-3,-4,4,-16,-13,-0.353027,-0.0600586,0.999023,-7.4375,1.6875,-4.75,89,106,87
"50",3,-1,7,4,2,-1,-2,-2,-0.145508,0.0834961,0.994629,-1.875,1.3125,0.5,92,97,70,5,2,-2,0,-1,0,0,-7,-0.288086,0.0336914,1.01416,-3.5625,2.125,2.4375,89,106,87
