"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.643066","X.0.433594","X0.785645","X.47.25","X.115.312","X.57.875","X88","X103","X66","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.268066","X.0.266602","X0.975586","X.43.5","X4.3125","X2","X83","X105","X83.1"
"40",2,1,8,1,3,3,0,-3,-0.535645,0.0932617,0.827637,-28.625,49.4375,18.5625,94,109,67,-1,-1,0,3,-2,-10,-20,-5,-0.0693359,0.168457,1.00537,-56.8125,146.938,22.1875,94,78,82
"41",-15,-14,-5,-4,0,9,-2,-8,-0.552246,0.0639648,0.887695,-3.4375,18.5625,16.375,94,110,67,-4,-5,-4,-1,-11,-11,-24,-10,-0.0229492,0.012207,1.09619,-23.875,121.938,25.125,92,85,84
"42",3,2,4,1,-2,-22,-3,3,-0.405762,0.0239258,1.06201,-27.25,-22.5,7.0625,93,110,67,1,-1,-8,2,6,5,-20,-9,-0.322266,0.340332,0.96875,-42.125,91.5,7.875,92,90,84
"43",6,-2,-2,0,-1,-8,-4,-1,-0.342773,0.0361328,1.07422,-41.5625,-10.0625,2.75,92,109,67,-2,-7,1,-4,2,3,26,4,-0.180176,-0.0820312,1.02344,-60.3125,75.25,17.5,90,93,84
"44",2,-3,-2,-3,0,-6,-2,0,-0.319824,0.0556641,0.996094,-12.8125,-6.1875,5.9375,92,108,67,-3,0,-3,-2,-9,-19,2,1,-0.311035,0.120117,0.949219,-39.625,58.4375,0.375,90,98,85
"45",4,3,-3,0,-2,1,-2,0,-0.288086,0.0712891,1.01807,13.5625,3.75,8.0625,92,108,68,-1,-4,-1,-2,-7,-1,-12,-1,-0.413086,0.0141602,0.865723,-2.375,37,9.6875,89,101,85
"46",1,5,-1,-2,-4,-16,-8,-2,-0.296387,0.117188,1.02344,11.75,3.25,3.375,92,108,68,-5,-3,-2,-2,-1,3,-3,20,-0.322754,-0.043457,0.88623,-4.6875,11.75,3.625,89,103,85
"47",-2,1,2,0,-1,1,2,-2,-0.316406,0.0703125,0.955078,4.1875,3.6875,3.4375,92,108,68,3,4,-3,-1,-1,-3,-4,4,-0.274414,-0.0698242,1.11914,14.6875,32.0625,0.875,89,104,85
"48",2,-2,-3,-3,-4,4,7,4,-0.30957,0.0883789,0.967285,5.375,2.25,1.9375,93,108,68,1,0,1,0,4,7,-7,-4,-0.217773,-0.25,1.22852,-56.5,3.8125,-0.9375,88,104,85
"49",-6,-3,-2,-3,-2,-38,-5,1,-0.305176,0.0893555,0.984375,2.3125,3.875,2.1875,93,108,68,0,-6,-4,-4,-5,-10,-4,-2,-0.257324,0.0356445,1.06494,8.3125,14.625,-3.375,88,104,85
"50",-1,-2,-1,-3,-3,2,0,2,-0.310547,0.0927734,0.972168,1.25,4.125,1.375,93,108,68,-2,-2,-2,-1,-1,-5,-4,0,-0.267578,-0.0908203,0.953125,-30.625,14.8125,-7.1875,87,105,85
