"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.322266","X0.0224609","X0.976074","X.3.375","X.1.8125","X0.375","X90","X106","X76","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.197266","X.0.239258","X1.0293","X3.125","X.0.4375","X.3.6875","X86","X97","X82"
"26",2,3,1,11,0,-1,-3,-3,0.139648,-0.347168,0.976562,-30.5,-18.75,-7.5625,82,88,74,-15,-82,43,24,-5,4,4,7,0.570312,0.250977,0.973633,42.875,30.625,67.3125,97,68,97
"27",-1,-4,-1,-4,-2,-1,-2,-1,-0.0249023,-0.276367,1.09082,-20.875,-15.375,-2.125,81,87,74,-11,51,92,73,93,6,31,20,0.716797,0.242676,0.88916,39.0625,-3.625,85.25,97,67,98
"28",1,2,0,-2,-5,-2,-2,-1,-0.108398,-0.105957,1.04785,-22.8125,-21.4375,-8.6875,81,86,74,2,-15,-17,-15,-5,127,-1,53,1.15039,0.23584,0.710449,133.875,23.625,199.875,98,64,103
"29",-1,-2,-4,-9,0,1,0,-1,-0.0717773,-0.198242,1.02832,-12.25,-32,-2.75,80,85,74,3,24,9,12,30,21,26,-42,0.780273,0.31543,0.679199,86.0625,16.9375,237.875,97,62,108
"30",-2,-1,-5,-1,-12,-33,-9,-7,0.123535,-0.205078,0.927246,-2.5625,-30.8125,15.1875,81,84,75,7,-23,-4,2,3,6,-9,4,-0.0151367,-0.0151367,0.916992,28.8125,44.1875,150.375,96,61,115
"31",-3,-4,-4,-9,-4,34,-1,-4,0.205078,-0.35791,0.819336,-20.6875,-18.875,13.8125,80,83,75,14,0,-55,-46,-14,-3,-4,0,-0.67041,0.429199,1.02686,23,80.8125,-49.875,96,69,116
"32",0,0,1,-4,-3,4,0,-2,0.324707,-0.694336,0.836914,-32.25,-0.6875,32.125,79,82,76,-21,2,11,-4,-10,-7,-16,-36,-0.409668,0.26416,0.993652,-5.625,36.375,-80.1875,97,74,114
"33",2,-1,1,17,28,5,2,0,0.0527344,-0.532227,0.97998,-53.5625,-8.8125,-11.5,77,82,76,-19,127,35,64,31,-22,10,31,0.295898,0.473145,1.14404,52.0625,13.875,-132.25,98,76,112
"34",0,-1,3,25,-6,5,2,1,0.00878906,-0.458984,0.997559,-55.5625,-27.8125,-59.4375,76,81,75,-16,-73,20,107,27,-13,7,29,1.04736,0.520508,0.958008,-21.125,-52.625,-122,99,76,108
"35",-7,-2,-1,-12,-17,-39,-14,3,0.167969,-0.42334,1.0083,-20.9375,-29.1875,-89.1875,75,77,74,18,3,3,3,-21,-15,-2,-5,1.06348,-0.0141602,0.501953,-55.9375,-137.312,73.6875,98,68,107
"36",1,-30,-15,-1,2,11,34,-2,0.288086,-0.401855,0.98291,-21.8125,-8.9375,-101,76,75,72,10,10,14,10,1,0,7,-1,0.458496,-0.0639648,0.640137,-21.875,-116.875,103.875,97,62,109
"37",-8,13,-4,0,-18,-75,-28,9,0.399902,-0.315918,0.845215,-0.625,-1.625,-88.9375,76,72,69,-1,1,3,0,-2,-21,-1,5,0.324707,-0.00927734,0.852539,-87.3125,-80.0625,-21.25,95,56,109
"38",-35,-54,-19,20,9,40,16,-83,0.426758,-0.34668,0.875488,-62.125,17.375,-62.5,76,71,68,-6,0,-1,-5,7,20,27,-2,0.288574,-0.0727539,0.830078,-56.6875,-37.8125,-65.75,94,55,108
"39",17,-6,-2,-44,-4,52,29,-7,-0.306152,-1.64111,0.573242,123.188,43.9375,123.25,75,76,70,2,26,-2,-5,-7,-38,-7,14,0.65332,0.27002,0.779297,0.25,21.9375,-114.188,96,57,105
"40",10,15,-1,-1,0,8,-12,2,0.0463867,-0.458008,1.03906,38.6875,-3.1875,-12.9375,74,76,70,-1,-1,-11,-20,-38,-37,-12,3,0.585938,0.104492,0.758789,45.4375,65.4375,-149.188,98,60,102
"41",5,4,2,2,1,-5,1,16,0.366699,-0.322266,0.923828,-2.9375,7.875,2.1875,74,76,70,7,32,12,-1,47,-36,-34,8,0.427734,0.700684,0.699219,-1.3125,94.3125,-166.562,100,68,98
"42",-4,-1,-11,1,2,4,-3,7,0.383301,-0.392578,0.927246,34.8125,4.6875,13.625,75,76,70,-64,-48,-33,20,78,90,-52,6,-0.500488,0.675781,2.02393,-63.75,53.3125,-191.625,100,74,95
"43",-4,-9,-21,-4,0,4,-2,-1,0.351074,-0.337402,0.936035,46.6875,12.3125,28.3125,76,76,70,5,-8,-6,-19,-50,34,19,-7,0.931641,0.462891,0.458984,48,42.125,-51.0625,101,75,94
"44",-2,3,1,3,1,2,1,0,0.188477,-0.464355,1.00049,37.125,5.9375,58.375,77,78,71,-7,-12,-5,-4,-23,7,-9,-11,0.398926,0.106934,0.975586,-16.0625,-5.75,-0.3125,100,76,94
"45",17,-3,-6,6,5,2,-3,-1,0.22168,-0.350586,1.0376,81.8125,14,57.8125,78,79,72,-4,10,2,-1,-3,-6,2,-8,0.370605,0.339355,0.946289,9.5,9.375,-8.6875,100,76,94
"46",24,-14,-16,6,3,-1,4,8,0.285645,-0.327637,1.01367,71.3125,54.625,52.0625,80,82,73,-4,-12,-10,-10,-4,14,-3,0,0.330566,0.321777,0.893066,-10.375,9.625,-15.8125,100,77,94
"47",5,13,-4,-2,0,2,-7,-20,0.118164,-0.295898,0.95752,161.188,94.3125,60.0625,84,88,74,1,-1,1,2,-2,-7,1,2,0.276367,0.287598,0.936035,-19.125,-2.4375,-41.9375,100,77,93
"48",2,-2,-3,-2,-2,1,1,-5,-0.0595703,-0.171387,0.881836,144,102.312,71.3125,87,92,75,-2,0,-1,-1,-3,-3,-4,-8,0.32373,0.234863,1.021,-76.3125,3.5,-91.6875,99,78,91
"49",5,10,6,1,1,0,1,4,-0.414062,0.0297852,0.82959,28.0625,99.1875,45.25,89,99,77,-3,-3,-6,-3,1,7,7,17,0.199219,0.20752,1.04395,-90.875,21.875,-90.25,97,80,89
"50",-24,-4,-2,-1,2,-4,-4,19,-0.429199,-0.210938,0.876953,-36,83.1875,4.5,89,103,77,0,1,4,-4,-31,-12,11,-12,0.30127,0.269531,0.970215,-96.3125,61.875,-105,95,83,87
