"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.379883","X0.0136719","X0.785645","X.10.5625","X.3.625","X.7.4375","X88","X101","X77","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.272461","X.0.074707","X1.0752","X.1.125","X.4.25","X.2.625","X86","X100","X80"
"23",-1,4,2,-9,-3,-5,-3,0,-0.28125,-0.219727,0.968262,-5.5625,-18.5625,-7.25,79,91,73,-17,46,25,12,-5,-13,-9,-3,0.106445,0.178223,0.814941,68.75,60.5,143.125,95,63,114
"24",-1,-1,-1,3,10,6,0,0,-0.101562,-0.321289,0.958984,-21.625,-16.125,8.6875,79,91,73,-46,16,-29,-59,-22,-27,-8,-2,-0.310059,0.257812,0.980469,-21.6875,85.9375,15.4375,95,67,115
"25",-3,-5,-10,-44,-25,-28,-12,-5,0.104004,-0.355469,0.89209,-46.5,-0.1875,22.5625,78,91,74,-24,39,-9,-31,-23,-14,-21,-34,-0.542969,0.157227,1.05273,48.5625,66,-31.8125,95,72,115
"26",1,0,1,28,13,-5,1,-2,0.252441,-0.568359,0.913086,-69.375,-11.3125,26.125,76,90,74,27,30,95,91,17,-2,-4,-12,0.0424805,0.431641,1.1626,37.125,1.3125,-111.938,97,76,113
"27",-2,-3,-2,1,8,13,3,1,0.26416,-0.689453,0.970215,-44.5,-32.5625,-23.125,74,88,75,-3,-23,7,57,6,5,3,-12,0.72998,0.453613,1.12109,0.75,-34.6875,-160.375,99,78,108
"28",-7,-9,-2,7,4,4,-2,-3,0.188965,-0.61084,0.973145,-31.375,-42.25,-78.6875,74,85,74,-5,-19,-1,3,-18,30,-2,3,0.862793,0.21582,0.887695,-59.875,-106.5,-77.5,98,75,105
"29",-8,-57,-44,-12,-15,-6,0,-2,0.208496,-0.609375,0.955566,-2.5,-33.3125,-132,74,79,71,0,-8,-3,4,-1,52,7,0,0.652344,0.0566406,0.642578,-50.6875,-162.625,9.6875,97,66,104
"30",6,35,-4,11,16,-11,-5,15,0.130859,-0.546387,0.879883,17,-18.3125,-134.875,74,75,69,9,-3,-8,-1,-11,-1,-10,-12,0.60498,0.0664062,0.639648,-57,-136.812,-14,96,60,103
"31",-3,22,17,-4,27,57,39,-62,0.189941,-0.40918,0.864746,-29.5625,-5.0625,-96.25,75,72,66,-11,1,11,6,7,-6,13,68,0.494141,0.0844727,0.726562,-12.4375,-33.3125,-65.3125,96,57,101
"32",-21,13,-17,-24,-54,40,-2,-53,-0.316895,-0.95166,0.273438,101.375,42.875,235.812,75,76,68,-12,-14,-7,-9,15,50,-18,-32,0.553711,0.105957,0.777832,7.8125,53.8125,-60,97,58,99
