"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.346191","X.0.434082","X1.07373","X.54.75","X.93.4375","X.15.8125","X85","X84","X79","X0","X0.1","X0.2","X0.3","X0.4","X0.6","X0.7","X0.8","X.0.251465","X.0.270996","X1.07861","X.4.25","X0.5","X3.9375","X84","X99","X76"
"41",-1,0,1,0,0,-2,0,-2,-0.415039,-0.0317383,0.924316,3.1875,-2.5625,-2.875,87,115,78,-1,-1,1,1,-1,1,0,-2,-0.350586,0.0615234,0.686035,-36.3125,33.625,1.125,93,114,78
"42",-8,-2,13,5,-1,-1,-3,-4,-0.400391,-0.097168,0.908691,-8.625,-1.625,-0.25,87,115,78,-1,-1,-1,0,0,6,-1,0,-0.541992,0.145996,0.900391,-3,12.875,-6.5625,93,115,78
"43",0,-1,-3,-4,1,-1,-1,-1,-0.401855,-0.110352,0.941406,-5.875,-0.25,0.5625,87,115,78,-1,-2,-1,0,-1,-4,-1,-2,-0.390137,0.196777,0.960938,13.375,-21.4375,-5.125,94,114,78
"44",10,-1,3,-1,-3,-3,-1,1,-0.429199,-0.110352,0.941406,-0.25,0.625,0.5,87,114,78,1,0,-2,0,0,0,0,1,-0.382812,0.124512,0.970703,-8.6875,-10,3.1875,94,113,78
"45",-7,-4,-3,-2,-1,-3,-1,-3,-0.434082,-0.0795898,0.927246,2.625,0.5625,-1.6875,87,114,78,-1,-2,-1,-2,0,2,-1,0,-0.371094,0.105469,0.988281,-1.5,-5.5,6.9375,94,113,78
"46",-3,-1,-5,-1,0,-1,0,-2,-0.430176,-0.0917969,0.932617,-0.5625,1.1875,-3.9375,87,115,77,2,0,0,0,0,-1,-1,0,-0.353027,0.0522461,0.946777,3.8125,-2.8125,1.8125,93,112,78
"47",2,8,1,0,0,0,0,3,-0.436523,-0.0942383,0.922852,1.25,2.0625,-2.6875,87,115,77,-2,0,0,1,0,-2,-4,0,-0.374023,0.12793,0.959961,8.0625,0.4375,-1.5,94,112,78
"48",3,0,3,3,12,0,-2,0,-0.442871,-0.0820312,0.924805,2.125,0.6875,-0.25,87,115,77,-2,1,-2,-1,-1,-4,3,-1,-0.376465,0.171875,0.954102,12.6875,-1.1875,-0.9375,94,112,78
"49",7,3,1,-2,-3,-1,0,0,-0.436523,-0.0678711,0.927734,1.125,0.3125,0,87,115,77,-10,0,-1,1,-2,0,0,0,-0.373535,0.156738,0.953125,-1.875,-1.0625,0,94,112,78
"50",1,1,-1,-3,-1,0,-1,0,-0.419922,-0.0893555,0.924805,-1.3125,0.4375,-0.1875,87,115,77,0,-3,-2,-1,-4,-2,1,0,-0.370605,0.112305,0.955566,-0.25,-0.5625,1.3125,94,112,78
