"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.252441","X0.578613","X0.888184","X10.375","X.11.125","X0.8125","X103","X102","X90","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.208984","X.0.479004","X0.90332","X5.3125","X.4.1875","X.1.375","X75","X100","X77"
"34",1,4,-3,2,1,-4,5,-4,0.65918,0.492188,0.280273,-43.25,51.625,28,120,40,70,5,7,4,9,6,8,3,13,0.549805,-0.786621,0.0546875,18.4375,9.0625,-39,46,51,101
"35",-11,0,2,-2,1,4,25,4,0.746582,0.406738,0.354004,-48.25,59.875,23.75,117,40,72,-6,-11,-4,-7,-22,-17,2,-7,0.571289,-0.702148,0.0673828,40.9375,8.6875,-33.3125,48,49,101
"36",15,19,4,1,3,3,0,2,0.810547,0.444336,0.417969,-59.9375,79,15.9375,113,41,75,-1,-1,1,-1,1,3,-2,3,0.607422,-0.660156,0.13623,60.5,12.125,-29.5625,49,48,100
"37",-11,-3,-1,0,0,0,-10,-5,0.776367,0.367188,0.48291,-57.375,100.312,7.125,110,44,77,-3,-4,-3,1,6,-4,4,0,0.656738,-0.713867,0.147949,34.5,29.5625,-25.6875,51,47,99
"38",-2,1,4,4,2,0,-1,-5,0.797363,0.359375,0.602051,-45.375,128.75,8.3125,106,49,80,0,-3,-4,-7,4,-6,9,4,0.59082,-0.493652,0.244141,80.5625,47.5,-24.8125,55,46,97
"39",4,-6,-6,-4,-1,-4,-4,0,0.644531,0.469238,0.712402,-38.5,168.25,-12.0625,104,57,83,-2,-2,-2,0,8,4,-9,-4,0.686035,-0.55127,0.235352,51.3125,59.75,-27.9375,57,46,96
"40",-10,-2,4,5,5,3,-2,-7,0.552734,0.345215,0.848145,-46.8125,192.5,-3.75,102,64,85,-1,1,0,-3,1,6,1,0,0.725098,-0.503906,0.368652,71.1875,81.4375,-21.0625,61,46,92
"41",-5,15,19,-6,-8,-5,-6,-14,0.308594,0.374512,1.01709,3.3125,194.75,-35.375,101,76,86,-1,-1,-2,-3,-4,-3,3,0,0.706055,-0.511719,0.385254,82.125,103.5,-9.3125,64,48,90
"42",9,-28,-5,-24,-14,-10,-3,12,-0.126465,0.455566,0.989746,73.8125,172.875,-32.25,102,87,88,-1,1,-3,-1,-1,-2,-2,1,0.685547,-0.348145,0.554688,99.5625,131.312,-6.5625,70,52,86
"43",-17,-4,-13,4,3,5,0,-2,-0.274414,0.59668,0.907227,44.375,134.062,-36.8125,103,93,89,0,-1,2,0,-4,-2,0,-3,0.555176,-0.358887,0.699219,86.3125,149,-6.5,73,57,84
"44",7,1,-9,-1,1,-4,0,0,-0.476562,0.536621,1.36475,-14.75,81.4375,-7.25,103,99,90,-1,-1,-1,-4,2,-1,-2,-4,0.462402,-0.408691,0.851074,75.8125,182.25,6.875,76,66,81
"45",-2,-17,-5,-3,-3,-3,-1,-5,-0.266113,0.689453,1.08057,19.3125,51.0625,-24.4375,104,101,90,-3,-8,-8,-5,11,-12,-19,-3,0.20459,-0.40625,1.02783,37.75,203.812,34.375,79,78,80
"46",-6,-3,0,0,-1,-1,2,-5,-0.268555,0.333984,0.845703,-4,16.625,-11.4375,103,103,90,0,0,4,7,14,28,-14,-1,-0.0415039,-0.439453,1.16211,-10.875,167.062,39.8125,79,85,79
"47",-1,8,1,1,2,-2,-1,-3,-0.233887,0.398438,0.865234,-4.875,3.75,-3.375,103,103,90,3,4,5,9,-17,38,-13,-1,-0.257324,-0.459473,1.16553,-8.75,99.5,37.3125,79,93,79
"48",-1,1,1,-1,-1,-2,-4,-3,-0.257812,0.663086,0.908203,4.5625,-1.5,1.3125,104,103,90,-2,-2,-3,-1,5,-18,4,-2,-0.0927734,-0.0605469,1.29102,-67.8125,68.625,34.125,78,96,79
"49",-1,-1,0,-1,-2,0,4,-2,-0.238281,0.402832,0.836914,-1.125,-2.3125,0.5,104,103,90,-2,-3,-2,0,4,9,1,-1,-0.20166,-0.492676,0.956055,15.5,61.0625,26.125,77,101,79
"50",-3,-8,-2,-1,-1,-2,-1,1,-0.208496,0.500488,0.886719,-0.875,-1.0625,0.25,104,103,90,-1,-1,0,-3,1,5,0,2,-0.402344,-0.181641,0.786621,-6.5625,51.375,16.3125,77,104,79
