"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.193359","X0.164062","X0.889648","X.75.75","X.4.1875","X.17.25","X92","X99","X76","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.291992","X.0.106934","X0.881348","X9.9375","X1.625","X.13.75","X84","X99","X82"
"27",17,-1,-28,-4,2,1,-1,4,0.769043,-0.313477,0.289551,-22.3125,173.812,-70.6875,69,31,93,-2,-11,-9,-6,-15,-30,-23,-13,0.888184,0.581543,-0.0483398,-7.25,-16.6875,-10.4375,123,29,48
"28",-10,-11,-41,-9,-2,1,-2,-4,0.688477,-0.481934,0.464355,-1.5625,136.062,-25.125,72,35,90,-4,7,5,0,2,9,6,-16,0.780762,0.551758,-0.00439453,23.9375,68.5,61.3125,121,28,51
"29",-1,8,9,-2,2,4,-1,-6,0.759277,-0.246582,0.519043,39.5625,179.75,-70.9375,78,42,83,-4,8,-1,1,1,-2,-9,-10,0.796875,0.424805,0.168457,30.75,63.5,45,119,27,54
"30",-5,-32,-17,-11,0,0,-2,-1,0.647461,-0.291992,0.693848,31.125,171.438,-56.8125,82,51,79,-4,1,-3,-4,-14,-5,4,-11,0.819824,0.341309,0.318359,37.3125,84.1875,53.875,115,27,59
"31",7,-16,-31,-17,-6,-4,-5,0,0.703613,-0.166992,0.788086,65.625,169.312,-39.125,84,57,77,1,6,0,0,-1,-21,-4,-5,0.87207,0.31543,0.329102,13.8125,112.812,63.625,109,29,67
"32",5,9,14,7,7,2,-1,3,0.542969,-0.0844727,0.84668,63.25,182.062,-30.8125,86,64,75,0,-4,0,0,8,7,6,5,0.866699,0.251465,0.356445,14.5625,120.375,53.125,107,30,69
"33",30,14,37,10,0,-2,4,20,0.255371,-0.0117188,0.998047,71.5625,185.312,-5.5625,89,75,75,-4,-4,-4,0,20,11,-3,-2,0.814453,0.304688,0.483398,-7.0625,127.25,43.1875,103,35,75
"34",5,-26,-14,-8,-7,-14,-8,-1,-0.0830078,0.135742,1.01904,77,142,5.4375,91,85,75,0,-3,-6,-2,-3,-2,-11,-1,0.769043,0.141602,0.555664,-25.1875,170.812,41.0625,99,43,79
"35",-6,-8,-21,-1,-4,4,2,-10,-0.16748,0.143555,1.05322,24.125,104.062,15.3125,92,89,75,-1,2,-3,-3,2,12,3,0,0.702148,0.234863,0.691895,-65,178.188,17.5625,95,53,82
"36",-11,-7,-23,-12,-7,-7,-3,-11,-0.125,0.0869141,1.04639,-7.1875,70.375,25.25,92,94,76,1,2,3,7,15,18,1,1,0.505859,0.0288086,0.825684,-65.3125,197.062,12.1875,93,60,83
