"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.448242","X0.299805","X1.02393","X.35","X.5.8125","X.22.6875","X93","X108","X70","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.323242","X.0.188477","X0.95459","X.8.0625","X2.125","X.1.4375","X84","X106","X81"
"39",11,-3,10,-1,1,2,0,6,-0.537598,0.211914,0.740723,-45.25,21.8125,5.625,92,105,70,1,3,1,-4,-13,21,-2,0,-0.134766,0.0532227,1.0835,-29.3125,89,-29.75,91,95,83
"40",-8,3,-2,0,2,1,9,-29,-0.480469,0.0429688,1.05127,1.3125,13.1875,9.1875,91,107,70,1,-3,-1,-3,73,19,1,2,-0.24707,0.0961914,0.996094,-10.5625,73.875,-24.9375,91,98,83
"41",-2,-13,-11,-3,-3,4,-8,0,0.234375,0.241211,1.8457,17.625,-4.25,-7.25,92,105,70,0,1,0,-1,6,-1,2,-4,-0.357422,0.0424805,0.95752,-16.4375,35,-9.5625,90,102,82
"42",-6,0,-6,1,-1,-2,-1,1,-0.944336,-0.195801,0.335449,-11.6875,2.4375,2.1875,91,106,70,1,1,1,0,-14,5,-1,2,-0.349121,0.00976562,0.921387,-13.6875,22.75,-7.0625,90,103,82
"43",4,4,0,-2,-3,-7,-1,1,0.0273438,0.181152,0.461426,27.5625,5.75,-3.5625,91,106,70,-1,11,2,2,2,9,-3,-6,-0.642578,0.120117,1.11768,7.75,-6.3125,-16.6875,90,105,82
"44",-5,-10,-12,-6,-2,5,0,1,0.0380859,0.122559,1.52686,27.4375,2.5625,1.3125,93,106,70,-3,0,0,0,18,-11,-7,-3,-0.187988,-0.0922852,1.20947,-4.3125,4.3125,0.75,90,104,82
"45",-3,6,1,-2,-2,12,3,-2,0.157715,0.291016,0.480957,15.3125,3.75,-2.375,93,107,70,-2,-3,-1,-2,-16,-2,1,-1,-0.29834,0.0854492,0.991211,-25.5625,13.25,-7.3125,90,105,82
"46",-4,6,5,0,2,-3,-5,-7,-1.21973,0.00146484,0.833984,1.25,4.0625,2.1875,93,108,70,-1,-1,-2,-4,-4,-6,0,1,-0.297363,-0.0424805,0.935547,-16.9375,10.1875,-2.0625,89,105,82
"47",-2,-6,-10,-3,-1,7,-1,0,-1.20752,-0.0375977,0.880859,-9.4375,3.75,0.1875,93,108,70,-1,-5,-2,-1,-3,-3,1,1,-0.25,-0.0371094,0.957031,-9.625,6.1875,0,89,106,82
"48",-3,-12,-3,5,1,-1,4,0,-0.364746,0.165039,0.943848,11.1875,-1.75,0.25,93,107,70,0,1,0,-1,-17,-24,-12,-4,-0.245117,-0.0351562,1.01172,-32.25,2.3125,1.125,88,106,82
"49",-2,-9,-7,0,0,6,3,-1,-0.317871,0.138672,0.96582,3.8125,1.9375,0,94,107,70,0,0,0,1,-11,-5,-3,-3,-0.28125,-0.111328,1.03613,-17,-2.25,1.4375,87,106,82
"50",0,-7,-1,0,0,-3,-2,-1,-0.316895,0.129395,0.95166,4.4375,0.25,0.5,94,107,70,-2,-4,-5,-5,15,-2,-1,-1,-0.27002,-0.0566406,1.021,0.9375,-0.9375,0.3125,87,105,82
