"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.489258","X0.316895","X1.00195","X.24.125","X.101.312","X.22.1875","X93","X104","X65","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.216309","X.0.103027","X1.05225","X.7","X.0.3125","X.1.5","X87","X102","X85"
"35",3,-54,-35,-9,-5,-3,0,11,-0.521484,0.236816,0.854004,-28.25,65.6875,27.25,96,107,67,1,7,9,9,-4,13,-6,-2,0.496582,0.112793,0.937012,-46.25,180.812,-119.062,93,68,91
"36",-7,-15,-11,-5,-2,2,0,-2,-0.472168,0.294434,0.886719,-65.375,34.1875,18.625,96,109,68,0,2,-3,1,-4,6,6,0,0.0234375,0.178711,1.06152,-29.5,189.5,-96.75,92,80,88
"37",-5,11,28,-9,-7,-1,-1,6,-0.598633,0.194824,1.11865,-20.125,-17.1875,14.4375,94,109,69,-1,-3,4,4,16,1,-3,-3,-0.20752,0.245605,1.06299,-50.8125,140.312,-64.6875,91,90,87
"38",-4,10,5,9,5,3,-1,-11,-0.244629,0.175781,1.00586,-27.0625,-10.5,-0.9375,94,109,69,2,4,1,-2,-13,13,12,2,-0.214355,0.0859375,1.0835,-37.375,106.5,-41.625,90,95,86
"39",3,2,0,-4,-2,-2,-1,0,-0.344727,0.0820312,1.00879,12.5625,-0.125,12.9375,93,108,69,-2,-2,-3,-6,-13,-8,-2,-2,-0.318848,0.0874023,1.01807,-21.75,63.375,-29.25,90,100,85
"40",-1,-5,-14,0,0,0,0,-1,-0.340332,0.155273,0.875,-6.1875,-0.3125,2.875,94,108,69,-4,-8,-5,0,13,11,-8,-5,-0.380859,-0.0263672,0.932617,-13.5625,47.125,-29.0625,89,102,84
"41",7,1,0,0,-3,-9,5,13,-0.32666,0.0786133,0.984863,19.1875,-4.4375,-3.5625,94,108,69,-1,-2,-2,-2,1,-9,-3,-2,-0.433594,-0.00244141,0.865723,4.3125,20.4375,-18.6875,89,105,83
"42",5,6,11,1,-1,-5,0,-2,-0.214355,0.160156,1.11523,21.4375,-2.5,-0.4375,94,108,69,-1,-4,0,0,-8,-2,5,-1,-0.36377,0.154297,0.972656,7.25,-17.25,-10.5,89,105,83
"43",2,1,-4,1,-1,-2,3,1,-0.29541,0.216309,0.959473,-20.1875,1.1875,6.1875,94,107,69,-3,-4,-5,-1,-5,-16,-6,-3,-0.254395,0.0888672,1.06055,10.6875,-0.8125,-0.4375,90,105,83
"44",0,2,1,-2,-2,-3,-1,1,-0.322754,0.134277,0.951172,-7,0.4375,2.8125,93,107,69,-2,1,-3,-4,-6,-5,-6,-3,-0.270508,-0.0292969,1.02393,-10.1875,5,-5.0625,89,105,83
"45",-4,3,3,0,0,1,-3,-6,-0.299316,0.123535,0.961914,8.625,-0.3125,1.8125,94,107,69,-1,-2,-2,-5,14,4,-3,-1,-0.27832,0.00146484,1.03857,-5.375,5,-1.0625,89,105,83
"46",-5,-5,-1,-2,-1,-1,-3,-4,-0.29541,0.137695,0.98584,6,1,1.375,94,107,69,0,-2,-1,0,66,-4,0,1,-0.272461,-0.0556641,1.00439,-19.375,8,-0.5625,89,105,83
"47",2,-4,-1,-1,1,0,2,0,-0.291016,0.137207,0.969238,-2.3125,0.125,0.25,94,107,69,-1,-2,-2,-6,-22,-16,-4,-1,-0.27002,-0.138672,0.994141,-37.125,5,1.25,87,106,83
"48",-6,8,-1,-1,-1,2,-1,0,-0.285645,0.129395,0.969238,-1.625,-0.8125,-0.25,94,107,69,-1,0,-3,-5,-5,-6,-3,-1,-0.282227,-0.105957,0.974609,-15.75,1.4375,2.25,87,106,83
"49",0,-3,1,-2,0,-3,-2,-1,-0.299805,0.137207,0.990723,3.75,-0.0625,0.375,94,107,69,0,-1,1,1,8,0,0,1,-0.273926,-0.0512695,0.992676,-11.9375,-1.375,1,87,106,83
"50",1,-6,-3,0,1,-10,-6,-1,-0.285645,0.140137,0.963379,-4.625,-0.5625,-0.75,94,107,69,0,1,0,-2,-2,-5,-4,1,-0.289062,-0.0849609,1.00244,3.1875,-2.5625,-0.5625,87,106,83
