"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.675293","X.0.282715","X0.760254","X.11.6875","X.19","X6.75","X81","X127","X58","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.304688","X.0.204102","X1.02783","X.8.125","X.1.125","X.0.4375","X85","X101","X83"
"24",17,18,-4,2,4,1,-3,-29,-0.0727539,-0.447754,0.900391,1.6875,44.3125,10.5625,81,88,59,28,-25,5,-3,-12,-13,-28,-11,1.13525,-0.517578,1.02002,-17.1875,-74.1875,28.6875,93,90,99
"25",-74,-6,-14,-14,-11,-2,26,-38,-0.147461,-0.289062,0.915039,14.0625,45.9375,1.1875,81,91,59,24,-3,0,7,62,26,20,72,-0.134277,0.260254,1.12891,85.9375,-21.625,-54.1875,95,89,98
"26",35,6,-9,-12,-10,-12,-41,-33,-0.0864258,-0.381348,0.985352,-13.0625,30.875,-2.8125,81,92,58,-4,-4,0,-4,0,-53,-30,-27,-0.0351562,0.0834961,1.0835,75.9375,-81.375,-60.875,95,87,96
"27",-28,-8,-10,3,-4,9,14,15,-0.027832,-0.248535,1.02393,4.375,14.25,0.1875,81,93,58,-2,-2,-3,-9,77,58,-6,3,-0.0244141,0.441406,1.04199,57.375,-100.062,-1,97,83,95
"28",-25,4,8,7,4,11,14,27,-0.0405273,-0.268555,1.05225,-4.625,0,2.875,81,93,58,6,2,5,6,-32,-44,-15,-5,0.114258,0.17041,1.04883,22.5625,-105.938,-13.75,98,77,94
"29",-1,1,0,-3,-2,-20,-19,-15,-0.0742188,-0.240723,1.02734,-1.3125,-7.1875,4,81,93,58,-9,2,14,17,15,65,49,12,0.233398,0.243164,0.78125,32.8125,-55,-16.9375,98,75,93
"30",35,-1,2,2,2,5,-22,-3,-0.0849609,-0.28125,0.98584,-5.625,-10.75,9.0625,81,93,59,11,16,-4,-4,-14,7,8,11,0.335938,0.375488,0.82666,-17.1875,56.875,-4.5625,98,76,93
"31",27,6,1,-1,0,-5,-9,-3,-0.0849609,-0.274414,0.95752,-5.625,-9,14.125,81,92,59,22,8,2,-7,-4,-13,14,0,-0.140137,0.199707,1.26318,-64.0625,-5.0625,1.375,96,79,94
"32",-26,-5,-2,1,-1,0,10,-3,-0.0512695,-0.262207,0.906738,-3.125,17.1875,12.875,81,93,59,-10,-11,-36,-17,1,5,17,15,0.638672,0.495605,1.15576,55.375,-128.188,9.0625,97,75,93
"33",1,2,-1,-1,-1,-6,-1,3,-0.0629883,-0.271973,0.873047,4.0625,44.25,10.25,81,95,59,2,-7,16,10,1,-4,11,0,0.612793,0.302734,0.972656,-42.4375,-194,88.8125,97,64,94
"34",-2,-5,-1,-4,-14,-1,-2,-2,-0.0214844,-0.188965,0.772461,-10.875,99.25,18.1875,81,99,59,-7,-2,-42,-34,-27,2,-15,-7,0.561035,0.271484,0.878906,-40.375,-204.062,115.438,95,55,95
"35",-3,-1,-4,-5,-3,1,-1,-1,-0.23291,-0.398438,0.87793,3.0625,137.938,35.9375,80,107,59,29,10,-42,-67,17,31,12,7,0.518555,0.0913086,0.672363,-84.25,-191.625,113.125,92,47,97
"36",-5,-2,-2,0,0,-1,-2,-5,-0.288086,-0.101562,0.854492,-12.0625,162.75,35.125,80,113,58,-7,1,-4,-28,-26,-24,-39,-13,0.54541,0,0.45752,-39,-146.062,92.3125,87,37,101
"37",-2,1,-3,-1,-2,-2,-1,-2,-0.769531,-0.187988,1.17676,-156.25,132.562,3.5,76,122,57,-2,-15,4,16,54,3,14,2,0.571777,-0.0571289,0.291992,-22.4375,-38.1875,-3.3125,85,32,104
"38",-2,0,-1,-2,-2,-2,-2,-1,-0.670898,-1.27686,0.943359,-42.625,-12.5,3.8125,74,122,57,-13,9,-8,-4,-15,2,3,-9,0.436035,0.166504,0.409668,44.3125,84.875,-33.625,87,36,102
"39",0,1,-1,2,0,1,-1,-2,-0.599609,-0.140625,0.541016,140.438,5.125,-9.125,78,122,57,16,13,4,-5,-11,6,11,10,0.45459,0.0600586,0.432617,15.4375,120.562,-47.75,89,40,100
"40",-4,2,0,-3,-2,0,0,-1,-0.72168,-0.0859375,0.660156,-9.25,7.4375,8.75,79,123,57,-1,-18,-8,-8,-9,9,6,-5,0.448242,0.116699,0.472168,59.3125,236.812,-87.1875,93,52,97
"41",-3,2,-2,-1,-2,-1,0,-1,-0.538574,-0.271973,0.791016,-21.5,-11.1875,8.5625,78,123,57,5,10,2,-13,-7,33,2,0,0.567383,0.305176,0.759766,20.3125,272.062,-116.375,94,63,95
"42",1,-2,-1,-1,-2,1,1,0,-0.519043,-0.431641,0.89502,-19.625,-8.3125,-1.5,77,123,57,0,-2,-3,-6,3,-8,-3,-3,0.0131836,-0.0185547,1.01367,14.4375,273.5,-99.0625,95,81,93
"43",-1,-3,-3,-2,-3,-4,-3,-1,-0.585449,-0.333984,0.835449,2.6875,0.25,0.75,77,122,57,0,-2,2,-3,-9,-2,1,-1,-0.0336914,0.386719,1.20898,62.875,231.438,-86.75,96,91,93
"44",-2,0,-1,0,-2,0,0,-1,-0.533691,-0.350586,0.798828,-2.9375,0,0.25,77,122,57,1,3,2,3,5,2,9,4,-0.120605,0.227539,1.26465,76.0625,164.688,-24.25,97,102,92
"45",1,-2,-3,-2,-2,-1,0,-1,-0.523926,-0.347168,0.769531,2.8125,7.8125,0.875,77,123,57,1,1,-2,-3,-1,0,5,2,-0.501465,0.229004,1.07471,28.875,179,-15.5625,99,112,93
"46",-1,-3,0,1,-1,-1,-1,-1,-0.569336,-0.333496,0.794434,2.9375,5.3125,-0.0625,77,123,57,-1,-1,-1,1,0,-3,11,-4,-0.696289,0.14209,1.22168,149.438,157.875,8.625,102,118,94
"47",-2,-4,-1,-1,-1,0,-1,-2,-0.592285,-0.345215,0.801758,1.8125,2.0625,-1.75,77,123,57,-1,-2,-1,-1,0,4,-2,0,-0.393555,0.926758,0.572266,51.875,-6.8125,-10.1875,104,121,94
"48",-1,-4,-1,-1,-2,-1,-3,0,-0.553223,-0.325684,0.777344,-1.75,1.8125,0.1875,77,123,57,-2,-1,1,0,-1,0,-2,-3,-0.822266,0.62793,0.551758,-184.125,25.9375,29.75,103,121,95
"49",1,-3,0,0,-2,0,-1,-2,-0.550293,-0.364258,0.777344,-2.4375,3.1875,-0.25,77,123,57,-5,-5,-4,-3,-3,-3,-5,-7,-0.55127,-0.0654297,0.816406,-73.9375,25.875,15.875,99,122,97
"50",0,-1,-2,-2,-3,-2,-2,0,-0.569336,-0.336914,0.787598,3.25,0.25,-0.6875,77,123,57,-1,-1,-1,-1,-2,-12,0,-2,-0.897949,0.0825195,0.597656,45.1875,-13,-15.9375,100,123,96
