"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.185059","X0.0864258","X0.977051","X5.75","X.0.75","X0.1875","X92","X101","X78","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.242676","X.0.0214844","X0.901367","X11.1875","X1.0625","X.2.875","X85","X99","X78"
"35",-1,-4,-3,-1,-1,0,0,1,-0.203613,0.0864258,0.980469,0.75,2.25,-0.6875,92,101,78,-43,-6,-9,-11,-6,-11,-6,-4,0.131836,-0.205078,0.608887,35.5,49.9375,58.375,72,49,117
"36",1,-5,-5,-2,-3,-2,-3,2,-0.195801,0.0922852,0.993164,1.25,0.8125,1.125,92,101,78,19,9,-8,0,-8,18,-2,6,0.354492,-0.303711,0.704102,54.5625,-11.125,27,73,52,118
"37",-4,-3,-3,-2,-2,-2,-1,2,-0.193359,0.0927734,1,-1.6875,-0.6875,1.5625,92,101,78,-7,-17,-5,-10,-6,-13,-23,-3,0.644043,-0.441895,0.636719,41.8125,-43.8125,-17.5,74,50,119
"38",1,3,0,1,1,0,-1,-5,-0.209473,0.0942383,1.00098,-0.875,-0.5625,1.9375,92,101,78,2,-18,-2,0,4,13,10,9,0.724609,-0.479004,0.612793,37,-20.8125,-48.9375,75,48,118
"39",1,-3,1,-1,-1,-1,-1,-2,-0.199219,0.0961914,1.00586,-2.25,0.1875,2.0625,92,101,78,-4,-25,-2,1,5,4,4,-6,0.794434,-0.500977,0.649902,11.5,45.125,-73,77,47,116
"40",-1,-2,-2,-2,-1,-1,0,-2,-0.205566,0.0966797,0.999023,-1.5,0.25,1.375,92,101,78,-5,4,-1,-5,0,-19,-6,-18,0.663086,-0.421875,0.686523,9.4375,86.0625,-74.375,79,49,113
"41",1,-2,-1,-3,-1,-1,-1,0,-0.194824,0.10498,0.995117,1.125,-0.1875,0.1875,92,101,78,2,-1,1,1,6,-7,-2,-2,0.862793,-0.404297,0.716309,-32.75,131,-104.625,81,53,109
"42",-2,1,-2,-1,0,-1,-1,-1,-0.193848,0.10498,0.994629,4.0625,-1.125,-0.6875,92,101,78,2,1,0,4,1,-4,-1,5,0.71582,-0.36084,0.768555,-45,149.312,-126.688,82,60,103
"43",0,-2,-4,-3,-2,-1,0,1,-0.20166,0.104004,1.02197,2.1875,0.25,-1.5,92,101,78,0,-1,-2,-2,1,3,12,0,0.56543,-0.46582,0.833984,-38.125,177.75,-140.062,83,65,100
"44",-2,-1,-2,0,-1,0,2,2,-0.212891,0.0830078,0.980469,-0.75,0.1875,-1.25,92,101,78,-1,0,-2,-6,12,-1,-8,-1,0.437988,-0.0620117,0.989746,9.75,174.688,-140.25,85,73,94
"45",-3,1,-1,-2,-1,0,-1,-2,-0.190918,0.090332,1.00049,2.4375,-0.8125,-0.125,92,101,78,-4,-11,-9,-9,-42,-22,-2,-1,0.0908203,0.00488281,1.01514,-62.0625,161,-133.438,85,79,91
"46",-2,-6,-3,1,-1,0,-4,-1,-0.193848,0.081543,1.01367,-0.1875,-1,-0.5625,92,101,78,-4,-2,-5,-5,25,-7,-6,-5,-0.148926,-0.0869141,1.14502,-34.6875,124.188,-108.062,84,87,87
"47",24,9,2,1,1,1,-1,-1,-0.200195,0.09375,1.00537,-0.3125,0.875,0.125,92,101,78,0,7,1,1,13,2,-9,-4,-0.0820312,-0.240234,1.12891,-6.4375,106.5,-75.75,83,92,84
"48",-5,-5,1,-1,-1,-3,1,1,-0.200195,0.0957031,0.992676,-2,0.0625,0.5,92,101,78,-1,2,-3,-7,-27,8,0,1,-0.294922,-0.122559,0.988281,19,85.5,-64.5625,84,96,82
"49",11,9,4,3,1,1,1,0,-0.197266,0.0786133,0.990234,-4.75,-0.1875,1.25,92,101,78,-4,-9,-11,-16,-33,-6,-12,-2,-0.291992,-0.0664062,0.958008,10.875,49.75,-38.875,84,99,80
"50",-14,-6,-3,0,-1,-1,-2,-3,-0.194824,0.106445,1.00586,-1.6875,-0.25,1.5,92,101,78,0,1,4,4,-9,-6,-9,-4,-0.620605,0.0117188,1.21387,-5.5625,-9.25,-34.4375,84,100,80
