"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.105469","X0.160645","X1.15674","X11.25","X18.875","X.23","X89","X94","X72","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.298828","X.0.146484","X0.932617","X4.5","X.2.25","X5.1875","X84","X106","X85"
"36",-3,1,2,-1,-2,-2,-1,-3,0.580566,-0.0537109,0.80127,-8.875,124.938,98.375,87,58,63,0,0,2,-2,-7,-20,-6,-1,0.385254,-0.317871,0.651367,-13.8125,20.125,-36,81,48,110
"37",-1,-1,-11,-6,-4,-5,-5,3,0.506348,-0.166016,0.869141,-6.75,156.375,103.188,86,64,65,0,0,1,0,-2,-3,-8,0,0.381836,-0.148926,0.581543,3.0625,58.125,-62.375,82,50,108
"38",-12,-10,0,1,1,4,0,-2,0.398438,-0.380859,0.950195,3.8125,167.438,84.4375,85,75,68,0,-2,-1,0,-2,6,-2,-4,0.374023,-0.144043,0.659668,2.875,101.938,-113.312,85,54,104
"39",5,-1,-5,-2,-4,-7,-5,3,0.207031,-0.383301,1.06104,36.0625,142.75,75.5,85,81,69,4,2,6,5,2,-10,-1,1,0.614258,-0.0405273,0.818848,9.875,176.625,-150.812,88,62,99
"40",-3,0,-1,-2,3,-2,-1,-4,0.0585938,-0.163574,1.01953,19.25,111.562,49.5,86,89,70,-6,-4,-3,-12,-32,-15,-5,-9,0.461426,0.0766602,0.921387,6.375,204.75,-153.438,90,70,95
"41",-3,-2,3,1,1,-21,12,-2,-0.115723,-0.165039,1.04736,17.6875,101.625,44,87,95,71,-7,-8,-6,-6,-15,6,4,-2,0.290039,0.175781,1.03271,-5.4375,207.062,-130.312,90,83,91
"42",16,16,1,3,6,31,32,-19,-0.43457,-0.418457,1.39258,78.375,-51.5625,50.5625,87,96,72,-2,-7,-5,-5,35,-11,-6,3,-0.0830078,0.35791,1.11084,-14.6875,183.562,-90.375,90,90,89
"43",1,2,0,-1,-3,-8,-17,-4,0.236328,-0.166016,0.933105,-126.438,0.0625,11.125,87,94,72,-1,2,2,8,6,-2,6,-5,-0.149902,0.254395,1.27148,-18.3125,136.625,-59.875,90,96,88
"44",14,-4,0,-2,-3,1,5,38,-0.154297,0.0131836,0.984863,67.875,-2.5,0.3125,87,94,72,3,-3,-4,-5,9,24,8,2,-0.261719,0.065918,0.968262,29.875,87.4375,-32.0625,90,103,87
"45",-7,-2,-2,-1,0,-8,-12,-19,-0.0854492,0.0161133,0.944824,18.1875,8.0625,-3.4375,88,94,72,-10,-1,0,-1,-4,-11,-4,0,-0.40332,0.244629,1.21729,-6.0625,57.375,-20.9375,91,105,86
"46",-7,-2,-2,-2,-3,-4,2,3,-0.0131836,-0.160156,0.991699,-7.3125,-1,0.125,88,94,72,13,-5,-4,0,-3,-4,1,1,-0.0966797,-0.0322266,1.13379,17.8125,33.6875,5.1875,90,107,87
"47",13,1,-1,0,2,2,-2,4,-0.065918,-0.0546875,0.981445,-0.5625,-3.3125,4.4375,88,94,72,-6,-1,-2,-3,-1,-6,-10,-8,-0.364258,0.0219727,1.12695,-34.25,22.25,4.25,90,108,87
"48",15,-4,-5,-4,-4,1,1,19,-0.0913086,-0.0834961,1.00684,-12.8125,-2.25,3.4375,88,94,72,-5,4,-2,0,-2,2,13,-2,-0.409668,-0.0263672,1.02979,-13.25,9.75,14.875,89,109,87
"49",0,0,-1,-3,-3,5,-5,-40,-0.0605469,-0.0820312,1.0542,1.9375,-2.5625,2.25,87,94,72,2,2,-2,-2,-1,-7,-10,20,-0.452148,0.0371094,0.9375,-0.75,3.5625,1.8125,90,110,87
"50",4,5,2,1,1,9,3,2,-0.0610352,-0.0654297,1.04248,-3.1875,0.125,0.875,87,94,72,7,30,1,-4,-3,-2,-2,0,-0.411621,0.0205078,0.963379,-5.8125,-1.1875,0.125,90,110,87
