"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.201172","X0.501953","X1.00049","X37.875","X17.4375","X17.875","X103","X86","X33","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.277344","X.0.193848","X1.02637","X.5.375","X1.5625","X1.125","X84","X104","X83"
"31",-2,-9,-3,-2,-3,-2,3,4,-0.310547,0.13916,1.04492,33.6875,2.625,5.375,93,108,68,-1,-2,-3,-1,0,0,12,5,0.37793,0.455078,0.794922,-100,-31.9375,61.9375,104,73,82
"32",-3,-6,-4,0,0,-2,1,-1,-0.26709,0.123535,0.984863,-3.375,2.625,-0.375,93,108,68,-1,-5,-1,8,3,2,4,1,0.478516,0.342285,0.766602,-108.438,44.5,14.6875,100,73,83
"33",8,-1,-7,1,-3,-3,1,7,-0.278809,0.130371,0.95459,13.4375,3.1875,-0.5625,93,108,68,-6,-10,-6,-6,-5,1,-15,-5,0.428223,0.402832,0.910156,-101.938,120.5,-24.6875,97,78,84
"34",3,4,4,0,0,2,2,-3,-0.311035,0.210449,0.974609,21.75,-0.25,0.5625,94,108,68,4,10,5,6,-3,-3,-1,-1,0.271484,0.240234,0.974121,-89,136,-39.125,95,84,84
"35",0,0,0,0,-1,-1,-3,-10,-0.317383,0.192871,0.985352,9.0625,-1.4375,-1.5625,94,108,68,-5,-7,-8,-4,6,-7,-7,-4,-0.0107422,0.264648,1.04346,-67.625,123.875,-42.4375,93,92,83
"36",-1,4,8,-1,-1,-3,-3,-4,-0.298828,0.0649414,0.967285,-0.375,0.125,0,94,108,68,-1,-5,0,-7,-16,-1,17,1,-0.169434,0.193359,1.13135,-52.875,99.9375,-29.625,92,97,83
"37",6,-1,0,-1,-1,-15,-3,0,-0.294922,0.114746,0.955566,6.375,0.375,1.125,94,108,68,-1,3,1,1,-1,2,5,-1,-0.327637,0.103516,1.11816,-15.625,48.25,-3.25,91,101,82
"38",-5,6,1,-4,-2,1,2,-2,-0.300293,0.174805,0.96875,-5.375,1.1875,1.5625,94,108,68,2,2,0,6,12,-2,24,3,-0.34082,0.187988,1.13916,-12.3125,5.4375,9.25,91,102,82
"39",11,3,-1,-1,-1,1,2,3,-0.288086,0.158691,0.959961,-8.75,0.75,-0.25,94,107,68,-5,-7,-3,0,-2,2,-6,-1,-0.164551,0.0385742,1,16.75,-1.75,11.1875,91,101,83
"40",-16,-18,-4,-1,-1,-8,0,-9,-0.313477,0.144043,0.95166,2.75,-1.75,0.375,94,107,68,-2,-3,-2,0,1,7,26,4,-0.222168,0.21582,0.89502,3.125,18.1875,11.0625,92,102,83
"41",-4,0,12,0,1,-5,-1,-5,-0.297363,0.132812,0.976562,0.9375,-2.1875,0.1875,94,107,68,0,6,1,-1,0,1,-3,2,-0.30957,0.09375,1.06348,-62.9375,12.8125,4.4375,91,103,83
"42",4,2,-1,-2,-2,2,4,3,-0.296875,0.129883,0.979492,0.5625,-0.9375,-0.1875,94,107,68,3,4,1,1,-3,-1,-17,-3,-0.181641,-0.0820312,1.17383,-47.625,6,14.25,89,103,84
"43",1,0,0,0,1,5,0,-3,-0.29248,0.141602,0.986816,1.1875,0,0.5625,94,107,68,0,2,-1,-3,-3,-1,-2,-5,-0.254395,-0.0136719,1.06885,-10.6875,-2.0625,-1.3125,89,103,84
"44",-7,-3,-2,0,0,3,1,0,-0.290039,0.160156,0.986816,-1.125,1.8125,-1.0625,94,107,68,-1,-4,0,-1,1,5,0,2,-0.272461,-0.0742188,1.05469,-0.125,-1.0625,-8.25,89,103,84
"45",-10,5,-2,1,0,1,-2,-12,-0.305176,0.138184,0.962891,2,2.625,-0.875,94,107,68,-4,14,1,-1,-2,0,1,7,-0.269043,-0.0166016,0.991211,2.5,4.6875,-4.625,89,103,83
"46",-7,-6,-2,0,-1,2,-2,-1,-0.312012,0.126465,0.94043,-0.0625,0.8125,-0.5625,94,107,68,-4,1,1,-4,0,-2,-1,-2,-0.23584,-0.0512695,1.02344,-12.375,5.5625,-3,89,104,83
"47",-4,-3,-2,-2,-1,0,-4,-6,-0.293945,0.143555,0.969727,1.125,-1.0625,0.875,94,107,68,2,3,0,-1,-1,1,8,9,-0.223633,-0.0351562,1.0415,-9.75,5.5,-1.375,88,104,83
"48",-12,-3,-1,-1,-1,1,-3,-7,-0.288086,0.155273,1.00195,-1.1875,0.5,-0.4375,94,107,68,-5,-12,-2,0,-1,4,-5,-14,-0.209961,-0.0307617,1.01855,-8.6875,4.625,0.625,88,104,83
"49",2,-2,-1,-1,-1,0,0,2,-0.305176,0.15625,0.95752,0.5625,1.5625,-1.3125,94,107,68,3,5,-2,-4,-5,3,12,11,-0.246582,-0.0180664,1.00537,-6.1875,2.8125,-0.3125,88,104,83
"50",1,-1,-1,-1,-1,-4,-1,2,-0.301758,0.126465,0.95166,1.4375,0.8125,-0.9375,94,107,68,-7,4,-1,1,-1,1,0,-20,-0.24707,-0.0380859,1.00439,-1.6875,2.625,-0.5,88,104,83
