"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.30957","X.0.666504","X1.1709","X6","X.170.062","X.98.625","X86","X94","X63","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.27002","X.0.248047","X1","X.6.5","X.2.3125","X.1.4375","X83","X104","X84"
"21",5,1,14,9,8,19,-10,3,0.982422,0.310059,0.925293,117.188,-40.5,279.625,101,56,50,5,-3,-3,-1,-21,-25,-6,-3,-0.314453,-0.147949,1.06689,-45.375,19.5625,179.562,87,76,103
"22",-8,-9,1,-7,-11,17,-15,-26,0.876465,-0.591309,1.04639,108.688,-32.3125,304.188,98,48,60,25,36,27,4,3,-12,14,-2,-0.484863,-0.455566,0.963379,-11.75,-13.875,38,85,79,105
"23",-22,15,0,2,7,23,-8,-58,1.88525,-0.742188,0.34668,85.0625,-51.4375,251.062,95,44,67,-25,-6,1,-10,-34,-4,-21,-12,-0.48291,-0.395996,1.00537,8.75,-24.125,-85.4375,85,80,104
"24",0,2,-8,-10,-9,-5,-1,8,1.67773,-0.271484,0.444824,8.5,-17,40.9375,91,40,72,-17,-30,1,5,-4,17,-10,0,-0.335449,-0.302246,1.00195,1.5625,-30.125,-167.312,86,78,101
"25",6,4,-11,-2,-5,-11,1,14,0.463379,-0.178223,0.144531,-15.0625,28.9375,-29,90,40,72,0,6,-11,-10,-23,13,23,-7,-0.19873,-0.0551758,1.0332,18.625,-61.375,-271.875,87,75,96
"26",-1,-7,-3,-3,-2,-4,-5,0,0.165527,-0.0932617,0.275391,-40.4375,43.75,-57.875,91,43,70,-53,-20,-15,-13,-21,0,-12,-27,0.383789,0.300293,1.07422,-20.375,-104.375,-382.938,90,69,85
"27",1,-3,-3,-2,-2,-2,0,3,0.762695,-0.179199,0.641113,-47.8125,44.0625,-76.75,91,45,69,-19,-52,-19,-7,3,13,-15,4,0.65918,0.905273,0.708008,-32.125,-102.5,-328.625,95,65,73
"28",-7,-3,-3,0,-1,4,-2,-5,0.766602,-0.0927734,0.613281,-66.3125,56.0625,-105.938,91,48,65,-19,-13,-2,-6,-3,-7,-4,-13,0.475586,0.971191,0.689941,-32.25,-52.5,-126.75,96,64,68
"29",-11,-3,-1,-1,2,8,1,-4,0.753906,-0.147461,0.584473,-69.25,79.6875,-141.188,92,51,62,-10,-34,-13,-6,0,8,8,0,0.697754,0.545898,0.63916,-14.3125,5.25,44.3125,97,62,68
"30",0,8,1,3,-3,-2,-1,-3,0.478027,0.09375,0.827148,-32.375,116.938,-133.75,93,59,57,14,15,6,5,14,11,-4,0,0.591797,0.347168,0.727539,16.8125,14,51.25,97,62,69
