"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.217773","X0.00146484","X0.91748","X8.875","X6","X.1.3125","X89","X101","X77","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.326172","X.0.175781","X0.913086","X.11.0625","X32.9375","X15.375","X84","X101","X80"
"37",7,-17,-14,-6,-37,-18,-26,-24,0.25,-0.359863,1.21777,-27.625,33.4375,-46.5,74,73,66,41,19,4,3,28,85,3,32,0.547363,0.20459,0.725586,0.75,52.625,-51.0625,97,57,101
"38",8,-14,-6,24,6,48,27,16,-0.134766,-0.64209,1.15967,-1.75,3.375,-15.4375,74,73,66,13,-13,1,4,16,-12,-11,-12,0.390625,0.111328,0.768066,33.0625,85.375,-117.25,98,63,99
"39",0,-3,2,14,17,20,50,60,0.315918,-0.534668,0.755371,-4.125,8.1875,-8.875,75,73,66,-17,-36,-1,-1,2,96,-35,-5,0.325684,0.46582,0.76416,50.4375,73.625,-141.875,100,68,97
"40",-1,14,-5,-17,-13,-1,-13,8,0.317871,-0.391602,0.89209,15.0625,-1.3125,5.6875,75,73,66,-18,2,4,48,127,-18,19,-21,-0.293945,0.393555,0.945801,-1.875,-46.875,-3.3125,101,72,94
"41",-4,-2,-1,6,-7,-47,-41,-41,0.219727,-0.451172,0.888184,5.625,1.5625,-2.5,75,73,66,0,-7,-1,-18,-12,27,2,-12,0.0263672,0.689453,0.882324,-37.125,44.0625,21.3125,102,72,93
"42",-2,-2,-8,-10,-2,0,9,4,0.275879,-0.459961,0.847656,14.625,-0.5625,-3.375,76,73,66,0,-1,0,-6,-41,-1,9,-16,0.520508,0.374023,0.861328,23,-3.3125,-10.75,101,72,93
"43",8,2,11,1,3,14,8,8,0.287109,-0.402832,0.841309,18.5625,-3,0.6875,76,73,66,1,0,0,3,21,4,28,9,0.32373,0.398926,0.884766,4.8125,-3.6875,-16.625,102,72,93
"44",-4,-2,-7,-6,-5,-3,-1,-2,0.407715,-0.319824,0.916992,32.25,-3.875,28.4375,77,73,67,0,5,3,11,-1,4,-6,6,0.288086,0.427246,0.876953,-9.8125,3.25,5,101,72,93
"45",-10,-18,-4,-3,-2,-2,-5,-6,0.378906,-0.347656,0.972656,37.1875,2.875,43.125,77,74,67,-6,-8,-3,-3,-16,-2,-10,0,0.320801,0.402344,0.86377,0.75,-2.8125,2.1875,101,72,93
"46",5,9,1,3,2,0,-1,-1,0.32666,-0.330566,1.0376,63.4375,7.25,75.875,79,75,69,-2,1,3,3,-2,0,-6,-4,0.349121,0.376465,0.875488,-8,-0.4375,-3.0625,101,72,93
"47",-13,4,24,-1,0,0,-2,0,0.334961,-0.212402,1.04102,95.0625,40,62.5625,80,77,70,3,4,5,7,-8,-17,-5,1,0.408203,0.284668,0.830566,-3.125,3.9375,-12.3125,101,72,93
"48",25,-9,-9,3,0,-1,-2,4,0.197266,-0.32959,0.997559,89.8125,91.25,64.625,83,82,71,2,-1,1,2,1,1,0,4,0.462891,0.290039,0.918945,-6.1875,11.6875,-28.875,101,72,92
"49",8,-20,0,-7,-5,-3,-1,9,-0.105469,-0.081543,0.943848,163.875,86.875,67,87,88,73,0,2,4,3,2,-6,7,-2,0.396484,0.352051,0.937012,-63.5,7.5625,-72.5,100,73,91
"50",-19,-9,-5,-1,-2,-1,3,-11,-0.205566,-0.0253906,0.899902,76.75,68.6875,47.1875,89,91,74,-2,-5,-7,-11,-5,-14,-2,-4,0.307129,0.231934,0.97168,-83.4375,38.25,-76.375,99,75,89
