"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.484375","X.0.106445","X1.021","X66.75","X.88.6875","X.68.1875","X94","X105","X65","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.268066","X.0.20166","X0.999512","X.0.1875","X1.375","X0.125","X84","X105","X84.1"
"30",-17,-19,-18,7,6,1,0,-5,-0.112305,0.0473633,1.02197,-5.5,158.562,99.625,95,89,62,-7,-17,-11,-1,-5,4,1,0,0.181152,0.229004,0.847168,-101.875,-15.3125,44.9375,98,81,83
"31",-11,-9,-3,-7,2,3,3,2,-0.129883,0.0761719,1.06787,9.125,131.062,74.1875,95,94,64,-3,-4,1,2,-3,-4,2,-6,0.192871,0.242188,0.89502,-91.625,17.6875,30.875,96,81,84
"32",12,-29,-25,3,-2,-2,-5,1,-0.27832,0.0561523,1.05908,-5.4375,104.5,58.8125,95,98,66,3,-4,-1,5,2,0,2,3,0.280273,0.299316,0.966797,-79.125,48.75,6.9375,95,82,84
"33",1,9,-26,-5,-2,-1,1,-2,-0.325195,0.142578,1.05713,-22.0625,60.25,28.5625,95,102,68,0,-2,-4,-11,-1,-5,12,-1,0.157227,0.185059,1.03906,-45.1875,87.3125,-22.8125,93,87,84
"34",3,-5,-13,4,1,4,2,4,-0.372559,0.157715,0.999512,-10.125,39.4375,19.5,95,105,68,-7,-17,-5,-25,-3,-6,21,1,-0.0175781,0.183105,1.07959,-27.125,81.125,-32.8125,92,91,84
"35",9,-2,-16,-1,2,1,2,2,-0.364258,0.155273,0.920898,-16.5625,25.8125,9.25,95,106,69,1,8,3,6,1,2,-3,-3,-0.20166,0.182129,1.06982,5.125,53.5,-14.25,92,95,83
"36",-3,-6,-5,-2,0,31,-1,-5,-0.331543,0.105469,0.950195,-6.6875,-9.6875,7.6875,94,107,69,-2,3,3,21,0,7,12,-3,-0.19043,0.239746,1.09424,4.75,33.75,-7.5625,92,97,83
"37",6,7,-3,0,0,-13,-7,-17,-0.207031,0.171387,1.07275,-37.875,1.5625,10.1875,94,106,69,0,-8,-1,-11,-14,3,-1,-1,-0.166016,0.146484,1.09619,-3.1875,23.8125,6.4375,92,98,83
"38",6,6,0,1,-4,-33,-7,1,-0.274414,0.090332,1.13086,-10.625,-0.5,0.3125,93,106,69,-2,-2,0,-1,3,-2,-29,-7,-0.160156,0.142578,1.06299,-24.6875,26.6875,0.1875,92,99,84
"39",-5,-2,-3,-3,-1,4,6,-2,-0.280762,0.150391,1.08496,18.0625,7.5,-3.75,93,106,69,-3,-3,-3,-2,-5,-4,-13,-7,-0.257812,-0.0117188,0.935059,-26.0625,32,-7.875,91,101,83
"40",5,3,-1,-1,-2,15,5,9,-0.292969,0.318359,0.928223,13.625,2.4375,7.1875,94,106,70,-5,-6,0,2,0,-8,-2,-3,-0.366211,0.225586,1.09912,-42.125,-26.5,-4.4375,90,102,83
"41",7,3,2,0,-1,-2,-3,-1,-0.258301,0.0756836,0.941406,7.1875,-0.5625,2.5625,94,106,70,1,8,0,3,5,-5,1,2,-0.199707,-0.102051,1.25342,-31.8125,-11,3.4375,90,101,83
"42",3,1,-1,1,0,-20,-6,-2,-0.283691,0.100098,0.939941,18,0.375,2.0625,94,106,70,-1,-1,-1,-1,0,7,5,2,-0.233887,0.10498,1.05127,8.1875,2,0.125,90,101,83
"43",1,2,0,0,-2,-10,-1,2,-0.274414,0.115234,0.98877,-10.3125,-1.375,2.25,94,106,70,-2,-12,-2,0,3,7,11,-1,-0.208008,-0.0249023,1.05908,-50.6875,10.8125,6.375,89,102,84
"44",-3,4,2,1,-2,-6,-4,-11,-0.285645,0.148438,0.978027,-10.1875,-1.25,2.5625,94,106,70,-1,9,1,1,-1,-3,-10,-8,-0.210938,-0.184082,1.06689,-33.4375,9.75,1.5625,87,102,84
"45",-5,-1,1,0,0,-3,1,1,-0.299316,0.175781,0.964355,-1.4375,0.25,1.25,94,106,70,3,-2,-1,-1,-2,1,3,-1,-0.20166,-0.188477,1.02148,-6.875,4.625,-1.9375,87,102,84
"46",-7,-4,-1,-3,-5,-1,8,-9,-0.273926,0.147949,0.972656,-0.125,-0.375,0.5,94,106,70,0,-11,-2,0,-2,-5,-2,0,-0.26123,-0.0717773,0.96875,7.25,2.125,-1.4375,87,103,83
"47",-2,-4,-4,-2,-1,-3,0,9,-0.269043,0.129395,0.986328,2,-0.9375,-0.1875,94,106,70,-7,-3,-3,-1,-1,-2,3,-2,-0.235352,-0.0678711,1.00146,-8.4375,0.75,-1.1875,87,103,83
"48",8,6,2,-1,-1,-8,-7,-3,-0.28418,0.130859,0.973145,-4.125,-0.625,0.125,94,106,70,10,31,4,2,0,-3,0,-1,-0.224609,-0.0947266,1.0249,-5.125,0.3125,-0.9375,87,103,83
"49",0,-1,-1,-2,0,-12,-10,1,-0.278809,0.143066,0.979492,-0.5625,0.25,0.25,94,106,70,-1,-2,-1,0,2,-2,-7,-3,-0.234375,-0.102539,1.02441,0.0625,1.625,0.875,87,103,83
"50",-11,-6,-2,-1,-1,-7,-10,0,-0.282715,0.143555,0.987793,0,0.1875,-0.375,94,106,70,2,25,4,-2,0,2,-2,1,-0.241699,-0.0864258,1.00146,-2.3125,0.9375,1.125,87,103,83
