"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.518066","X0.0463867","X0.746582","X.19.8125","X49.8125","X.175.438","X91","X63","X66","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.213379","X.0.146973","X1.02148","X.12.1875","X0.6875","X2.3125","X83","X100","X72"
"33",-1,-13,-2,4,3,4,9,-9,-0.51123,0.363281,0.956543,-75.125,59.3125,49.1875,102,105,86,0,-7,-6,-11,0,-11,-9,-5,0.384277,-0.317383,0.731445,23.8125,48.875,-6.125,74,68,99
"34",-2,-9,-4,4,3,5,2,2,-0.433594,0.443359,0.92334,-104.312,16.375,18.25,100,107,87,-1,4,1,-2,-1,-38,-3,0,0.460449,-0.524902,0.885742,20.4375,-2.3125,-21.6875,74,68,99
"35",8,32,-16,-1,2,3,-15,-7,-0.275879,0.268555,0.963379,-85.3125,-32,13.625,97,105,88,1,-1,1,4,4,5,-4,2,0.401855,-0.54834,0.915527,27.9375,-1.8125,-35.5625,75,67,98
"36",-6,-11,-9,1,-1,-4,-1,1,-0.223145,0.097168,0.962891,-75.75,-13.75,20.75,96,104,88,-4,0,1,0,-9,-13,-11,-6,0.341309,-0.484863,0.885742,20.9375,14.3125,-36.625,76,67,97
"37",2,-4,-1,0,-3,-18,4,-16,-0.27002,0.1875,1.10205,-13.375,-6.0625,18.4375,95,104,88,-2,-2,-1,-3,0,5,8,2,0.351562,-0.38623,0.680664,24.25,43.3125,-46.3125,77,68,95
"38",-2,-11,9,-1,-2,-4,5,1,-0.21875,0.200684,1.04639,-39.125,-0.375,10.25,94,103,89,-4,2,2,-2,-5,-6,-8,-5,0.469727,-0.318359,0.67041,10.6875,98.25,-87.9375,79,70,92
"39",-5,-16,-16,-6,-1,7,0,-12,-0.239746,0.126465,0.975586,1.3125,7.375,7.5625,94,104,89,-2,-1,-4,-2,0,9,-2,-7,0.421387,-0.361328,0.739258,-2.25,141.75,-100.188,80,73,89
"40",-2,-10,-13,-3,-4,-8,4,4,-0.263184,0.195801,0.933105,14.8125,1.5,6.75,94,104,89,-1,-2,0,2,3,4,18,11,0.186035,-0.394531,0.91748,-9.75,164.875,-108.688,80,78,86
"41",-3,-4,-5,0,-2,7,-2,-2,-0.213867,0.145996,0.983398,-4.3125,0.375,5.25,94,104,89,1,1,3,-5,-30,-7,1,-3,0.0947266,-0.407715,1.02881,8.0625,165.875,-91.3125,81,85,82
"42",2,7,2,1,0,-4,-8,19,-0.23877,0.127441,0.984375,-8,-0.1875,3.4375,94,104,89,-4,-2,-2,0,0,2,6,-1,-0.19873,-0.170898,1.08301,54.3125,123.062,-64.5,82,92,78
"43",-2,10,5,0,-1,7,-3,-9,-0.245117,0.130859,0.981445,-7.8125,0.125,4.3125,94,103,89,0,-11,-5,2,29,0,-2,1,-0.222656,-0.143066,1.19189,33.3125,74.875,-53.5625,83,95,77
"44",-4,-1,3,-1,-1,6,-2,-2,-0.240723,0.144043,0.978027,-10.25,-0.25,3.0625,93,103,90,1,0,0,-2,-21,0,-3,3,-0.250977,-0.16748,1.11572,31.75,51.5625,-34,83,98,75
"45",-3,-6,-1,-1,-3,-12,2,1,-0.233398,0.141602,0.973633,-7.75,-2.1875,0.875,93,103,90,0,1,0,1,9,0,-6,-3,-0.251953,-0.135254,1.02588,16.3125,40.125,-28.4375,84,100,75
"46",-3,-1,-1,-1,1,3,-1,11,-0.243652,0.120605,0.982422,-7,-2.5625,0.625,93,103,90,0,0,-2,1,-10,-8,-3,-1,-0.297363,-0.222656,0.941895,22.6875,27.8125,-16.125,84,102,74
"47",0,0,-2,-1,-5,-11,-5,-3,-0.233398,0.104492,0.996094,-3,-2.125,0.0625,93,103,90,-1,2,0,3,-1,-2,-5,-1,-0.287109,-0.152832,0.891113,33.125,16.125,-7.75,85,103,73
"48",-5,-11,-7,-3,-3,-14,-14,-2,-0.230957,0.114258,0.999512,-2.5,-0.3125,-0.5625,93,103,90,-2,-8,-5,-5,-6,-13,-9,-1,-0.332031,-0.0668945,1.03711,7.4375,5.75,-7.1875,85,103,73
"49",3,6,2,-3,-1,3,8,4,-0.229492,0.113281,1.00146,-1.625,0.625,-0.5625,93,103,90,-1,2,3,1,5,-3,-5,-12,-0.151367,-0.254883,1.08496,9.625,-19,13.9375,85,102,73
"50",0,-11,-5,-5,-1,0,3,8,-0.233398,0.112305,0.983887,-2.4375,0.875,-1.5,93,103,90,4,6,1,-2,3,3,3,1,-0.203125,-0.0258789,1.05615,12.75,-8.1875,3.25,86,102,74
