"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.0419922","X.0.142578","X0.964355","X.88.75","X.86.375","X.8.625","X86","X92","X80","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.149414","X.0.152832","X1.11621","X.16.625","X6.625","X3.6875","X86","X97","X76"
"11",5,-1,-4,-16,-7,-4,3,5,0.345215,-0.241699,0.92041,-4.75,-16.75,-1.625,82,66,80,40,4,0,-4,40,-8,15,12,0.541504,-0.0517578,0.188477,-43.4375,-104.375,88.5625,82,39,87
"12",-13,-5,0,-9,-5,-1,-2,2,0.376465,-0.116211,0.952148,-1.4375,-3.625,7.875,82,66,80,-14,-3,0,-2,-26,0,-1,-7,0.501465,-0.0834961,-0.0390625,-15.9375,87.875,67.9375,79,40,90
"13",-3,0,-2,7,4,3,1,-6,0.439453,-0.112305,0.907715,-8.5625,9.6875,4.6875,82,66,80,-28,7,-11,-7,12,4,-9,-7,0.0576172,0.0585938,0.351074,-22.375,153.25,21.375,79,46,90
"14",13,0,1,6,3,-1,3,11,0.383789,-0.271484,0.862305,14,18.1875,8.3125,82,67,80,48,18,-12,-9,4,-33,57,42,-0.268066,0.327637,0.794434,69.875,226.375,5.625,83,58,88
"15",1,-2,2,-4,-3,1,-7,-8,0.388184,-0.321777,0.845703,2.9375,25.625,14.375,82,68,81,-67,10,20,43,104,98,16,36,0.655273,-0.539062,1.39111,163.562,222.938,-77.0625,87,74,87
"16",-2,-2,-3,-2,-5,-10,0,-2,0.275391,-0.307129,0.875,-11.25,12.9375,9.25,81,69,81,-13,50,-15,-24,-43,14,-56,-20,0.282227,0.0605469,1.5752,163.938,192.438,-70.875,91,81,84
"17",-11,-1,0,3,4,1,1,3,0.343262,-0.270508,0.900879,-3.0625,8.4375,6.3125,81,70,81,-34,-19,-8,-5,6,-27,-10,13,1.23193,-0.547363,1.92432,83.5,-85,-54.9375,92,82,83
"18",-1,-3,-6,-11,-11,-15,-4,-3,0.37207,-0.290527,0.931152,-10.625,21.0625,3.8125,81,70,81,0,-8,-5,-26,-24,-1,-9,-5,0.654297,-0.0170898,1.5835,33.5,-125.438,2.9375,93,77,83
"19",-9,-1,-2,-2,-2,1,-3,-4,0.329102,-0.325195,0.941895,-4.5,29.375,3.875,81,72,81,-1,6,3,2,23,0,0,5,0.407227,0.0834961,1.23828,40.1875,-193,-0.1875,94,67,82
"20",-2,-2,1,1,0,5,1,-4,0.276855,-0.299316,0.945312,0.375,25.4375,1.375,81,73,81,4,-49,11,28,30,-1,-4,-3,0.61377,0.402832,0.941406,48.4375,-226,64.75,95,58,82
"21",-7,1,-1,-3,-2,-2,0,-1,0.266602,-0.295898,0.970215,-4.875,16.3125,-2.875,81,74,81,-2,7,0,7,54,32,-3,0,0.891113,0.336914,0.724609,-8.875,-222.688,148.5,93,43,85
"22",-6,0,-1,-3,-2,1,0,1,0.256348,-0.301758,0.97168,-6.8125,14.1875,-2.375,81,75,80,-4,14,4,3,48,6,1,6,0.864258,0.271484,0.54541,2.8125,-220.312,162.812,90,34,90
"23",-7,-3,-1,4,3,3,2,4,0.223633,-0.274902,0.964844,-6.3125,7.75,-1.3125,81,75,80,1,4,-3,-1,-16,-10,-2,-3,0.77832,-0.00927734,0.405762,2.1875,-200.75,130.438,80,23,101
"24",-5,-1,-4,-10,-9,-7,-2,-3,0.193359,-0.256348,0.929199,-8.6875,-1.75,2.0625,81,75,80,-7,6,5,3,-5,-6,-5,1,0.508301,-0.0825195,0.290527,9.1875,-148.75,99.25,72,19,110
"25",-12,-3,-3,-3,-3,3,-1,0,0.209473,-0.306152,0.952637,-12.3125,3.5625,8.4375,80,76,80,-5,0,5,8,4,-2,-8,-5,0.0561523,-0.0820312,0.15332,17.75,-45.375,12.25,65,17,118
"26",4,0,-4,-7,-7,1,-2,2,0.189453,-0.297363,1.04346,1.8125,18.4375,9.25,80,77,81,-12,-6,-3,-3,-11,-5,7,-4,-0.213379,-0.050293,0.233398,46.125,51.625,-53.5,70,18,114
"27",11,2,1,5,-2,-18,-2,2,0.206543,-0.210449,0.966309,19.75,22.5625,8.0625,81,78,81,12,8,2,8,52,10,-21,-8,-0.0185547,0.0693359,0.219727,33.8125,112.25,-123.125,79,20,105
"28",9,-3,-2,2,2,-1,1,10,0.368652,-0.28125,0.883301,10.1875,29.8125,4.6875,81,79,80,53,-6,-2,0,-6,-2,-18,0,0.158203,0.0810547,0.562012,63,238.188,-190.688,93,31,91
"29",-3,-3,-1,-2,0,7,5,5,0.265625,-0.487305,0.900879,-0.0625,31.375,12.8125,80,80,81,-34,20,-5,-9,-16,-8,7,43,0.669434,0.317383,1.01074,93.125,288.75,-254.812,99,44,85
"30",-3,3,-1,-3,-3,-5,-7,-4,0.159668,-0.339844,0.921875,14.375,5.1875,-0.375,81,81,81,6,8,2,7,-20,-18,8,13,1.15527,1.18213,1.34131,10.9375,346.125,-291.438,103,70,81
"31",-2,1,0,1,3,1,-2,-7,0.212891,-0.311035,0.905273,2.9375,15.75,6.875,81,81,81,-14,-28,15,14,17,-66,15,6,0.835938,0.685547,1.59277,-65.9375,214.188,-140.625,102,81,80
"32",-1,-4,0,-2,-1,0,-2,1,0.26123,-0.243652,0.892578,29.375,75.875,9.3125,81,84,80,30,7,10,11,8,8,-5,-3,0.0244141,0.743652,1.33057,19.625,36,-59.25,102,88,78
"33",1,1,3,-1,0,-1,1,0,0.112305,-0.233398,0.896484,42.6875,126.688,14.875,82,88,80,-16,-15,-2,-1,0,-1,-8,-2,0.175781,0.585449,1.08887,-22.8125,-19.375,-34.5,102,88,77
"34",13,12,-8,-14,-6,-1,0,4,-0.0615234,-0.229492,0.80957,43.3125,177.25,10.125,83,98,79,-13,-2,-5,-3,-5,23,-6,-34,0.115723,0.391113,0.778809,-56.375,-10.75,-18.0625,101,87,76
"35",-20,11,16,5,0,0,2,3,-0.46875,-0.0786133,0.828613,26.5,212.688,7,84,110,78,-4,-3,2,0,0,-42,2,-15,0.00732422,0.311035,0.649902,-72.75,40,-15.8125,100,88,76
"36",0,-6,1,-2,-2,0,-2,-3,-1.16504,-0.331543,2.21826,24.375,98.5625,-8.4375,84,116,78,-7,-10,-4,-4,-3,7,6,-4,-0.0341797,0.326172,0.641113,-35.875,122.625,-4.6875,98,93,77
"37",-5,-7,-4,-2,-4,-2,-1,0,-0.744141,0.263184,0.722656,145.5,2.125,-15.4375,87,117,77,0,0,0,-1,0,2,-1,0,-0.13916,0.251953,0.703613,-2.875,158.562,-1.5,98,99,78
"38",2,-1,-1,-1,0,-2,-2,-1,-0.470703,0.189941,0.609375,22.8125,-3.625,1.625,88,117,77,-1,1,-3,-1,2,-3,-2,-2,-0.55127,0.487793,1.74658,13.875,147.188,-3.0625,99,108,79
"39",10,4,0,1,0,-2,0,6,-0.554688,-0.195801,0.811523,-35.25,-12.625,1.125,87,117,77,-1,-2,-4,-2,-2,2,0,1,-0.284668,0.603516,0.86377,-8,15.4375,38.875,99,110,80
"40",-5,-5,-5,-3,-3,-1,-1,-3,-0.472168,-0.211914,1.01367,-32.25,-44.375,8.25,86,116,77,-1,0,-1,-2,0,-4,-4,-1,-0.649902,0.0395508,0.696777,-66.0625,18.1875,29.125,98,111,81
"41",3,2,0,-1,0,0,-1,-2,-0.293945,-0.152344,0.991699,-17.5625,-13.6875,11.1875,85,114,78,0,-2,-2,-1,-1,2,3,0,-0.349609,0.318359,0.802246,12.9375,8.5,3.6875,98,111,81
"42",-10,-5,-1,-1,0,-1,-3,-3,-0.402344,-0.0541992,0.952637,15.9375,0.6875,-4.0625,86,113,78,0,0,-2,0,0,0,0,0,-0.328125,0.476562,0.984375,21.875,-19.5,-1.25,99,111,81
"43",5,-1,-2,-1,-1,0,1,-2,-0.415039,-0.0424805,0.908691,0.8125,0.375,-5.5625,86,113,78,0,0,-2,1,1,1,1,0,-0.272461,0.217285,0.989258,12.1875,-14.75,-15.25,99,109,80
"44",-4,0,-1,1,-2,-1,0,-2,-0.412109,-0.119141,0.932129,-9.1875,0.5625,-1.8125,86,113,77,0,-2,-1,-2,0,3,-1,-1,-0.347656,0.326172,0.943359,22.625,10.125,-8.9375,99,110,80
"45",1,2,0,-2,2,0,-3,-2,-0.408203,-0.145996,0.941406,-7.6875,-0.6875,-0.3125,86,113,77,0,0,1,-2,-1,0,1,-1,-0.386719,0.340332,0.877441,-3.5,4.25,9.6875,99,110,80
"46",-3,-4,0,-1,-3,-2,-2,-5,-0.413086,-0.141602,0.929688,-2.8125,-1.6875,-0.625,85,113,77,-2,-1,-1,-1,-1,-1,-1,1,-0.359863,0.343262,0.867676,-4.125,-0.1875,8.25,99,110,81
"47",-5,-2,-1,-2,-1,0,-2,0,-0.416504,-0.134766,0.93457,-2.8125,-1.125,-1.625,85,113,77,-3,-1,-1,-1,-2,0,-1,-1,-0.348145,0.299805,0.93457,-2.5,-3.125,0.875,99,110,81
"48",5,-5,-2,-1,-2,-1,-1,2,-0.41748,-0.138672,0.919434,-2.125,-0.8125,-2.5625,85,113,77,-1,0,-1,-2,-1,-1,-2,1,-0.332031,0.30957,0.932617,3.6875,-0.5625,-3.875,99,110,81
"49",-1,0,-1,0,-1,1,-1,-3,-0.417969,-0.136719,0.930664,-2.9375,-2.0625,-0.75,85,113,77,-1,-1,-1,-2,-1,1,-2,-1,-0.34668,0.329102,0.91748,2.125,0.9375,-3.5,99,110,81
"50",6,-2,-2,-2,-2,-2,-2,1,-0.408691,-0.141113,0.943359,-2.8125,-1.875,0.125,85,113,77,-1,0,0,1,1,1,-1,-1,-0.356445,0.341309,0.901855,-1.375,1.9375,-1.1875,99,110,80
