"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.191895","X.0.0898438","X1.01807","X.63.9375","X.64","X.11.8125","X86","X92","X80","X0","X0.1","X0.2","X0.3","X0.4","X0.6","X0.7","X0.8","X.0.074707","X.0.0771484","X1.03223","X.1.75","X1.5625","X0.5","X88","X93","X80"
"40",-8,16,7,4,1,3,1,-1,-0.558594,-0.275391,0.882812,82.75,33.625,-0.5,80,116,76,-2,-3,3,7,1,0,5,-11,0.25,0.341309,0.883789,-48.125,142.625,-123.125,100,81,83
"41",4,-1,2,0,-1,0,-1,2,-0.65332,-0.0791016,0.777344,114.875,-2.25,-27.375,83,117,75,-3,-1,2,3,1,1,-2,3,0.0825195,0.373047,1.00439,-19.4375,166.5,-97.1875,100,88,83
"42",1,-2,-8,-2,-2,0,0,0,-0.549805,-0.158691,0.633789,63.125,5.5,-38.75,85,117,74,-3,-2,-2,1,-2,2,2,-2,-0.265137,0.358398,0.933105,14.625,165.188,-55.5625,100,99,82
"43",-1,2,4,-1,-2,-2,-3,-2,-0.499023,-0.0864258,0.830078,-0.6875,1.5,-21.1875,85,117,74,0,-1,-1,-1,2,8,6,2,-0.337402,0.485352,1.13379,82.625,169.125,-32.6875,102,106,83
"44",1,1,0,-1,-1,0,-1,-1,-0.37207,-0.194336,1.01367,-3.6875,-18.1875,2.3125,84,116,74,-4,-3,-2,0,0,1,5,-2,-0.530762,0.833984,0.911621,30.75,6.75,-26.75,103,112,83
"45",-1,-1,1,3,0,-1,-1,-1,-0.383789,-0.0537109,0.949219,2.75,-0.375,-1.5625,85,115,74,-1,-2,2,-1,2,13,0,0,-0.461914,0.386719,0.641113,-132.188,16.25,22,102,112,83
"46",-1,-2,-2,0,-3,-2,-2,-1,-0.452148,-0.177734,0.885254,-15.375,-3.8125,2.1875,84,115,74,1,0,-1,-1,1,9,5,2,-0.451172,0.183594,0.724609,-58.0625,15.4375,39.5,99,113,85
"47",-3,-3,-4,-2,1,-1,-1,-3,-0.440918,-0.235352,0.908203,-16.8125,-7.75,4.4375,84,115,74,0,-3,-3,-1,-2,-2,0,0,-0.443848,0.340332,0.92334,-18.0625,3.125,27,99,113,85
"48",0,-1,-6,-3,-1,-2,-1,-2,-0.421875,-0.220215,0.926758,-5.3125,1,3.1875,84,115,74,-1,-1,0,0,0,-2,-4,-2,-0.409668,0.134766,1.02832,-9.5,-14.6875,4.125,98,112,86
"49",-17,-12,-6,-2,1,0,-2,-9,-0.445801,-0.231934,0.890137,1.125,1.375,-2.5,83,115,74,-1,-1,-3,-2,-2,-3,1,1,-0.395508,0.201172,0.932129,19.4375,2.375,-2,98,112,85
"50",3,1,3,2,1,-2,-1,0,-0.433594,-0.19873,0.890137,2.4375,-1.8125,-3.75,83,115,74,-2,-1,-1,-3,0,10,6,0,-0.41748,0.316895,0.881836,7.875,0.375,0.3125,99,112,85
