"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.192871","X0.135742","X0.984375","X2.625","X0.625","X.0.25","X93","X101","X79","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.39502","X.0.0952148","X0.912109","X.21.8125","X5.375","X.1.1875","X85","X100","X78"
"39",1,-2,-2,-4,-2,-2,-3,0,-0.208984,0.0917969,0.998535,1.375,0.625,-1.4375,93,102,79,0,-10,-1,-13,18,23,0,0,-0.196777,0.0756836,1.11328,-58.75,160.562,-118.188,86,86,82
"40",4,0,-1,-2,-2,-1,-1,2,-0.208984,0.116211,0.980957,-4.5625,0.125,-0.8125,93,102,79,1,2,5,13,-5,-4,-4,-3,-0.341797,-0.0336914,1.03906,-26.6875,122.875,-61.8125,85,91,80
"41",-2,-1,0,0,0,0,0,-3,-0.211914,0.102539,0.98584,-0.75,-2.9375,1.0625,93,101,79,1,5,3,4,25,7,1,-1,-0.313477,0.00341797,0.953125,-6.75,73.9375,-36.75,86,97,79
"42",3,0,-1,0,0,0,0,-1,-0.200684,0.102539,1.02148,-0.25,-2.25,1.625,93,101,79,1,3,2,-5,1,11,-6,-2,-0.295898,-0.0952148,0.873047,10.8125,56.1875,-22.6875,86,100,78
"43",5,1,1,1,1,0,-1,-1,-0.214355,0.0966797,1.0127,1.1875,1.625,1.6875,93,101,79,-2,-2,-5,-2,12,4,-1,-1,-0.0820312,-0.172852,0.827148,20.125,-12.4375,7.3125,86,100,78
"44",5,3,0,1,0,0,-2,-2,-0.210938,0.104492,0.992188,1.9375,1.5625,2.0625,93,101,79,-2,-3,0,0,14,-11,0,-2,-0.0761719,-0.0639648,1.07568,57.3125,-0.875,1.125,87,100,78
"45",-2,-2,0,-1,0,1,0,-5,-0.206543,0.108398,0.979004,-1.8125,0.375,2.1875,93,101,79,-1,0,-3,0,-18,-5,3,2,-0.220215,-0.14502,1.08252,-40.125,6.0625,-3.9375,86,100,77
"46",-3,0,1,0,1,0,-2,-1,-0.212891,0.11377,0.989746,-1.4375,-1.4375,1.5,93,101,79,-2,0,-1,1,-1,-7,5,-2,-0.090332,-0.151855,1.08398,-12.875,5.75,8.3125,86,100,77
"47",3,0,-3,2,-1,0,0,-2,-0.207031,0.114746,1.00439,-1.4375,-1.75,0.875,93,101,79,-1,-2,-2,-3,11,6,-4,-4,-0.0976562,-0.146973,0.999023,-20.4375,7.1875,-2,85,100,78
"48",9,-1,1,-1,-2,-2,-1,-1,-0.201172,0.114746,1.0083,-0.625,0.625,-0.5,93,101,79,-3,-2,-1,6,13,0,4,1,-0.203613,-0.162109,0.953125,0.375,2.9375,-5.25,85,100,77
"49",2,1,-3,-1,0,-2,0,-1,-0.205566,0.103516,0.997559,0.5625,0.5625,-1.0625,93,101,79,-1,-3,-2,-4,24,-9,-5,-3,-0.221191,-0.0952148,0.971191,7.625,-3.875,-2.8125,86,100,77
"50",14,-3,-5,-7,-5,-3,2,13,-0.212402,0.103516,0.989746,0.5625,0.1875,-1.1875,93,101,79,-2,-3,-4,-7,-1,-14,-7,-1,-0.189941,-0.151367,1.05176,-4.25,-4.1875,0.375,85,100,77
