"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.193848","X0.121094","X0.975586","X11.125","X6.5625","X6.625","X94","X104","X84","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.324219","X.0.142578","X0.936523","X1.9375","X7.5","X.17.5625","X85","X100","X78"
"37",6,-9,-7,-4,-5,1,2,8,-0.273926,0.130371,0.959473,-19.9375,-20.6875,-1.625,94,101,84,0,0,0,1,-1,-4,-6,-1,-0.000488281,-0.404785,0.892578,-13.75,34.6875,-38.9375,80,103,95
"38",-5,21,-2,0,-1,-6,-2,10,-0.180176,0.078125,1.146,-36.375,-10.1875,9.1875,93,100,84,-1,-1,-1,-3,-3,-7,-8,-1,-0.137695,-0.429199,0.977539,-17.5,86.0625,-89,79,104,92
"39",-3,2,7,-1,-1,1,-7,-4,-0.150391,0.0927734,1.11035,-29.9375,-2.75,2.0625,93,100,84,1,-2,-4,-6,-3,6,-3,-2,-0.431152,-0.391113,0.787109,21.1875,104.812,-101,78,108,88
"40",-6,-19,-16,-2,-2,3,-6,-4,-0.19043,0.12207,0.995605,-19.375,2.6875,2.6875,92,100,84,0,3,0,-1,-5,0,1,-1,-0.556152,-0.298828,0.727051,76.9375,99.625,-102.625,78,110,85
"41",-4,-8,-5,0,1,-3,-4,-18,-0.187012,0.135254,0.996094,4.5625,1.25,-0.8125,92,100,84,-1,-2,-3,-4,-5,-6,-3,-3,-0.684082,-0.246094,0.702148,104.125,83.75,-93.625,79,112,82
"42",0,4,9,2,2,10,-2,-3,-0.207031,0.0947266,1.02344,9.9375,2.875,-1.5625,93,100,84,-2,-1,1,-1,-3,3,-3,-1,-0.767578,-0.486328,0.714355,123.5,61.6875,-62.375,81,116,79
"43",-4,-4,-2,-3,-1,-2,0,-1,-0.189941,0.0688477,0.972656,-5.25,3.3125,-0.3125,93,101,84,-1,0,-2,2,-1,3,10,-1,-0.73584,-0.277344,0.704102,169.188,56.875,-46.125,84,118,78
"44",-1,2,0,-2,-3,-14,-7,22,-0.198242,0.105957,0.970703,-3,-2.5625,1.3125,92,101,84,-1,-1,-1,2,2,-1,-5,-1,-1.0918,0.012207,1.48975,55.5,13.9375,-46.5625,86,120,76
"45",0,-4,-1,-1,-4,-4,8,0,-0.19873,0.114746,1.00098,-5.375,-3.4375,0.75,92,100,84,0,0,1,-1,-2,-1,-6,-3,-0.436035,-0.119141,1.03857,-2.9375,-46.8125,46.1875,88,116,78
"46",3,-1,3,-3,-4,-19,-10,8,-0.189453,0.104004,1.02246,-6.75,-2,-0.6875,92,100,84,2,0,1,0,0,11,4,0,-0.47168,0.0258789,0.973633,8.3125,-20.5,13.9375,89,115,79
"47",0,5,-2,-1,0,-5,5,3,-0.182129,0.0957031,1.02393,0.9375,0.25,-1.5625,92,100,84,0,0,0,2,1,2,-8,-4,-0.435547,-0.163086,0.950684,-11.0625,-17.5625,2.8125,89,114,79
"48",-4,-2,13,2,0,-5,-15,-7,-0.186035,0.10791,1.00977,3.1875,1.875,-3.0625,92,100,84,-2,-1,-2,0,0,-8,-2,-2,-0.375,-0.231934,0.938477,-13.625,5.9375,-11.75,88,114,79
"49",-2,-2,0,0,0,-4,-6,-1,-0.193359,0.0927734,0.98584,1.125,2,-2.8125,92,100,84,1,-1,-1,1,0,-2,1,-1,-0.414551,-0.190918,0.907715,9,12.3125,-12.625,88,114,79
"50",-8,-5,1,-1,0,-6,-3,-5,-0.189941,0.09375,0.993164,1.3125,-0.75,-2.375,92,100,84,0,2,-2,0,1,-1,-2,0,-0.537109,0.0258789,0.953613,16.3125,4.25,-3.0625,88,115,78
