"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.0371094","X0.294922","X1.12549","X.11.5625","X.163.438","X59","X99","X82","X90","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.207031","X.0.396484","X0.938965","X9","X.2.75","X2","X78","X100","X76"
"37",-4,21,-9,-1,-1,-1,-1,0,-0.376953,0.621094,0.856934,-4.5625,53.8125,-5.1875,105,103,89,-2,1,1,1,-12,-9,-6,-3,0.708008,-0.507324,0.524414,72,130.688,-24.5625,65,49,92
"38",0,-5,2,-4,-7,-4,-2,1,-0.372559,0.699707,0.868652,-31.0625,22.4375,-0.25,105,105,89,0,-1,0,-3,1,4,6,0,0.722168,-0.585938,0.659668,100.938,155.438,1.4375,68,53,89
"39",-2,-3,1,3,0,0,2,-2,-0.310547,0.231445,1.04639,-11.4375,15.5625,17.4375,104,105,89,3,2,0,0,11,12,1,1,0.631348,-0.446289,0.82373,86.1875,188.125,-5.25,73,61,85
"40",-2,-1,-3,0,0,-1,-1,-1,-0.211426,0.402344,0.830566,-3,10.25,5.1875,104,105,90,1,1,6,11,-7,-8,-3,1,0.40625,-0.38623,0.985352,63.9375,176.312,0.5625,77,71,83
"41",-2,-5,-2,-2,-1,-2,-5,-3,-0.249512,0.415527,0.847656,21.4375,16.1875,0.3125,104,106,90,-2,-3,-2,0,7,-5,-12,-8,0.226074,-0.422363,1.03369,23.5625,168.375,-14.875,78,77,81
"42",-1,0,-3,0,0,0,3,-2,-0.337891,0.600586,0.899414,12.875,13.6875,-7.0625,105,107,90,-1,-2,-1,3,13,4,10,0,0.0581055,-0.41748,1.13037,-7.6875,155.188,5.125,78,83,80
"43",-5,-2,-2,-4,-5,-3,-15,-6,-0.320312,0.455078,0.839844,7.9375,4.6875,-5.25,105,107,90,2,1,1,7,9,1,6,5,-0.165039,-0.357422,1.06982,21.4375,113.5,4.25,78,90,78
"44",2,2,1,2,1,0,4,1,-0.280273,0.548828,0.850098,8,-2,3.875,105,107,90,1,1,3,-6,-11,-6,11,4,-0.296875,-0.516602,1.02344,7.9375,82.4375,14.75,79,96,77
"45",-3,0,0,0,-1,-3,-1,-3,-0.280762,0.52832,0.833984,3.0625,-4.0625,3.6875,105,107,90,-2,-5,-5,-2,-35,-2,-2,-2,-0.25293,-0.472168,1.16943,-11.875,56.9375,18.8125,79,99,77
"46",1,1,1,1,-1,-3,0,-2,-0.257812,0.532715,0.821777,-3.1875,-4.9375,2.3125,105,106,90,-4,-5,-1,4,-6,-13,21,-2,-0.370605,-0.509277,0.936035,-34.75,46.25,11.625,77,103,77
"47",-2,1,1,0,-2,-1,-1,-2,-0.250488,0.504395,0.834961,-6,-2.125,0.4375,105,106,90,-2,2,1,-2,-22,-18,-17,-5,-0.313477,-0.32666,0.964355,-6.375,28,23.625,77,105,77
"48",0,1,-1,0,0,-2,-1,-1,-0.288574,0.477051,0.850098,-2.75,0.25,0,105,106,90,0,-1,2,0,-9,4,2,-1,-0.299805,-0.379883,1.04004,-31.9375,17.75,11.4375,77,106,77
"49",-2,4,-2,0,0,2,-2,1,-0.264648,0.500488,0.849609,0.8125,-1.25,0,105,106,90,0,-2,-2,-1,-12,0,4,-1,-0.303223,-0.505859,0.894531,-11.8125,4.625,2.0625,76,106,77
"50",1,1,-1,-1,1,0,-2,0,-0.269043,0.499023,0.843262,2.0625,0.5,0.375,105,106,90,4,4,1,0,1,1,5,-28,-0.308105,-0.397461,0.875488,-10.3125,2.1875,0,76,106,77
