"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.446777","X.0.0761719","X1.12354","X121.688","X.124.688","X.136.188","X92","X102","X62","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.26416","X.0.097168","X1.03955","X.13.0625","X4","X2.5","X86","X104","X84"
"29",-3,-17,0,-29,-12,-4,-1,5,-0.0336914,0.074707,1.0957,-46.25,126.875,130.438,94,87,58,-2,-7,-1,-4,-1,7,4,0,0.0927734,0.175293,0.879883,-121.312,19.125,30.8125,96,85,84
"30",5,-7,3,-2,-4,-2,-4,0,-0.186035,-0.0683594,1.08594,-3.9375,106.812,80.4375,93,91,60,-1,-5,-7,-3,-4,2,12,1,0.0795898,0.187012,0.931152,-122.062,53.5,14.4375,92,87,85
"31",7,-15,-15,17,6,1,0,6,-0.128906,0.0732422,1.09375,11.8125,91.9375,89.125,93,96,63,0,2,3,2,-4,2,-36,-6,0.059082,0.0615234,0.991699,-71.5625,69.4375,2.0625,90,91,85
"32",1,22,-12,4,5,4,0,-1,-0.290039,0.162598,0.960938,15.9375,71.3125,41.0625,94,101,65,-2,-2,0,0,-1,-4,14,-1,0.00683594,0.0947266,1.08887,-44.375,66.75,0,89,94,85
"33",-17,-5,8,-13,-7,-7,-2,-4,-0.352539,0.0463867,0.994629,-3.0625,56.5625,40.625,94,103,66,-1,3,5,6,-2,-1,-3,-1,-0.129883,-0.0688477,1.11426,-31.1875,61.8125,-10.5,88,97,85
"34",-23,2,-17,-3,0,0,0,-9,-0.333008,0.242676,0.94043,9.9375,46.5,25.625,95,106,67,-1,-10,5,12,-4,-4,13,2,-0.175293,0.00683594,1.1123,-3.8125,49.125,-6.0625,88,99,84
"35",-7,-8,30,-1,-3,-1,-4,-5,-0.338867,0.117676,0.895996,-3.375,40.0625,17,95,107,68,2,2,1,-3,-14,-1,3,1,-0.240723,-0.0317383,1.09131,-9.5,26.625,2.5625,87,101,84
"36",10,6,0,-1,0,1,2,1,-0.406738,0.164062,0.945801,17.625,2.125,1.5,96,109,68,1,7,-1,-5,-6,2,-4,0,-0.225586,-0.0708008,1.06494,-1.375,19.4375,1.75,87,102,84
"37",15,-19,-11,-7,-5,-11,1,14,-0.240723,0.173828,1.00977,-10.4375,-1.875,-5.5,96,108,68,-2,-1,-1,-3,2,5,4,-2,-0.259766,-0.0776367,1.01172,1.625,18.125,0,88,103,84
"38",0,-2,-1,-3,-2,-5,-1,-5,-0.401367,0.0742188,0.987793,7.6875,2.1875,2.625,95,109,68,-3,-4,-3,0,11,1,-7,-2,-0.283203,-0.0839844,0.943848,14.6875,21.8125,-2.3125,88,104,84
"39",-6,-6,-3,-1,-4,1,-11,2,-0.356934,0.217285,0.928711,3.5,5.625,3.1875,95,109,68,0,-2,0,1,0,3,7,0,-0.462891,-0.0473633,1.06006,-7.375,2.0625,-7.5,88,105,84
"40",-7,3,2,0,1,5,2,3,-0.319336,0.277344,0.946289,11.1875,4.75,4.1875,96,109,68,1,1,1,3,2,2,0,-1,-0.214355,-0.154785,1.06396,20.625,-4.3125,-1.4375,88,105,84
"41",1,-1,1,-2,0,12,3,1,-0.314941,0.312012,0.93457,9.1875,-2.6875,2.5625,96,109,69,0,4,-1,0,1,1,9,-1,-0.274414,0.0268555,1.0127,16.5625,-3.375,-8.3125,88,104,84
"42",-6,10,2,2,-1,2,-4,-12,-0.328125,0.233398,0.94873,4.9375,-0.75,1.3125,96,109,69,0,5,2,-1,-2,-2,-4,-2,-0.265137,-0.0546875,1.03418,10.3125,-7.1875,-11.25,88,104,84
"43",6,-3,-4,-2,-1,-10,-2,3,-0.322266,0.181152,0.962891,6.6875,-0.1875,0.5,96,109,69,1,1,2,1,0,-2,-2,-1,-0.234863,-0.00634766,1.01172,-1.375,1,-7.375,89,104,83
"44",-4,-3,-1,-2,-1,5,0,0,-0.316895,0.208008,0.946777,-2.625,-0.5625,2.4375,96,109,69,-1,-7,0,0,0,-3,-5,-2,-0.260254,-0.065918,1.01172,-19,4.625,-4.1875,88,104,83
"45",-2,-2,-2,-2,-1,-2,-3,1,-0.326172,0.225098,0.943359,-11.8125,-0.5625,2.625,96,109,69,3,2,0,0,1,-6,-4,-1,-0.255859,-0.144043,1.01855,-24.625,6.0625,2.125,87,104,83
"46",1,-1,0,-1,-3,-1,-1,1,-0.319336,0.239258,0.95459,-9.5625,-0.75,1.25,96,108,69,-1,-11,-1,-1,0,1,0,1,-0.253418,-0.202148,1.02148,-8.75,2.625,1.25,87,104,83
"47",0,-2,0,-1,-2,-2,0,-1,-0.320312,0.225586,0.959473,-1,-0.75,0,96,108,69,-3,-3,0,1,-1,-3,-6,-3,-0.251953,-0.0947266,1.00391,6.0625,-0.4375,-0.0625,87,104,83
"48",0,1,0,1,-1,-9,0,26,-0.325684,0.193359,0.952637,-0.5,-0.0625,-0.1875,96,108,69,-2,6,-3,-3,-1,-1,0,1,-0.257812,-0.0644531,0.994141,-0.9375,0.375,1.1875,87,104,83
"49",-3,-2,0,0,-2,1,2,-11,-0.318848,0.196777,0.959961,-1.25,0.375,0.0625,96,108,69,0,5,0,1,-1,3,2,0,-0.259766,-0.0844727,1.00977,-4,-0.5,0.625,87,104,83
"50",-11,-6,-1,-2,0,3,-11,-10,-0.327637,0.207031,0.942383,-2.0625,0.8125,0.0625,96,108,69,0,-1,-3,-2,-2,0,1,2,-0.262207,-0.0957031,0.999023,2.375,-0.0625,0.5,87,104,83
