"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.447266","X.0.390625","X0.839355","X51.875","X12","X.57.6875","X91","X103","X67","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.22168","X.0.17041","X1.02588","X.4.0625","X5","X3.4375","X84","X101","X84.1"
"21",40,-22,-9,-1,1,17,10,-1,1.30371,-0.334961,0.152344,-87.5,171.062,-169.938,65,17,85,-3,1,-4,-1,-3,-2,-1,-1,0.268066,-0.259277,0.916992,11.6875,21.1875,-30.4375,81,80,121
"22",15,14,9,4,-4,-16,8,5,1.28125,-0.214844,0.317383,-11.4375,207.625,-183.938,80,20,69,-8,-8,-4,-4,6,2,0,-2,0.262207,-0.318359,0.975586,6.5625,16.8125,-16.75,81,80,120
"23",-15,-1,29,-31,-24,4,0,-10,0.911133,-0.126465,0.388672,0,262.938,-300.125,96,34,51,-1,1,0,3,-3,-13,-1,-2,0.227539,-0.287109,0.964355,7.9375,17.875,-3.125,81,80,120
"24",0,55,17,18,2,9,1,-2,0.594238,-0.0356445,0.529785,64.75,233.875,-272.812,101,47,45,1,3,0,-1,-12,1,0,-1,0.200684,-0.342285,1.04053,-8.1875,18.25,10.0625,81,81,120
"25",-3,-40,-45,-41,-18,-27,-14,9,0.193359,0.374023,0.528809,59.1875,190,-265.5,106,66,40,-2,-1,-2,3,-11,-15,-4,0,0.202148,-0.405762,1.05859,-2.125,12.9375,7,81,82,120
"26",-11,-32,5,5,1,13,5,-41,-0.131348,0.463379,0.682617,15,102.562,-134.438,107,78,38,-3,-3,-2,-2,-9,5,0,-1,0.117676,-0.40332,0.978027,-11.25,5.875,9.0625,81,82,120
"27",-4,-12,-13,-30,-17,-8,-12,-7,-0.0185547,0.581055,0.791504,-9.6875,55.6875,-75,108,83,37,-1,-1,-1,1,4,3,-2,-2,0.154785,-0.358887,0.982422,-12.125,2.6875,5.5,80,83,120
"28",2,11,0,1,-6,-6,21,-7,0.0405273,0.714844,0.841797,2.125,8.8125,-24.6875,108,85,37,0,2,2,4,-24,-12,3,0,0.0380859,-0.282715,0.92627,-15.9375,3.4375,2.8125,80,83,120
"29",-5,16,6,9,3,3,3,4,0.0107422,0.63623,0.875977,-35.75,0.1875,-23.875,107,86,37,0,1,-2,1,-10,20,1,1,-0.00537109,-0.291992,0.896973,-4.1875,3.25,-7.8125,80,83,120
"30",-8,2,-18,1,-4,-8,-2,-10,0.0175781,0.624023,0.861328,-27.25,-2.8125,-3.5,106,87,36,-5,-12,2,-1,5,-11,-4,-3,0.0166016,-0.29541,0.882812,16.0625,10.6875,-11.5625,80,84,120
"31",3,17,11,0,-1,-8,5,-1,0.012207,0.54541,0.811523,-35.1875,-3.125,16.125,106,86,36,-1,-5,-2,0,0,9,-2,0,0.182617,-0.36377,0.950195,14.375,20.25,-6.75,81,84,119
"32",-3,-1,6,9,2,-2,-7,5,-0.0922852,0.519043,0.76123,-6.1875,-8.0625,55.4375,105,85,37,-1,2,-1,3,-35,-11,-1,-1,0.176758,-0.363281,1.00781,10.875,23.6875,4,81,85,119
"33",-39,1,3,-2,-1,3,0,0,-0.0498047,0.533203,0.686523,-22.75,13.875,104.562,104,83,40,-3,-1,-1,-4,15,-1,-3,-2,0.0786133,-0.39209,1.01318,-2.5625,7.75,2.9375,81,86,119
"34",-11,14,5,3,2,1,1,-5,0.138672,0.483398,0.727051,-38.3125,47.0625,143.062,103,82,42,0,-3,-9,-9,-9,3,1,1,0.0449219,-0.384766,0.96582,10.1875,-0.875,-3.625,81,86,119
"35",-7,-9,-1,-6,-6,-3,-4,9,0.262207,0.463379,0.871094,-50.8125,132,172.625,101,83,48,-2,-5,-2,-5,-4,-5,0,-1,-0.0400391,-0.378906,0.92627,6.0625,-8.125,-19.3125,81,86,119
"36",-12,-21,-15,0,-6,-17,-10,-3,0.148438,0.295898,1.01709,-83.4375,145.875,174.562,100,86,53,0,0,1,-3,-6,-6,-12,-5,-0.0825195,-0.374512,0.866211,24.625,-11.8125,-33.3125,81,85,119
"37",7,9,3,2,2,4,-1,-8,0.0610352,0.135254,1.18213,-42.5625,115.625,133.062,97,90,58,-4,2,0,1,-2,-6,-19,-6,-0.0366211,-0.310059,0.90625,41.1875,-13.5625,-105.625,82,83,117
"38",-9,15,15,2,-1,-2,-1,-3,0.015625,0.214844,1.15674,-23.0625,89.375,108.312,97,93,61,0,10,0,4,0,-4,12,2,-0.0253906,-0.260254,0.925293,39.125,13.625,-125.75,83,83,114
"39",-13,-18,-21,-3,0,0,1,-1,-0.0917969,0.209961,1.10938,-40.8125,72.6875,83.5625,96,96,64,0,-6,-2,-1,-3,-2,1,3,0.187988,-0.148438,1.03223,4.6875,34.75,-165.5,84,82,109
