"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.527344","X.0.344238","X0.779785","X2.375","X.15.1875","X10.1875","X79","X121","X59","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.210938","X.0.200195","X1.04688","X.7.3125","X1.6875","X0.6875","X85","X101","X84"
"35",39,13,1,4,3,8,0,21,-0.0629883,-0.248047,0.987305,2.1875,-7.25,7.6875,81,94,58,-3,-8,13,25,21,19,15,-1,0.349121,0.482422,1.05225,-15.1875,-168.125,100.812,99,73,94
"36",14,9,0,-11,-5,3,-1,5,-0.0703125,-0.303223,0.970703,4,5.625,2.3125,81,94,59,-57,-3,6,7,2,-9,0,-2,0.614258,0.266113,0.92041,-63.3125,-204,142.562,97,59,96
"37",12,4,0,-2,5,5,8,24,-0.0585938,-0.27832,0.96875,11.375,13.3125,3,81,94,59,11,-73,-16,-33,-3,55,-16,-10,0.496094,0.0615234,0.655762,-80.75,-207.75,138.688,92,45,100
"38",-6,-4,-1,4,0,-1,-1,-4,-0.0410156,-0.336914,0.95752,-1.0625,28.0625,6.75,81,95,59,-97,-83,22,16,-3,-5,22,23,0.564453,-0.0698242,0.472656,-63.4375,-183.688,124.25,88,37,104
"39",2,2,-2,-2,-3,-1,-2,-2,-0.0976562,-0.344238,0.898438,-13.8125,24.9375,-0.375,81,96,58,17,19,3,11,-29,-31,6,5,0.5625,-0.167969,0.140625,-48.6875,-24.5625,-28.6875,85,31,106
"40",5,2,1,-1,-2,-4,-12,4,-0.126953,-0.282227,0.836914,-8.5,36.75,-2.5,81,98,58,-25,7,0,8,-5,-2,6,-4,0.302246,0.334473,0.41748,52.1875,113.688,-28.5,88,37,104
"41",6,0,-2,-6,0,9,4,0,-0.200684,-0.287109,0.855957,-3.125,77.625,32.3125,80,102,58,-5,15,2,1,1,1,-2,-5,0.344727,0.0219727,0.382812,38.875,159.25,-68.1875,90,43,102
"42",3,0,-1,2,2,-12,-3,3,-0.306641,-0.273438,0.835449,17.5625,103.125,33.875,81,106,58,-12,-54,-8,-6,-2,-19,0,-4,0.625977,0.149414,0.571777,92.0625,267.688,-165.5,95,57,98
"43",-3,2,-3,-3,-2,-1,-1,10,-0.362305,-0.225098,0.818848,-1.0625,125.938,40.5,81,111,58,10,-5,-22,-33,-25,43,31,7,0.759766,0.0952148,0.984375,-38.75,278.875,-188.25,96,70,95
"44",1,3,-1,-1,0,-1,-1,-1,-0.449219,-0.102051,0.886719,-72.3125,139.062,20.9375,79,120,57,-7,9,-1,0,12,46,1,-17,-0.693359,0.648438,1.45654,70.375,157.875,-46,97,84,94
"45",-3,6,-2,-3,-3,-1,0,0,-0.771484,-1.13135,1.15625,-13.0625,-18.4375,14.6875,76,123,57,66,1,-2,-2,1,9,5,-1,0.228516,0.446289,1.40625,28.25,25.75,-33.875,98,87,93
"46",0,-1,0,1,2,-1,0,1,-0.67334,-0.268555,0.658691,130.125,-5.4375,-1.375,78,124,57,-15,-7,-9,-2,27,8,4,1,0.29248,0.272461,1.06982,37.0625,2.125,-24.75,99,86,93
"47",0,1,-2,-1,0,0,1,-1,-0.730957,-0.257324,0.628418,-5.3125,9.375,10,79,125,57,-1,1,-1,4,15,2,-4,-1,0.09375,0.277832,0.891113,-2.75,34.8125,-25.75,100,87,92
"48",-3,0,-2,0,-1,0,-2,-1,-0.478516,-0.259766,0.751465,-15.1875,-10.375,6.625,79,125,57,-2,2,-8,-15,24,-13,-4,-10,-0.0737305,0.287109,0.865723,-22.875,80.25,-18.75,99,92,92
"49",-1,-2,-1,0,-2,0,-2,-1,-0.516602,-0.330078,0.908203,-27.125,-1.5625,-0.125,79,124,58,-11,-34,5,8,1,15,-5,-35,-0.171875,0.23584,0.883301,-29.4375,133.938,-12.125,98,99,93
"50",-1,1,0,-1,0,-1,-1,-2,-0.584473,-0.349121,0.831543,11.3125,3.4375,-0.6875,78,124,58,3,4,-5,-2,-24,-3,2,17,-0.234375,0.289551,0.870117,25.4375,134.5,-21.875,99,107,94
