"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.317871","X.0.146973","X0.732422","X7.4375","X.46.625","X.0.0625","X85","X68","X69","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.318848","X.0.25","X0.978027","X.2.9375","X0.0625","X.0.125","X82","X107","X91"
"21",-2,-4,-2,-3,2,7,18,10,0.292969,-0.852539,0.621582,-15.5,27.75,71,67,72,116,-4,-2,-1,-5,-1,-15,9,4,0.36377,-0.183105,0.754883,-46.3125,-39.1875,-125.062,81,56,84
"22",2,-3,0,-6,-1,0,-8,-7,0.268555,-0.81543,0.650879,-8.9375,29.25,65.8125,66,75,117,-3,-1,-3,-5,-5,6,-8,-12,0.409668,-0.0737305,0.693848,-52.5,-23.0625,-129.562,82,52,80
"23",6,-11,3,3,9,10,0,-9,0.199707,-0.85791,0.693359,-11.5625,29.6875,51.5625,66,78,118,3,-3,-3,-3,-3,1,2,-7,0.475586,0.0219727,0.679199,-53,-7.125,-127.812,83,50,77
"24",-19,14,7,3,-5,-19,1,6,0.186035,-0.852539,0.720703,-1.6875,26.5625,43.0625,65,81,118,-1,-3,3,6,3,7,8,5,0.499023,0.337891,0.742188,8.8125,43.875,-86.0625,95,55,57
"25",30,44,8,-3,0,-7,6,-1,0.151367,-0.852051,0.726074,-1.6875,20.625,27.625,65,83,118,-1,6,-4,-2,-3,-3,-2,1,0.442871,0.378906,0.780273,9.25,50.9375,-67.4375,97,59,55
"26",-19,11,5,0,-4,-2,2,-11,0.11084,-0.865234,0.719727,-0.5625,15.125,20.125,65,84,118,-4,-1,-4,-1,4,0,-6,-7,0.431641,0.404785,0.828613,12.5,55,-56.875,98,62,53
"27",14,6,4,5,6,1,1,7,0.103027,-0.824707,0.72168,-1.4375,6.5625,8.4375,65,85,118,0,13,-2,-5,-1,-11,-6,1,0.379883,0.415527,0.887695,2.9375,57.4375,-39.8125,98,66,52
"28",7,14,2,4,5,0,-8,-5,0.0869141,-0.812988,0.702637,-1.0625,2.5625,1.9375,65,85,118,-3,-3,1,3,5,6,-20,12,0.327148,0.425293,0.961914,0.1875,56.25,-26.0625,99,70,52
"29",0,-8,-4,-6,-4,7,0,6,0.0649414,-0.793945,0.685547,1.625,-1.375,-4.3125,65,85,118,2,8,3,5,1,5,-1,0,0.268066,0.378906,0.999512,-2.75,48.1875,-21.5,99,73,52
"30",-10,-29,-5,2,1,6,-6,18,0.0678711,-0.770508,0.67041,0.75,-1.8125,-6.1875,65,85,118,-3,0,-1,0,-3,-20,-8,-5,0.224121,0.370117,1.02539,-2.75,35.8125,-9.3125,99,75,52
"31",4,23,2,3,4,11,8,13,0.0639648,-0.765137,0.666504,-1.6875,-2.625,-6.0625,65,84,118,1,-1,-4,-3,-2,-4,4,1,0.210449,0.364258,1.0498,-4.625,26.3125,-5.0625,99,77,52
"32",-8,11,0,1,0,7,5,-2,0.0795898,-0.76416,0.667969,-1.4375,-2.4375,-5.6875,65,84,118,0,2,-1,-6,-6,1,-4,-4,0.180176,0.339844,1.04395,-6.25,15.3125,-0.375,99,78,52
"33",9,2,-3,-1,-1,-2,-3,2,0.0810547,-0.759766,0.663574,1,-1.0625,-3.875,65,84,118,0,-2,-2,-1,0,5,6,0,0.160156,0.315918,1.01172,-3,3.625,3.875,98,78,52
"34",-21,-19,-2,-8,-5,11,1,2,0.0703125,-0.761719,0.667969,-0.25,0.0625,-2.6875,65,84,118,-4,-9,-4,-1,-2,4,7,-9,0.17041,0.324707,0.997559,-4.3125,-0.125,6.25,98,78,52
"35",-13,-2,3,5,1,1,3,-3,0.074707,-0.761719,0.66748,-0.1875,0.25,-1,65,84,118,-2,-21,0,-1,0,-12,-11,-16,0.16748,0.285645,0.983398,-7.125,-3.375,7.25,98,78,52
"36",-22,-14,-3,-4,-2,-12,-5,-11,0.0874023,-0.77002,0.672852,1.5,1.5,-0.625,65,84,118,-3,-3,-3,2,0,3,2,-2,0.181641,0.289551,0.960938,-5.0625,-4.375,6.875,98,78,53
"37",27,38,-3,6,6,6,1,-9,0.0913086,-0.763184,0.684082,4.5,2.3125,-0.375,65,84,118,1,1,2,-1,0,1,2,1,0.181152,0.262207,0.964844,0.75,-4.6875,5.0625,98,78,53
"38",17,7,-5,-8,1,-10,1,4,0.0791016,-0.757812,0.679199,3,2.625,1.125,65,84,118,1,10,5,4,0,-9,5,0,0.183594,0.266602,0.957031,-1.4375,-3.375,4.4375,98,78,53
"39",8,-8,8,6,2,3,19,20,0.0751953,-0.749023,0.685547,1.875,1.0625,1.375,65,84,118,0,2,0,0,2,6,4,0,0.180664,0.270996,0.962402,-1.4375,-2.5625,1.1875,98,78,53
"40",51,-29,-18,-15,-11,-12,-4,0,0.0820312,-0.766113,0.678711,1.125,-1.25,0.1875,65,85,118,-3,-7,-1,2,-1,-1,-6,-2,0.191895,0.275391,0.951172,0.0625,-1.0625,0.5,98,78,53
"41",7,-3,1,6,3,1,4,27,0.0834961,-0.769531,0.672852,2.4375,-0.4375,0.1875,65,85,118,-3,1,0,-1,1,10,14,-1,0.181641,0.262207,0.955078,0.0625,-1.5625,-1.25,98,78,53
"42",-32,-11,9,7,2,7,-4,-15,0.0708008,-0.763184,0.668457,-0.625,-0.5,0.4375,65,85,118,-1,-2,1,3,2,13,7,2,0.179199,0.267578,0.958984,0.9375,-0.4375,-2.625,98,78,53
"43",0,22,-4,-2,-8,-9,-8,18,0.0839844,-0.76416,0.671387,-0.5,-0.5,0,65,85,118,-1,1,-2,-2,-1,4,-1,1,0.191406,0.271484,0.963379,2.4375,-1.25,-4,98,78,53
"44",-1,4,-4,-11,-4,8,-16,-11,0.0737305,-0.763672,0.67041,-1.25,0.0625,-0.375,65,85,118,2,-2,-5,-3,-4,-8,-11,21,0.177246,0.271973,0.960938,0.75,0.625,-6.25,98,78,53
"45",-25,18,-9,-16,-5,-3,-17,-18,0.0742188,-0.769531,0.675781,0.125,0.1875,-1.25,65,85,118,-1,5,1,0,-1,-7,-4,-2,0.18457,0.284668,0.955078,3.8125,0,-5.3125,98,78,53
"46",4,-13,-2,4,2,12,7,-3,0.0805664,-0.76416,0.675781,0.5625,1.375,-0.3125,65,85,118,-4,-5,-5,-4,-4,-5,3,-6,0.1875,0.297852,0.958496,-3.625,0.125,-5.3125,98,78,52
"47",29,26,8,3,1,9,2,8,0.0805664,-0.755371,0.685547,-2.4375,0.8125,0,65,85,118,-3,0,0,1,-1,12,8,1,0.17627,0.280273,0.958984,0.9375,-0.25,-4.0625,98,78,52
"48",5,-21,-8,-17,-13,-21,11,-3,0.0957031,-0.760254,0.692871,2.625,2.6875,0.8125,65,85,118,-4,-1,0,4,0,6,10,-1,0.190918,0.317871,0.953613,-2.75,0.25,-2.75,98,78,52
"49",23,4,-4,-4,-5,9,-1,4,0.0698242,-0.750488,0.681641,2.3125,2.1875,2.375,66,85,118,4,3,2,6,1,-2,1,3,0.186035,0.300781,0.961914,1.5,0.25,-2.25,98,79,52
"50",19,-4,0,1,-3,-14,-1,2,0.0561523,-0.742676,0.682617,0.8125,0.0625,3.0625,66,85,118,-1,-1,0,1,-1,-9,-2,-5,0.187988,0.313965,0.958984,0.375,1.25,-1.6875,98,79,52
