"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.136719","X.0.316406","X1.36377","X.64.3125","X.147.125","X.42.625","X86","X98","X69","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.345215","X.0.227539","X0.973145","X2.6875","X.1.5","X3.1875","X84","X108","X92"
"37",20,-12,1,-3,2,-6,-10,14,0.0551758,-0.727051,0.678223,2.75,0,-3.5,66,84,120,-16,-12,0,1,-1,1,5,-6,0.278809,0.359863,1.00928,-2.9375,19.25,3.375,99,73,52
"38",-5,12,-1,1,0,14,-14,-14,0.0668945,-0.743164,0.683105,0.625,0.8125,-3.25,66,84,120,0,8,2,0,3,8,-5,18,0.268066,0.328613,1.00635,-1.5,13.6875,6.375,99,73,52
"39",-19,61,4,-5,-4,-8,-3,15,0.0678711,-0.73291,0.6875,3.75,2.25,-1.5,66,84,120,2,-10,3,3,1,9,-3,14,0.25293,0.311523,0.98584,-3.5,7.375,7.8125,99,74,52
"40",13,25,21,17,10,10,-2,-14,0.0727539,-0.737793,0.693848,1.1875,1.375,-1.125,66,84,120,-5,0,0,1,-1,12,6,-24,0.23877,0.272949,0.986328,-2.1875,2.6875,8.4375,99,74,53
"41",-61,22,-2,-5,-6,-3,-6,0,0.0742188,-0.749512,0.699219,2,2.5,-0.5625,66,85,120,5,5,0,1,-1,-3,11,2,0.224121,0.270508,0.966309,-7.625,0.5625,9,98,74,53
"42",-21,-1,-2,3,3,5,-5,-4,0.0595703,-0.731934,0.689453,3.875,2.75,-0.3125,66,85,120,-1,-9,-2,-7,-3,-14,-10,27,0.245117,0.263672,0.95752,-0.375,-1.5,0.5,98,74,53
"43",9,-5,2,10,3,12,21,7,0.074707,-0.759766,0.712891,0.75,2.125,0.5,66,85,120,1,-6,-2,-2,-5,-2,-8,2,0.250977,0.271484,0.94043,1.4375,0.1875,-0.875,98,74,53
"44",40,27,8,6,5,18,12,-14,0.0737305,-0.742676,0.700684,0.4375,1.1875,0.75,66,85,120,-2,-6,2,3,4,2,1,4,0.237793,0.266602,0.933105,-0.9375,-1.375,-0.5,98,74,53
"45",26,16,6,8,10,12,2,-2,0.0683594,-0.74707,0.711914,1,-0.25,-0.0625,66,85,120,-5,-5,-2,0,3,-4,-2,-16,0.256348,0.280273,0.944824,-1.125,-0.5,-0.625,98,74,53
"46",-63,-58,4,-5,-9,-10,-7,-20,0.0649414,-0.742676,0.708984,2.5,-0.25,-0.625,66,85,120,-7,-4,-1,0,1,-5,-2,-7,0.246094,0.275879,0.939941,-0.25,0.25,-1.8125,98,74,53
"47",-5,-31,0,-5,-3,-13,-2,8,0.0649414,-0.747559,0.706055,0,-0.5625,-0.8125,66,85,120,8,3,0,-7,-2,15,11,17,0.255859,0.291016,0.942383,1.0625,0.375,-2.125,98,74,53
"48",22,13,-6,3,0,-11,-18,5,0.0708008,-0.743652,0.705566,1.625,-0.625,-0.9375,67,85,120,-10,-22,-3,5,3,2,1,-4,0.231934,0.281738,0.931641,-1,1.125,-2.625,98,75,53
"49",-23,0,-5,-6,-4,-5,-10,-13,0.0678711,-0.745605,0.703613,2.9375,-0.25,-1.4375,67,85,120,2,10,0,1,1,28,-5,7,0.245117,0.299316,0.947266,2.5625,0.875,-2.8125,98,75,53
"50",18,24,-5,-7,-7,11,22,5,0.0722656,-0.740234,0.705566,4.625,1.5625,-0.625,67,85,120,-5,-2,-4,-2,-3,-5,1,0,0.23877,0.294434,0.943848,1.8125,0.5625,-2.375,98,75,53
