"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.154785","X.0.259766","X0.912109","X.33.75","X.28.1875","X.25.5","X80","X90","X139","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.103516","X0.0825195","X1.04199","X.0.875","X0.25","X.0.3125","X91","X84","X65"
"11",9,19,-25,-9,-6,-4,-3,-3,0.432129,-0.225098,0.8125,15.8125,-20.75,1,80,64,138,15,4,-7,-45,26,-2,83,23,0.0375977,-0.620117,0.918945,-2.6875,3.125,-66.6875,80,83,70
"12",1,-16,-22,-5,5,0,11,8,0.496094,-0.320801,0.819336,1.375,-10.75,19.25,80,63,139,10,-2,-1,-6,-1,-18,-7,12,-0.00585938,-0.213867,0.824219,75.4375,-4.4375,-87.9375,82,82,67
"13",-17,-15,11,-3,-3,-4,-23,25,0.449707,-0.272461,0.791504,18.4375,3,25.5625,80,64,139,1,1,0,6,0,24,94,22,0.171875,-0.0507812,0.780273,88.3125,-24.6875,-110.438,84,80,66
"14",-1,-7,6,-2,7,7,-4,0,0.461914,-0.330078,0.800781,2.9375,17.75,29.8125,80,65,140,3,2,4,2,-3,-5,35,-4,0.0371094,-0.133301,0.939941,87.25,-60.125,-129.75,87,77,62
"15",-10,10,-16,-2,0,3,4,5,0.444824,-0.357422,0.841309,5.6875,14.1875,21.8125,79,66,141,13,-1,-5,0,-5,7,16,21,0.168457,0.0336914,0.896484,193.75,-85.875,-99.9375,91,74,60
"16",1,-16,21,-3,-6,-3,-14,11,0.457031,-0.367188,0.859863,-0.25,9.3125,14.375,79,66,141,6,-1,-3,2,1,5,0,2,0.287109,0.33252,0.817871,162.375,-88.6875,-107.812,95,71,57
"17",-27,11,-29,-2,-2,-3,0,11,0.463379,-0.353516,0.883789,-2.0625,4.875,7.3125,79,67,141,-18,-4,-3,0,-3,-4,-14,-15,0.374023,0.433594,0.800293,99.5,-35.8125,-92.5,100,69,54
"18",4,2,17,4,-1,2,8,19,0.430664,-0.348145,0.887207,1.1875,4.125,0.5625,79,67,141,2,0,-6,-2,-1,-20,-4,10,0.339355,0.47168,0.839355,28.125,-4.5,-68.375,103,70,51
"19",-5,-16,4,-2,-7,-3,-10,-13,0.407227,-0.347168,0.88623,-1.3125,3.875,-1.1875,79,67,141,-4,3,1,-2,-1,3,1,1,0.330078,0.630859,0.814941,24.8125,10.875,-45.6875,104,72,50
"20",5,-1,-24,-4,-9,-1,10,-3,0.37793,-0.349609,0.89209,0.25,2.5,-1,79,67,141,22,2,-2,-7,-8,-2,-3,21,0.30957,0.558594,0.850586,-10.1875,14.6875,-33.75,104,73,49
"21",-4,-37,-13,-2,1,-7,-13,-11,0.36377,-0.335938,0.888672,-1.625,1.25,-1.6875,79,67,141,-17,-5,-2,-2,-1,-4,-10,-25,0.289062,0.604492,0.844238,6,12.5625,-10.125,105,75,49
"22",17,10,20,-3,0,0,1,8,0.369629,-0.327148,0.875977,-0.375,1.6875,-1.375,79,67,141,-16,-4,1,0,1,4,2,-12,0.279297,0.54834,0.879883,-8.0625,6.4375,-3.875,105,75,49
"23",-21,-40,-6,-1,-2,-5,-7,-14,0.364258,-0.346191,0.882812,-0.3125,0,0.125,79,67,141,34,3,0,-4,-4,-2,13,29,0.275391,0.539062,0.884766,3.25,1.1875,4.1875,105,75,49
"24",-10,1,2,-9,-8,-10,-17,5,0.375,-0.325684,0.878418,-0.875,0.9375,0.6875,79,67,141,-33,-14,-2,-3,-4,-10,-17,-36,0.269043,0.506348,0.885742,-6.0625,-0.5625,6.625,105,75,49
"25",-1,1,14,-1,-4,-5,4,31,0.380371,-0.338379,0.882324,0.3125,0.4375,0.25,79,67,141,-5,2,0,10,6,-7,-27,-12,0.244141,0.515137,0.856934,-1.125,-0.9375,8.25,104,75,49
"26",-3,0,4,1,0,1,3,4,0.373047,-0.338867,0.885254,-0.5625,-0.375,-0.625,79,68,141,10,-1,0,3,0,-1,22,16,0.246582,0.481934,0.856934,-4.375,-1.8125,6,104,74,49
"27",-3,-5,2,5,1,4,4,17,0.374023,-0.342773,0.891602,-0.3125,-0.8125,-0.9375,79,68,141,11,1,4,1,3,5,55,12,0.236328,0.5,0.84375,-1.9375,-0.3125,4.875,104,74,50
"28",2,-27,2,-1,1,-4,-9,-13,0.375,-0.337402,0.887207,-1,-0.0625,-1.4375,79,68,141,-20,3,0,0,-2,-7,-8,-9,0.246094,0.479492,0.854004,-3.1875,-0.1875,3.625,104,74,50
"29",6,-4,-11,8,2,0,-4,8,0.374512,-0.342285,0.871094,0.1875,-0.375,-1.0625,79,68,141,-8,-4,-2,0,-3,1,5,-11,0.248535,0.493652,0.845703,-0.9375,1.375,1.75,104,74,50
"30",-7,-13,-2,-4,-5,1,-8,-15,0.371094,-0.342773,0.880859,-0.5,-0.4375,-0.75,79,68,141,-5,-6,-2,0,-1,5,20,4,0.233398,0.477539,0.851074,-2.1875,0.6875,1.125,104,74,50
"31",17,3,-27,-6,-5,-4,1,11,0.37793,-0.339355,0.878418,-0.375,-0.8125,-1,79,68,141,0,-1,-2,-1,-1,3,-12,-13,0.245117,0.504883,0.849121,1.375,0.6875,1.875,104,75,50
"32",1,-9,-14,-4,-3,4,2,8,0.375,-0.336426,0.880371,-0.4375,-0.5625,-0.5625,79,67,141,-2,1,-3,-6,-2,2,1,-1,0.249512,0.479492,0.85498,-1.75,1.8125,1.5,104,75,50
"33",-14,-15,-3,-1,3,2,-7,-21,0.381836,-0.341797,0.878418,0.0625,-1,-1,79,67,141,4,2,0,4,2,6,5,3,0.245605,0.494141,0.858398,0.6875,1.625,1.6875,104,75,50
"34",-2,-5,1,4,1,1,-2,9,0.377441,-0.344238,0.877441,0.3125,-0.75,-0.75,79,67,141,17,11,-2,-3,0,13,20,16,0.254883,0.482422,0.86084,-3.125,1,0.75,104,75,50
"35",-6,5,23,-3,-5,-5,-14,-3,0.378418,-0.337891,0.882812,-1.0625,-0.375,-1.4375,79,67,141,16,2,0,1,5,9,25,21,0.241699,0.492188,0.86377,-0.3125,0.8125,1.625,104,75,50
"36",-14,10,-11,7,7,4,11,29,0.381348,-0.337891,0.886719,0.6875,0.125,-1.375,79,67,141,4,-2,-2,-4,-3,4,37,7,0.252441,0.476562,0.862305,-0.5,0,1.6875,104,75,50
"37",6,-2,-10,4,4,1,6,-4,0.382324,-0.346191,0.880859,1.4375,-0.1875,-1.5,79,67,141,-4,3,2,-1,-2,-3,-28,-7,0.244141,0.475586,0.864746,-1.9375,-0.125,1.25,104,75,50
"38",20,-15,9,2,0,1,-4,-8,0.373535,-0.333496,0.880859,-0.375,1.1875,-0.3125,79,67,141,-2,-1,-2,-6,1,-2,-4,-1,0.240234,0.477539,0.855469,-0.3125,-0.0625,1.5625,104,75,50
"39",-3,6,15,2,0,0,-2,7,0.373047,-0.326172,0.877441,2.1875,0.3125,-0.375,79,67,141,10,0,0,1,-1,-3,-8,7,0.243652,0.472656,0.853516,-0.9375,-0.3125,0.9375,104,75,50
"40",6,14,12,2,1,8,11,4,0.380371,-0.34082,0.884277,0,-0.0625,-0.375,79,67,141,-4,-1,-3,-1,0,4,1,-9,0.237305,0.467773,0.864258,0.75,-0.6875,-0.4375,104,75,50
"41",12,9,-24,0,5,5,20,43,0.375,-0.338379,0.881348,-0.625,0.1875,-0.3125,79,67,141,-1,0,2,7,0,0,2,-10,0.245605,0.469238,0.859375,-0.3125,0.25,-0.875,104,75,50
"42",-10,2,0,-6,-7,-6,-15,-30,0.374512,-0.342773,0.880859,0,-0.5625,-0.5,79,67,141,1,1,3,4,0,-10,-3,-4,0.244629,0.467773,0.86084,0.75,0.5,-0.9375,104,75,50
"43",3,-10,-4,0,5,-1,-10,9,0.384766,-0.334961,0.876465,1,0.6875,-0.4375,79,67,141,-7,-6,0,-3,-2,-7,-26,-11,0.23877,0.481445,0.862793,-0.625,0.75,-1.1875,104,75,50
"44",1,-7,4,6,1,0,-4,-31,0.383301,-0.341309,0.885254,0.5,0.0625,-0.9375,79,67,141,11,-3,-7,-6,-4,-5,-4,-9,0.241211,0.480469,0.862305,0.875,0.625,-0.8125,104,75,50
"45",10,-2,26,6,3,-1,3,-3,0.37207,-0.342285,0.879395,0.4375,0.25,-0.4375,79,67,141,13,2,1,4,4,-3,-22,13,0.244629,0.480957,0.870117,0.0625,0,-1.0625,104,75,50
"46",19,-38,-43,-4,-4,-5,-4,-10,0.372559,-0.334961,0.883301,-1.375,-0.4375,-0.75,79,67,141,-11,0,0,-1,-2,-6,-1,-4,0.255371,0.484863,0.858887,0.375,0,-0.6875,104,75,50
"47",-21,-1,-7,-5,-4,-6,0,-2,0.374023,-0.334961,0.883301,-0.1875,-0.0625,-0.75,79,67,141,-13,-6,-1,-5,-1,7,2,-5,0.246094,0.48291,0.870117,1.0625,-1.5,-0.6875,104,75,50
"48",-6,17,-18,-8,-1,1,9,17,0.369141,-0.33252,0.880371,-0.5,0.5,-0.25,79,67,141,-3,3,0,-4,-2,-9,-8,-14,0.239746,0.489258,0.854492,1.125,-1.125,0.375,104,75,50
"49",4,11,-37,-4,-2,-5,0,-30,0.376465,-0.335938,0.875,-0.4375,-0.25,-0.375,79,67,141,-6,-5,-3,-5,-1,-2,-6,2,0.246094,0.47998,0.86084,-1,-0.6875,-0.25,104,75,50
"50",-20,0,14,-7,4,-1,-1,-2,0.383789,-0.331543,0.881348,0.0625,0,-0.0625,79,67,141,-4,2,3,-1,3,8,-1,-8,0.244629,0.491211,0.85791,-0.0625,-0.4375,-0.0625,104,75,50
