"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.0644531","X0.135742","X1.04395","X14.875","X.4.0625","X0.25","X93","X94","X161","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.0449219","X.0.261719","X1.02588","X46.1875","X.128","X.74.6875","X85","X83","X50"
"26",-8,9,-24,11,2,4,3,8,-0.0795898,0.126953,0.995605,0.25,0.625,-0.375,94,94,161,-3,-6,-3,-5,1,-1,-5,-4,0.0078125,-0.237305,1.00928,4.5625,-2.125,-1.25,83,89,51
"27",19,-13,-7,-2,-5,-5,-5,-4,-0.0854492,0.161621,1.00635,-0.375,1.125,1.0625,94,94,161,-11,-8,-1,-2,-2,0,8,-1,0.0180664,-0.213379,1.021,5.5625,-2.125,-0.3125,83,89,51
"28",0,-4,-22,-9,1,0,-1,-5,-0.0791016,0.148438,0.99707,-0.6875,0.4375,1,94,94,161,-3,-3,1,-1,-1,-3,-2,-4,0.0195312,-0.259277,1.00684,-2.375,-1.8125,-1.25,83,88,51
"29",-4,11,3,15,-3,-2,-4,11,-0.078125,0.157227,1.00928,0.3125,-0.0625,1.5625,94,94,161,15,14,2,1,-2,0,-3,13,0.03125,-0.228027,1.00342,0.875,-0.25,-0.4375,83,88,51
"30",6,0,-18,-6,3,4,4,0,-0.0717773,0.150879,1.00537,0.5625,-0.0625,0.5,94,94,161,-4,0,2,-3,-1,4,-2,-8,0.0297852,-0.231934,0.992188,0.8125,0.625,0.625,83,88,51
"31",-6,-12,-2,-10,-6,-4,-1,-4,-0.0722656,0.156738,0.997559,-0.125,0.5,-0.25,94,94,161,-7,-2,0,-2,-3,-1,-1,-10,0.0229492,-0.22998,0.996094,1.25,-0.1875,0.625,83,88,51
"32",12,-12,-15,-2,0,-2,2,1,-0.0776367,0.148926,1.00488,-0.5625,0.3125,0.375,94,94,161,-9,2,0,-1,1,4,-2,-8,0.0107422,-0.221191,0.996094,-0.625,-1.4375,-0.25,83,88,51
"33",-6,6,6,7,-1,3,3,-13,-0.081543,0.148438,1.00146,-0.4375,-0.1875,0,94,94,161,2,-1,3,1,0,3,-5,3,0.0239258,-0.228516,0.998047,0.625,-1.125,0.4375,83,88,51
"34",7,-13,-3,3,1,-7,-2,11,-0.0727539,0.155762,1.00928,0.375,-0.3125,0.375,94,94,161,-1,-3,-2,-1,-1,-4,-6,-3,0.0214844,-0.236816,1.01123,1.625,-0.4375,0.3125,83,88,51
"35",-1,-2,8,-12,-1,-3,-1,6,-0.0678711,0.149902,1.00732,-0.375,0,0.625,94,94,161,-4,1,-2,1,-1,-1,-5,-5,0.0224609,-0.222656,1.00928,-0.375,-0.5625,-0.5,83,88,51
"36",0,-8,-4,-1,-1,-3,-2,19,-0.074707,0.147461,1.00049,1.0625,-0.0625,0.9375,94,94,161,6,1,0,3,-2,-1,9,3,0.0288086,-0.225586,1.00684,0.3125,-0.25,0.5,83,88,51
"37",-8,-2,-9,-5,-2,1,-3,-12,-0.0717773,0.163086,0.99707,1.4375,0.0625,0,94,94,161,6,-7,1,3,1,-5,0,-11,0.0185547,-0.218262,0.987305,0.0625,-0.75,0.125,83,88,51
"38",-8,-4,-5,-10,-6,-4,-7,14,-0.0742188,0.15918,1.00537,-1.625,0.625,-0.125,94,94,161,8,-1,0,-2,-2,-2,10,-4,0.027832,-0.226562,1.00244,0.1875,-0.1875,0.25,83,88,51
"39",30,0,-4,5,-3,-1,-2,-7,-0.0766602,0.149902,1.00586,-0.8125,0,0.3125,94,94,161,-1,2,1,-1,-2,-5,-9,0,0.0229492,-0.226562,1,1,-0.25,0.25,83,88,51
"40",-6,10,7,3,0,1,-3,-12,-0.0712891,0.159668,1.00342,0.3125,0.1875,0.5,94,94,161,-2,-6,-3,-1,0,-1,-4,-1,0.0209961,-0.234375,1,-1,-0.5625,0.125,83,88,51
"41",-3,7,-3,7,-1,3,0,0,-0.0678711,0.158691,1.00195,0.8125,0.1875,0.25,94,94,161,1,1,2,2,1,-6,-12,-5,0.0371094,-0.219238,0.999023,0.625,-0.4375,0.4375,83,88,51
"42",5,-11,-34,-12,-5,-4,4,22,-0.0673828,0.160156,1.00488,-0.8125,0.375,0,94,94,161,-5,-1,1,-2,-2,-5,-5,-2,0.0229492,-0.230469,0.996582,1.0625,0.25,0.0625,83,88,51
"43",-1,-11,-4,-1,-1,-5,-7,-12,-0.0771484,0.152344,1.00049,0.6875,0.5,-0.125,94,94,161,1,-5,-3,-1,1,-2,5,-7,0.0219727,-0.223145,1.00244,0.5625,-0.625,-0.1875,83,88,51
"44",1,12,-3,-3,-2,0,5,28,-0.0722656,0.159668,1.00439,0.125,0.5,-0.25,94,94,161,4,1,-2,2,-1,-1,-5,-22,0.0253906,-0.229004,1.00439,-0.0625,0.1875,0.25,83,88,51
"45",4,16,11,3,3,-2,-1,1,-0.0756836,0.158203,1.00098,1.0625,0.3125,0.6875,94,94,161,3,0,2,-1,1,-2,-6,3,0.0234375,-0.220703,0.995117,0.1875,-0.125,0.75,83,88,51
"46",2,5,-8,-3,-1,-1,5,3,-0.0751953,0.15332,1.00879,0.8125,0.6875,-0.0625,94,94,161,2,-9,-6,-5,-1,4,3,7,0.0219727,-0.217285,0.99707,1.0625,-0.0625,-0.125,83,88,51
"47",-13,-17,64,5,0,-2,-5,7,-0.0742188,0.150879,0.994141,0,0.25,-0.1875,94,94,161,-2,-3,1,2,-1,-1,1,-9,0.0244141,-0.226562,1.00488,-0.9375,-0.125,-0.4375,83,88,51
"48",-13,-1,14,1,-1,2,0,-15,-0.0756836,0.168457,1.00488,1.375,-0.25,0.4375,94,94,161,11,2,0,2,2,2,8,17,0.0229492,-0.217773,1.00391,1.3125,-0.125,-0.0625,83,88,51
"49",1,-16,-47,-13,-2,-5,-2,7,-0.0791016,0.154785,0.998535,-0.0625,0.5,0.3125,94,94,161,-1,-6,2,1,2,-3,2,3,0.0268555,-0.220215,1.00977,0.5,-0.0625,0.4375,83,88,51
"50",2,-2,3,5,1,2,-4,-20,-0.0771484,0.157227,0.995117,-0.125,0.1875,0.125,94,94,161,-1,-3,-2,2,-2,-3,-9,5,0.0249023,-0.232422,1.00391,-0.3125,-0.125,-0.1875,83,88,51
