"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.167969","X.0.074707","X0.980957","X.0.3125","X.0.125","X.1.125","X88","X100","X141","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.439941","X0.376465","X0.808105","X.0.0625","X1.125","X.0.8125","X102","X63","X39"
"40",-3,-14,13,-1,-3,3,-13,2,-0.189453,-0.0288086,0.996582,-1.6875,-1.9375,-0.375,89,101,141,0,0,2,-7,5,-19,-3,8,-0.00439453,0.0302734,1.16504,-7.5625,16.25,139.438,92,90,61
"41",-15,-21,4,0,-2,-5,3,-5,-0.195312,-0.0390625,1.00439,-2.375,-2,-0.4375,89,100,141,3,0,6,4,22,-16,-1,7,-0.0629883,-0.00488281,1.16895,-2.3125,-33.0625,108.562,92,88,65
"42",-5,-5,7,2,-1,0,6,0,-0.194336,-0.0336914,0.998047,-2.0625,-1.8125,-0.375,88,100,141,-2,2,2,9,-20,2,2,-1,-0.0356445,-0.00292969,1.17432,13.3125,-59.25,92.9375,92,86,67
"43",2,11,21,2,0,-15,10,7,-0.182617,-0.0410156,1.00635,-0.1875,-0.625,-0.375,88,100,141,-2,-4,-6,-6,7,-2,0,-2,0.0112305,0.00683594,1.09082,3.9375,-74.625,68.5,92,82,69
"44",24,37,-19,-6,-6,-13,1,10,-0.189453,-0.0380859,1.00439,-1.1875,-0.1875,-0.875,88,100,141,-2,1,2,-1,-5,-5,2,2,0.0444336,0.0341797,1.00879,9.1875,-72.5625,52.4375,91,80,70
"45",7,-5,-4,-6,-6,-5,-8,0,-0.189453,-0.0361328,1.00195,-0.5,-0.25,-1.0625,88,100,141,0,0,1,3,-41,-11,3,0,0.115723,0.0405273,0.913086,8.125,-54.6875,38.75,91,76,71
"46",-12,1,-6,-2,-3,-8,-2,-12,-0.182617,-0.0449219,1.00293,0.375,-0.9375,-1.0625,88,100,141,7,2,3,-4,-77,7,2,-4,0.186523,0.0546875,0.881348,11.25,-29.0625,17.6875,92,74,72
"47",3,-13,-18,-3,-1,6,-3,2,-0.188477,-0.0449219,0.999023,-0.5625,-1.3125,-1.0625,88,100,141,-1,-2,-3,-6,21,-15,2,1,0.198242,0.0317383,0.876953,10.875,-18.8125,5.5625,92,73,72
"48",-1,-22,-5,-4,-1,-1,2,-9,-0.186523,-0.043457,1.00439,-0.4375,-0.75,-0.3125,88,100,141,-2,0,-4,-1,-3,7,2,-5,0.275391,0.081543,0.905273,26.25,-3.1875,0.9375,92,73,72
"49",-3,7,5,6,0,-6,-13,5,-0.188965,-0.0483398,1.00488,0.125,-0.5625,-0.125,88,100,141,-1,1,0,4,-9,-3,4,3,0.294922,0.097168,0.938965,10.25,3.9375,-6.5,93,73,72
"50",7,-17,13,-1,-2,-8,5,12,-0.187988,-0.043457,0.996094,-0.6875,-0.1875,0.5,88,100,141,0,1,2,0,11,8,2,2,0.304688,0.0849609,0.97998,1.1875,12,-7.4375,93,73,72
