"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.289062","X.0.260254","X0.924805","X.5.875","X.67.4375","X.32.9375","X81","X76","X135","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.143066","X0.0507812","X1.08154","X.7.5625","X9.4375","X.2.125","X90","X98","X63"
"41",1,17,11,13,7,9,0,-19,0.411133,-0.341309,0.861816,0.375,1.875,-0.125,79,65,143,-12,-5,-4,3,-4,-5,-25,-6,0.154785,0.463867,0.894531,1.75,0.875,0.4375,103,81,49
"42",-20,24,-2,-3,-1,0,4,21,0.40918,-0.348145,0.870605,-0.1875,2.75,0.125,79,65,143,23,7,3,0,5,-19,-3,18,0.152344,0.452148,0.902832,-1.25,0.125,0.375,103,81,49
"43",5,-6,31,2,4,-1,-1,14,0.410156,-0.355957,0.868652,0.4375,0.375,-0.5625,79,65,143,-6,-1,-1,22,8,21,-8,-4,0.153809,0.462402,0.902832,0.6875,0,0.5,103,81,49
"44",1,2,14,2,-4,-3,-2,-6,0.413574,-0.334961,0.861328,0.9375,0.625,-0.0625,79,65,143,-12,2,-3,-10,-8,-27,-13,-5,0.145508,0.456543,0.88623,-1.9375,1.375,1.25,103,81,49
"45",7,2,-17,-10,-5,-5,-4,-1,0.407715,-0.356445,0.854004,2.125,-0.3125,-0.125,79,65,143,14,-8,-5,-8,8,9,-10,4,0.152832,0.463867,0.89502,-0.5,0.8125,1.375,103,81,49
"46",3,1,2,9,-1,1,7,11,0.402344,-0.344238,0.86084,-0.8125,0.0625,-0.625,79,65,143,-6,-4,-1,10,11,2,13,-6,0.148926,0.445801,0.897461,0.625,0.5625,0.75,103,81,49
"47",-22,45,22,6,4,10,16,35,0.403809,-0.345215,0.865723,0.6875,-0.0625,-0.1875,79,65,143,-5,-2,5,10,2,-6,-22,-11,0.151367,0.451172,0.897949,-0.125,2,0.875,103,81,49
"48",-5,10,1,3,-1,-2,1,20,0.410156,-0.345703,0.858887,-0.375,0.25,-0.0625,79,65,143,4,2,-3,-2,-4,6,-7,7,0.146973,0.455566,0.904785,0.25,0.6875,-0.0625,103,81,49
"49",3,14,-17,6,-2,-1,14,50,0.402344,-0.338379,0.866211,-0.25,0.875,0.0625,79,65,143,-13,0,1,-1,-4,-17,-24,-15,0.149414,0.463379,0.905273,1.5,0.5,0.3125,103,81,49
"50",4,16,6,20,1,-6,-9,-11,0.406738,-0.352539,0.865723,0.25,1.125,0.6875,79,66,143,20,-1,-2,2,-3,5,6,16,0.143555,0.461914,0.899414,-0.625,0.4375,0.6875,103,81,49
