"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.291016","X0.0292969","X0.977051","X.5.25","X.1.125","X.1.4375","X90","X104","X142","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.17041","X0.543457","X1.00684","X10.75","X.1.125","X.10.125","X104","X98","X66"
"36",7,-8,-35,-3,-2,-1,0,0,-0.241211,-0.0249023,0.995117,-0.25,0.0625,-0.375,89,103,142,-11,-22,0,-35,-12,0,-6,-3,0.658203,-0.259766,0.710938,1.875,2.3125,2.0625,79,48,92
"37",8,-5,42,2,1,-2,0,1,-0.23291,-0.0209961,1.00342,1.3125,0.8125,-0.5,89,103,142,8,-29,-17,4,22,55,32,7,0.663086,-0.262207,0.706543,-0.125,1.9375,2.6875,79,48,92
"38",3,6,-4,0,1,1,-2,-1,-0.250977,-0.0185547,0.98877,0.1875,1.6875,-1,89,103,142,-3,-11,-9,-18,-12,33,-3,10,0.632812,-0.26416,0.686523,-1.625,-5.1875,0.6875,79,48,92
"39",-6,14,0,-6,-1,-4,-1,-2,-0.245605,-0.0161133,0.981445,0.8125,1.0625,-0.5,89,103,142,-3,-6,-1,2,-3,-6,-23,10,0.561523,-0.241211,0.619141,-0.375,-3.1875,-2.9375,79,48,92
"40",1,3,17,-1,-1,1,-1,0,-0.255371,-0.0131836,0.961426,-1.3125,-2.0625,-1.1875,89,103,142,4,5,1,1,1,-3,-1,-2,0.499512,-0.206543,0.583008,1.375,-2.9375,-12,79,48,92
"41",-39,-17,0,0,-3,-3,-2,-5,-0.23584,-0.0180664,1.00879,1.25,-1.6875,0.0625,89,103,142,-7,-3,-5,-6,-4,6,-5,-7,0.496094,-0.191895,0.525391,8.8125,15.3125,-38.8125,80,48,91
"42",0,5,-15,-1,-1,2,3,1,-0.262695,-0.0341797,0.978516,-2.875,-0.25,1.25,89,103,142,1,1,2,6,-10,-29,1,3,0.428223,-0.129883,0.561523,38.9375,47.9375,-87.375,82,49,88
"43",3,11,12,2,0,0,0,0,-0.249023,-0.0141602,0.986328,3.5,-2,1.875,89,103,142,0,4,1,17,3,29,-1,5,0.626465,-0.0375977,0.69043,83.9375,92.8125,-156.062,88,52,83
"44",-6,1,2,-3,-1,-2,-1,-1,-0.23291,-0.00976562,1.00977,2.75,-2.3125,1.3125,89,103,142,0,1,0,-8,-14,-2,0,-1,0.550781,0.157715,0.824219,101.125,123.312,-182.312,95,59,77
"45",-5,-7,16,1,-2,-2,-3,-1,-0.258301,-0.0244141,0.987305,1.3125,-0.625,2.0625,89,103,142,-6,-10,-9,-33,-14,2,2,0,0.47168,0.264648,0.935059,95.8125,122.688,-194.062,98,66,73
"46",-7,9,6,-1,-1,-1,-4,-2,-0.231934,-0.00683594,0.996094,2,-0.3125,1.4375,89,103,142,0,-1,-1,12,-6,-7,-5,-3,0.30127,0.459961,1.07471,59.375,123.75,-181.625,102,77,69
"47",-3,-3,-10,-1,1,0,1,-1,-0.242676,-0.0078125,0.989258,1.5625,-0.5625,0.5625,89,103,142,-3,0,0,-2,-2,-4,-6,-1,0.0986328,0.608887,1.13672,26.75,103.875,-139.062,103,83,67
"48",-9,-3,-18,-7,-3,-2,1,-1,-0.242676,-0.000976562,0.992188,0.25,0.5625,0.8125,89,103,142,1,-1,-2,-10,-3,4,3,2,0.111328,0.57373,1.13086,18.4375,74.8125,-106.438,103,88,66
"49",-21,12,1,1,0,-2,-1,-1,-0.247559,-0.0214844,0.990234,1.125,0.375,0.5625,89,103,142,1,2,2,8,1,0,5,0,-0.0776367,0.637207,0.991699,35.4375,42.875,-66,104,93,65
"50",-8,4,15,-2,0,0,-1,1,-0.247559,0.00537109,0.98584,1.5625,0.6875,0.125,89,103,142,-1,-1,-1,-3,1,2,4,0,-0.200195,0.65332,1.05127,-7.0625,18.625,-36.5,104,96,64
