"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.177246","X.0.0395508","X0.994629","X.5.75","X.0.75","X.3.4375","X89","X101","X146","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.118652","X0.374023","X1.02197","X0.5625","X3.9375","X.1.75","X100","X96","X66"
"35",12,-11,-2,-5,-2,-3,-2,2,-0.197266,-0.0161133,0.998535,-0.6875,-0.8125,0,89,101,146,-2,1,-1,-10,-70,-17,-18,-8,0.84082,-0.481934,0.149414,6.3125,6.0625,-0.4375,52,30,97
"36",5,-6,-25,-2,0,2,-1,0,-0.199219,-0.0195312,0.996582,-0.8125,-2.0625,0.8125,89,101,146,10,1,3,6,-5,6,3,32,0.860352,-0.489746,0.141113,1.3125,3.75,-3.6875,52,30,97
"37",-8,3,12,-1,-2,0,0,-3,-0.199219,-0.0170898,1.00146,-0.875,-2,0.8125,89,101,146,70,25,11,6,-24,54,55,64,0.847168,-0.503418,0.178711,1.6875,-0.6875,-5.1875,53,30,97
"38",1,-15,12,-4,-3,-3,-4,-4,-0.203125,-0.0229492,1.00098,-1.0625,-1.6875,1.375,89,101,146,17,-3,-11,-19,-3,8,-59,-93,0.966797,-0.485352,0.135254,-2,-17.25,-7.75,52,29,98
"39",-3,-7,7,-1,-3,-1,0,-2,-0.201172,-0.0244141,1.01465,0.9375,-0.625,3.0625,89,100,146,54,15,7,13,-52,-31,-18,-1,0.865723,-0.378418,0.0400391,18.0625,33.25,10.75,53,29,97
"40",-15,-1,2,3,0,-11,1,2,-0.188965,-0.0322266,1.01904,3.875,1.4375,4.1875,89,100,146,-5,6,4,17,-26,-13,41,9,0.868164,-0.575684,0.20459,8.4375,16.3125,7.125,54,30,96
"41",19,11,36,4,0,4,2,5,-0.187988,-0.0258789,1.0127,5.875,3.6875,6.125,89,101,146,-39,-16,-8,-20,-20,-41,-118,-98,0.871582,-0.462402,0.177246,1.1875,1.25,-8.75,55,30,95
"42",-7,-7,-22,0,-3,-2,-4,-4,-0.200684,0.0371094,0.973633,2,4.3125,4.1875,90,101,146,-10,5,4,8,11,10,67,37,0.908203,-0.440918,0.119629,9.6875,-4.875,-3.5625,55,30,96
"43",-6,-7,-4,-1,-2,-8,1,-3,-0.222656,0.0263672,0.995117,1.1875,0.875,-3.875,90,101,146,21,11,1,5,-18,20,4,39,0.86084,-0.497559,0.201172,5.875,1.5625,1.6875,55,30,96
"44",-16,-19,-11,-9,-4,-2,-4,-6,-0.201172,0.00244141,0.999512,-1,1.125,-5.8125,90,101,146,-32,-1,-4,-8,-24,6,-22,-22,0.85498,-0.440918,0.150879,5.875,5.5625,3.5,55,30,95
"45",-5,-22,4,-3,0,-4,-4,-3,-0.201172,-0.0292969,0.975098,-2.25,-1,-3.9375,89,101,146,7,-3,1,15,60,9,20,-5,0.853027,-0.469727,0.193359,2.4375,-2.5625,1.125,55,30,95
"46",6,18,-1,2,1,0,1,1,-0.212891,-0.00927734,0.978516,-2.4375,-3.8125,-1.9375,89,101,146,13,14,8,20,-47,40,-5,17,0.881348,-0.464844,0.133301,4.5,-1.5625,3.8125,55,30,96
"47",-10,-6,3,-2,-2,-2,-3,-3,-0.215332,-0.0146484,0.998047,-3.75,-6,-0.9375,89,101,146,1,-6,-4,6,29,9,53,6,0.929199,-0.520996,0.172363,-3.3125,-12.5,-2.8125,54,30,96
"48",2,6,-16,-4,-1,-2,-1,0,-0.194824,-0.0439453,1.01465,-0.3125,-6,0.5625,89,100,146,3,5,2,-9,55,-8,2,18,0.845703,-0.395508,0.17334,-20.8125,-38,-14.8125,53,29,97
"49",-5,-7,12,6,1,-1,-1,-2,-0.176758,-0.0390625,1.02686,2.125,-2.4375,3.125,89,100,146,-2,-8,-1,-9,62,-64,-7,2,0.824707,-0.428223,0.0556641,-0.4375,-29.4375,-2.6875,51,28,99
"50",-7,0,-5,-3,-2,-3,-2,-3,-0.191406,-0.0166016,1.00391,3.375,0.6875,4.625,89,100,146,6,0,1,-3,56,37,-21,17,0.774414,-0.402832,0.0161133,1.6875,-14.8125,-12.5,50,28,100
